,beverage,age,direct_correlation,indirect_correlation,same_correlation
36,water,37,-0.8034379839920541,-0.30569921996675153,True
37,water,38,-1.018025011080361,-0.3350991627900637,True
38,water,39,-0.8169691767044036,-0.2987165496272788,True
39,water,40,-0.6237021881043304,-0.30765137758579103,True
40,water,41,-0.9035991114851736,-0.31300376571461186,True
41,water,42,-0.8881610251433371,-0.317679729825292,True
42,water,43,-0.8175844848732271,-0.3050490405558428,True
43,water,44,-0.8249290791195929,-0.3437995797168669,True
44,water,45,-0.8399844563481936,-0.33284323529903376,True
45,water,46,-0.7597210406158036,-0.330672419728217,True
46,water,47,-0.6674031655568362,-0.2983826104034382,True
47,water,48,-0.6634148523659171,-0.3108121151567718,True
48,water,49,-0.6310670524120117,-0.3144858132223771,True
49,water,50,-0.5495327710493428,-0.3079403365404778,True
50,water,51,-0.8145692466999688,-0.31260255831728706,True
51,water,52,-0.7941579697689134,-0.32434704805029313,True
52,water,53,-0.7368947282956314,-0.3186525168019778,True
53,water,54,-0.8710815661095763,-0.3374278594211533,True
54,water,55,-0.6216759779944334,-0.33106421435660305,True
55,water,56,-0.6862828084763306,-0.34058309297309125,True
56,water,57,-0.6083917207282433,-0.3188386347711353,True
57,water,58,-0.4436195253452036,-0.29853986439970026,True
58,water,59,-0.7613905135622175,-0.3026621355421005,True
59,water,60,-0.5356349586036211,-0.2939144976176155,True
60,water,61,-0.7436606225142769,-0.29343497137644936,True
61,water,62,-0.62291588137479,-0.34485292096070097,True
62,water,63,-0.6013751693305875,-0.2969754854264773,True
63,water,64,-0.5144876362242249,-0.3176453382403776,True
64,water,65,-0.3551678254215917,-0.3208813226092456,True
65,water,66,-0.60897492628043,-0.341097073090183,True
66,water,67,-0.5248991368026196,-0.31217777445431005,True
67,water,68,-0.5920914324808126,-0.3544410455564496,True
68,water,69,-0.6729277780611068,-0.32757909494929754,True
69,water,70,-0.3515487275179879,-0.2848664203874021,True
70,water,71,-0.6974783289339875,-0.3295600231232788,True
71,water,72,-0.5983274368369237,-0.3289345383289284,True
72,water,73,-0.7416673075206716,-0.3090868989452399,True
73,water,74,-0.4437776436551471,-0.3272507717496403,True
74,water,75,-0.11035295490770447,-0.2890357829661308,True
75,water,76,-0.3928769625252495,-0.2978623069368341,True
76,water,77,-0.32937298731777664,-0.3139344156144262,True
77,water,78,-0.4034165831182433,-0.3261911700017997,True
78,water,79,-0.356421545165855,-0.3087460371777985,True
79,water,80,-0.0029498927447688603,-0.2560520819944487,True
80,water,81,-0.2976651811351685,-0.30625301450237963,True
81,water,82,-0.3144454186472283,-0.3145495980106829,True
82,water,83,-0.07097526460629325,-0.28258128635580604,True
