index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,Arab,Asian,Black,Hispanic,Latino,White
Tina,0.29105692597334926,-0.2510124065922274,-0.7487623394223681,0.23242573880636386,0.19359159801446113,0.06659034077708298,0.04525668000641866,-0.09023618238684947,-0.17566328303548953,0.2735064885386051,-0.11252218791417318,0.6963890252647501,0.40235319429673283,1.0066611673959491,0.7270316597665171,-0.11272200327738331,0.8099003283134757,0.24657671832758363,0.346361255883311,0.6003328121255845,-1.1003589065619888,0.14073185961568682,-0.14588779408079475,-0.45299186523127366,0.5030400707494881,0.27786976786771883,-0.5597870202931531,-0.2412052711235312,0.6973598893789963,-0.2242536757120831,0.467678019594771,0.030237386224847913,-0.040632294240423784,-0.48360311475182466,-0.036011607088009774,0.1269387702324528,-0.1531300880900716,-0.019492374449052715,-0.10141492746187002,-0.07110928608024551,0.0013365469104970535,-0.15250033847263927,-0.038965028867217325,-0.4336911083108664,-0.054449488415199115,-0.35015721907524705,-0.18705253257470983,0.024280011434728577,-0.2796922554664957,-0.6512186011812383,-0.37575797122165505,0.19856843574731728,0.5076805661948084,0.07103463021071062,-0.03131055019152425,0.2817015119577416,0.5559889348300255,0.47927231272939,0.41670798589666835,-0.027254516872295735,0.4707873109180592,-0.8169932236886474,0.35022390619005445,0.18143286116512347,-0.3780367796961112,-1.3855038807065454,-0.7024733552781265
Heidi,-1.2526419811337945,-0.25780457799117584,-0.6888907447496749,-0.8843473304116223,-0.09569650632600996,0.06006454267657966,-0.15575655865501778,-0.12189770327214838,-0.28122532757455393,0.0731916618943664,-1.3523273688971953,-1.3483380826328317,0.34216786624643425,-0.5156325094722086,-0.9238296407079377,-0.2380214159174786,-0.09648480086819691,-0.7199077792618473,0.09822152077927868,0.6952425936344472,-1.382104279266081,1.84218105036386,-0.212451007369471,-0.6518701870448005,-0.09169862002349542,-0.32459902791319156,-1.6736366628345063,-0.678144243543791,-0.8780608842146878,0.7620251070435405,1.9233562379149625,0.27948188403149926,-0.45069132100222625,0.19618984557601624,-0.24827956941109638,-0.17724793445779244,-1.046868519037101,-0.3016577777284821,-0.25278026166941603,-0.5307512731807484,-0.5963273472432726,-0.4047685999867482,-0.17553974793569846,-0.2271454429867103,-0.12498191737601337,-0.47911603307845274,-0.35319960829374936,-0.15454137548442423,-0.04683742713161345,-0.38775744109903626,-0.3873819975282692,0.19847996251296368,0.22437673433184752,0.026534425809634513,0.13581322747872265,0.07565921142377205,-0.19304434918834826,-0.1792608050799529,-0.1020759462895188,-0.10158539954345305,-0.3259135561120395,-0.5219378908260077,0.09776469584408824,0.01591403667933441,-0.6506280757137985,-1.9785737966370622,-0.7890100954740304
Leo,-0.4814250978926297,0.248182785743978,-0.023169563611044795,-0.49257859130099957,-0.33532964202383087,-0.20368821914910049,-0.445283032439092,-0.4937653767051915,-0.5206132628391328,-0.5586715931366032,0.14637466602776278,-0.8052229535036427,0.789291434070434,-1.5188078374497238,-1.5322681054450347,0.6489405270093057,0.875715234695948,-0.06293205547843876,-1.0704434497377606,0.1704689029665651,0.4517284392158527,0.19296148866680318,-0.5065604599169474,-0.8192930312165667,0.6593786366056833,0.2273842159462724,0.3997954961545286,0.04709306132867061,0.538566817076086,0.4966070767084259,0.599353854111902,-0.19294352673336926,0.34668860751538216,-0.21124564154848885,-0.11546924826438952,-0.41855140899348964,0.012536740975719716,0.2827326605154531,-0.31142990745702187,-0.2090480845043821,-0.3298035505798193,0.42723980781763593,-0.38890308883748265,0.07845301427137343,0.12394111976090305,-0.1274858178239601,0.2613275053671478,0.1845050352197647,0.12814206641668757,-0.3876144406137495,0.001096661375377675,-0.1960159057308804,0.024679038641989125,-0.18979705328843932,0.3724967224491395,0.22412029831607283,0.12805057118320648,0.6346777258343939,0.3501844117213575,0.3949486238999106,0.466230555488797,-0.8825506467934622,-0.38631493544645296,0.10582867946395862,-0.5643419239223358,-1.07385425829815,-0.8391127823571384
Kim,-0.8740682923906435,-0.8250637757620558,-1.39128853801021,-0.3842613858530893,-0.17856553795674335,-0.12835331112779375,0.005093713547210244,-0.04953043204312297,-0.3898652291278826,-1.1100030186309706,0.5163362392365967,-1.2524648567162977,0.4412791594554811,-0.8981624214874346,-0.9931189214812198,0.9802084943707878,0.1908669175276621,2.519330903717004,0.6891724906512511,-0.0887464813845977,-1.011221873030508,-0.15196524017695695,-0.22122544269887173,-1.0288859407628663,-1.5307008080110842,-1.5162382505066754,-1.0160773283568867,-0.5142095071363316,-1.6597794815111588,0.045584354377960414,-0.8850050855529019,0.3645397103938915,-0.655740248544168,0.36265209609032356,-0.5841896994623614,-0.25453248663654604,-0.9900222487055161,-0.5449215286740355,-0.8657253183680849,-0.5640332905020772,-0.9537245360939288,-0.8052093467779273,0.18854058559486034,-1.8484804772711336,-1.1316131907027167,-0.9673682648357833,-1.269277413057533,-1.1982246436799169,-1.5707670226979529,-1.8451659067585038,-2.052148987090855,0.4233650682839124,0.21359468453903652,0.26492473847214787,-0.6014660781606231,-0.2498951347437459,-0.027460955038845374,-0.4970851854739207,0.7759843787032524,0.3799000286557647,-0.41518036679593373,0.19020267677445699,1.4648609492843097,1.5931227805698187,0.4295925962756682,-0.4680419800891526,1.1309657179458243
Gladys,0.9065089648751259,0.534940772678204,-0.2134666864761361,0.2250371463746544,0.7155985942512225,0.7712995636349671,0.7952693672236003,0.7845372016293025,-0.04250312025142506,0.32336249830157326,-1.042062405862946,-1.1219602027123925,-0.1766378168326063,-1.2911805450512903,-0.8470512226763909,-1.5607452893697156,0.12696550812939156,-0.7560518083983555,-1.595262891384147,-0.4761629757738927,-0.621627078084912,-1.0846715129403175,0.3548903723290865,-0.25028155317112066,-0.7980778049741092,0.2897447412834367,-0.3407762411515595,-0.5913367972953717,-0.7181188405080623,0.2857761065808183,-1.0548449272141336,-0.1287893938409971,0.34367921159815723,0.22111486588507992,0.8140993146910801,0.3295506102946004,0.9663141329116776,0.3902236412278227,0.9254524667296428,0.16065921208149936,0.8595424514667828,0.032335121983579046,0.06423515311791426,0.45253403201696685,0.33824988502773096,0.3909014563830103,0.4305623956838834,0.3687742920302631,0.5580531888454664,0.43248025852776234,0.657617380499483,-0.06416752201209443,0.33941589198581307,-0.03676823546900383,-0.08828879924933933,0.3014745164191846,-0.07149419628468397,0.4210174524989265,-0.4508384860953425,-0.11407779474421853,-0.5560468337435985,-1.107354591307293,-0.2687326192540479,0.14883861184181849,-1.1479016305645071,-2.5352665859177352,-0.4292548389342648
Tanner,-1.0095735325127666,-0.834121824697412,-0.9288575658658365,-0.9695198785071124,-1.043068522563289,-1.0343275095769404,-0.8341322680901494,-0.8215784092695867,-0.5649039322575581,-1.6209069384186208,-1.2432450760180511,-1.9438293438718448,-1.6675385090233072,-2.5620739376690898,-2.790629432208346,-0.6510064860673953,-1.1052603178186309,-0.9884616379690013,-2.162916634012954,-1.3677954187227093,-2.215169560366768,-1.485830088822664,-1.3745511085546418,-1.4232313068408136,-2.4997309412512,-2.5580181930019954,-1.5738396303514823,-1.6713390596281015,-1.1932808705560394,-1.9052348400132926,-1.6221598367996564,-0.26398947924291083,-0.5986597739506734,-0.5897679911484192,-0.9170137737770269,-0.5519498530387467,-2.009104820184432,-1.2151379753239873,-1.1360952952014036,-0.6701506112046546,-1.188790838580034,-1.512690142522596,0.4054361888586418,-2.4064654325016033,-0.6015588031303509,-1.3451250705965285,-1.5888918052420538,-1.2019299822589244,-0.7564645341654983,-2.0243460596468776,-2.217537170431214,-0.8013215473001508,-1.1244880334363305,-0.9162094015520801,-0.6887136260676421,-1.0843296209490991,-0.9890694441293723,-0.21693226026997264,-0.837149220506241,-0.07657490178986033,-0.49547918338267344,-0.838543448210874,-0.49875330027791376,0.013060637762868253,-0.4709185601142151,-0.9968554134352039,-1.140651721609279
Steve,-0.40843543371693514,-0.3346815897542026,-2.198627102292394,-0.2684552306174503,0.1936112151941423,0.27747313085794995,0.2803639416998527,0.044939608394473314,-0.9219094541412856,-1.7587898491236131,-0.7512060754360291,-1.2295196594261704,-0.4550812978796451,-1.174924804079548,-1.2769673643330246,-0.5171361997641797,-0.19284703454525431,-0.23294765070572176,-1.0389132065776603,-1.8753853070790216,-1.9580596164513908,-1.2587880090033565,0.2670485150944614,-1.538945712197126,-0.7526557234300741,-1.7345167161267971,-1.7401382235172733,-0.8570865108946617,-1.3355759695242146,-0.5747482952530989,-1.4197180557346065,0.23720248553345677,-1.236310732502195,0.45392108993560637,-0.6621434922413224,-0.4600059872396562,-1.3694063164399881,-1.1641556783651512,-0.6849910595669008,-0.3574556522014285,-0.8643572592942353,-1.0091678755271427,0.14363551891866277,-1.6215856968097953,-0.9680726806266077,-1.1763084574403806,-1.092716154732018,-1.0174456779998515,-0.911448260692815,-1.8098224358095996,-1.794599082972277,0.4262009326263593,0.4056367842567156,0.447704048008045,0.4356022569609317,0.558955940538247,0.3271246933222392,0.005201416759097257,0.17251731671898282,0.028602334214452862,0.07765700923695677,-0.9578081826615554,-0.228902105079661,-0.2917691727354458,-0.7646723739577651,-1.3373450654235464,-0.9286833725128086
Megan,-1.3044693036255937,-1.6121853334759093,-1.5034189299638046,-2.029977215229212,-1.2494307661917003,-0.33784553061142253,-0.9312861827205778,-0.8658274607024167,-0.9888650243887875,-1.365987137948073,-1.2360603870555131,-1.1725380158246177,-0.45279227017988616,-1.3842795189898394,-0.8190361322105633,-0.4319592480451382,0.044851139206531304,-1.0479134810456174,-1.0241620802941587,-1.3908921898038704,-2.2734355798008385,-0.8023425868618861,0.022206070030618388,-0.8811488817282257,-0.3621655305893915,0.002182413690597094,-1.4646151040576214,-1.4423008781555435,-1.2372033859569798,-1.0130628157139423,-1.1268390746426338,0.37169361283350877,0.16510927778690912,-0.005497002510938759,-0.36794865962570555,-1.3954761950999273,-0.9634159879710746,-0.45036776040068105,-0.40253066865982307,-0.3723021323470755,-0.3538392406080642,-0.5344449116655035,0.38672871990978724,-0.5367411766997666,-0.23273894970033554,-0.5679576439975991,-0.2962861931039773,-0.3213817530745103,-0.6131127521250537,-0.6856486131477503,-1.0757415710918796,0.4088074129324976,-0.42362935060921547,0.13124319325070982,-0.30450530169820483,-0.4728665907692887,-0.5825466295673815,-0.5635107907226651,-0.685840336851924,-0.2019586988174476,-1.1307005853558427,-1.5566692009251188,-0.5981046358406329,-0.9271678917099951,-0.9994051350387763,-1.9980800491811013,-1.7019433567060875
Brian,-0.3008449040374631,-1.6555954475077566,-1.8240071816228698,-0.563353272250354,-0.14954973404207278,0.17172907033138093,-0.19259815570340344,0.008414047053365391,-1.0111973865571906,-1.2238376782621048,-1.416741311313931,-1.3565774688863783,-1.0137193231607347,-1.280482272693514,-0.4766578297949062,-0.42719086353542274,-0.6524380255469533,-0.521420645418572,-1.1550188158641284,-1.783904314263269,-1.8818074651198111,-0.6684805973533904,0.26943323272858616,-1.0187608661714267,-1.3085799987103468,-1.0884111192455477,-1.904438722217141,-1.4349051603014467,-1.2216281970834497,-0.7688431272695109,-1.1807840229883815,0.2747221007710618,-0.8803421719352686,0.8850117475649084,-0.5750124078370914,-0.26114449251032146,-1.0760492265845207,-0.44044237020582594,-0.24985395426357399,-0.13712252266484498,-0.8467646997510831,-0.6946450982018815,0.12110204439049758,-1.2019268995718984,-0.990127097574266,-0.6979069920838349,-0.5151839130738708,-0.9458609371026436,-0.9330688229749523,-1.2138096349514258,-1.4084038612179757,0.24383256555210395,-0.12286450117578891,0.339763187160549,0.07215727822946963,-0.07885363969569435,0.24868280092399095,-0.22016531108673118,-0.1023748931022919,-0.29878513288845104,-0.3578319198449886,-0.9145265992829724,-0.5247948583207255,-0.17960125211258474,-0.6950047361153333,-1.2988043572884413,-0.9055680707239245
Gilbert,0.7546629260274377,0.6227025668329639,-0.013603871532156411,1.181045113314121,0.5918955818333376,0.16383580797814115,0.6583595864995956,0.737632181577025,0.2940990981222531,0.8866978479729339,-0.8964822991880735,-1.2478296477619732,-0.03142007087322502,-1.6509125860810117,-1.1673908197741265,-0.543777676637029,0.17417911254909602,-0.20913281787870008,-0.9246948999721354,-1.0402837213784355,-1.8012928965817854,-0.5123490184219814,-0.13458830262505073,1.0075492785462328,-0.8853388429909649,-0.3105205045794387,-1.7002090368049938,-0.3643439308314995,-0.31211754646333284,-0.1232789520423227,-0.27256790996488117,-0.2377006942084261,-0.4853783468580319,-0.19882865536628247,0.06574215604610843,0.41415462537697856,-0.3339273400236132,0.12901024900571056,0.09482092712044851,0.06387086899227787,0.6136535919156609,-0.4372883720794898,-0.2686040792755358,-0.58862588843631,-0.2369320161938024,-0.8059422082608942,-0.43082645272655856,-0.07871932144819632,-0.049605550710646665,-0.4012923518252922,-0.47357752012658966,-0.4816353502318065,0.21195202672740784,-0.39011558986051603,0.22405069546392484,0.7608672086250667,0.5588187789848142,0.5457450066037505,0.7196911196365237,0.15206340712372168,0.9757682707409824,-0.05068642003191876,-0.04948545622773883,2.3980394513824654,-0.4539791123584893,-0.9751023698475358,1.710332145029167
