,sport,yob,direct_correlation,indirect_correlation,same_correlation
71,football,1991,0.20710795923978065,-0.03797202474147185,False
72,football,1992,0.16618569926844048,-0.12666620671207393,False
73,football,1993,0.13836795583933958,-0.07950416809242783,False
74,football,1994,0.15835836390451868,-0.16039373270525048,False
75,football,1995,0.2351335117246253,-0.06530308024629079,False
76,football,1996,0.22792323773508424,-0.08928367122038441,False
77,football,1997,0.3167215434440386,-0.11743975854302224,False
78,football,1998,0.2986898168329858,-0.09033147131171608,False
79,football,1999,0.3046001478969203,-0.0015402583905858198,False
80,football,2000,0.2383703692160831,-0.07059825869773284,False
81,football,2001,0.26451424823241604,-0.06397959370597013,False
82,football,2002,0.3324164151397471,-0.11566653135290304,False
83,football,2003,0.24684423695990665,-0.0401124803268405,False
84,football,2004,0.35052321433750355,0.01345499122023445,True
85,football,2005,0.41068078835154576,0.11338642592077475,True
86,football,2006,0.4101033439013824,0.08450086961222851,True
87,football,2007,0.55917486100326,0.13290910953784318,True
88,football,2008,0.5859102105425544,0.15547654907857936,True
89,football,2009,0.5511744208903305,0.14327047214737185,True
90,football,2010,0.7095590754278239,0.12260771924996765,True
91,football,2011,0.6255306837287411,0.08382503773571466,True
92,football,2012,0.5743098100313184,0.04942698245626508,True
93,football,2013,0.6606461620019637,0.029497633399174595,True
94,football,2014,0.7340060667541723,0.13160528918193715,True
95,football,2015,0.6370267218930404,0.061333702829724376,True
96,football,2016,0.5947010651597452,0.0231218828861177,True
97,football,2017,0.5801311770750159,0.0588593294144182,True
98,football,2018,0.4519227140122613,0.2019696628679179,True
99,football,2019,0.1961432809740479,-0.02012797508465901,False
100,football,2020,-0.18795874647344496,-0.11892918133873855,True
101,basketball,1920,-0.6771035601154828,-0.5171719180107793,True
102,basketball,1921,-0.2785098338703492,-0.4469940362940816,True
103,basketball,1922,-0.472380307239569,-0.3894964665370249,True
104,basketball,1923,-0.3330417854568285,-0.454147829169253,True
105,basketball,1924,-0.35930993870965205,-0.4860820526457218,True
106,basketball,1925,-0.26740893090023043,-0.5615705973557168,True
107,basketball,1926,-0.4905705257941116,-0.6060549753446816,True
108,basketball,1927,-0.4659337848049693,-0.5933765478322222,True
109,basketball,1928,-0.5541460615505425,-0.6085534829330399,True
110,basketball,1929,-0.6587528407636777,-0.6120700605133933,True
111,basketball,1930,-0.8385080712624048,-0.5860864403880189,True
112,basketball,1931,-0.6316801668034793,-0.6523221456231963,True
113,basketball,1932,-0.9464869667874598,-0.6689061260160473,True
114,basketball,1933,-0.6736618828006211,-0.6291104945482155,True
115,basketball,1934,-0.7068597534649769,-0.6126092738787261,True
116,basketball,1935,-0.4456400098039081,-0.5793365089860446,True
117,basketball,1936,-0.5382162211617756,-0.604928685944533,True
118,basketball,1937,-0.6094595079858804,-0.5672540027215202,True
119,basketball,1938,-0.4476219767415896,-0.5340014575929092,True
120,basketball,1939,-0.4343484265738125,-0.4840184135730121,True
121,basketball,1940,-0.6584961675885133,-0.4611464169599277,True
122,basketball,1941,-0.3639604262463189,-0.470176484111017,True
123,basketball,1942,-0.3719144215751346,-0.4297692648408295,True
124,basketball,1943,-0.3299554277472739,-0.510297829114704,True
125,basketball,1944,-0.4562896236425982,-0.5821660322791425,True
126,basketball,1945,-0.44319193092280185,-0.4368408145963771,True
127,basketball,1946,-0.2533874430205213,-0.43280611082306586,True
128,basketball,1947,-0.3861330871893928,-0.5171202698319108,True
129,basketball,1948,-0.4047255099590457,-0.5277515413372342,True
130,basketball,1949,-0.36531571172665855,-0.4405645766338229,True
131,basketball,1950,-0.32280244355456394,-0.4441152097246681,True
132,basketball,1951,-0.3252714744732042,-0.4542745902199111,True
133,basketball,1952,-0.55669916439455,-0.5055242894747971,True
134,basketball,1953,-0.3875412082185138,-0.530447858911639,True
135,basketball,1954,-0.21358473698853164,-0.44379256962408864,True
136,basketball,1955,-0.36401544744046505,-0.4808945963629097,True
137,basketball,1956,-0.4894730956618916,-0.3680082433167293,True
138,basketball,1957,-0.30245275746037303,-0.35290016238832483,True
139,basketball,1958,-0.6155690720310942,-0.3971921249200485,True
140,basketball,1959,-0.4547644050873071,-0.2685094151041853,True
141,basketball,1960,-0.4285660646305558,-0.35882656045214073,True
142,basketball,1961,-0.41298973983694004,-0.3989399054635846,True
143,basketball,1962,-0.3366530117338916,-0.2450249661238592,True
144,basketball,1963,-0.2853379188282942,-0.37725560029959015,True
145,basketball,1964,-0.5674478452750439,-0.30287612370074796,True
146,basketball,1965,-0.22219567605745666,-0.29891844981190224,True
147,basketball,1966,-0.4166115839312212,-0.3083207001164129,True
148,basketball,1967,-0.3986318732160141,-0.2138596249493171,True
149,basketball,1968,-0.42118064373139663,-0.3304012062380796,True
150,basketball,1969,-0.5188031535511314,-0.10189057092085778,True
151,basketball,1970,-0.3606682628177367,-0.09737627524217887,True
152,basketball,1971,-0.3074103612487834,-0.09687638196466117,True
153,basketball,1972,-0.23598289044398796,-0.15813816591865826,True
154,basketball,1973,-0.2081348139907208,-0.1607667441334057,True
155,basketball,1974,-0.09850724189399652,-0.1295237661401542,True
156,basketball,1975,0.05921757906658854,-0.02430073083808371,False
157,basketball,1976,0.02372646790294924,-0.033486818718911134,False
158,basketball,1977,-0.010452542992982532,-0.0023117312001997878,True
159,basketball,1978,-0.07484612329815864,-0.055528387223062935,True
160,basketball,1979,-0.009914843344032392,-0.05753162698747433,True
161,basketball,1980,0.087738307333246,0.10245755373614183,True
