index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
skipper,-0.3453960667025835,1.5398230082429927,-137.12871,-41.841553,5.499044,7.985059
soldier,1.1331889893848122,5.744064914451226,119.55172,29.1307,1.8111522,14.613591
socialite,3.024933746275399,-4.528431849769711,-40.258133,116.272194,-0.5728338,7.816775
stylist,7.782028468257622,-0.5427487784118916,36.541847,115.033585,0.10767479,11.32082
surgeon,-2.900988953499544,3.1023847312054653,84.534996,-54.08586,7.839893,7.171511
teacher,-0.780165122217264,-5.716016028549101,-52.899445,56.067486,-1.6809682,5.871149
therapist,6.612191893185313,1.1409919750390403,69.28915,117.35917,0.392604,12.129434
translator,-0.40982805507496645,-2.45390372953217,140.19777,-148.2819,9.882551,12.635181
undertaker,-4.933636892329372,-0.2642413939229889,-19.488253,-113.06877,8.352951,9.895345
veterinarian,-1.117243965253614,-0.0811828916600804,-126.254906,-22.253904,5.9093595,8.068434
videographer,5.303077101482326,3.385580212500646,86.511345,106.06631,0.39984292,12.6
waiter,-0.5295399755252349,2.704502260205386,-141.35814,-54.39344,5.407085,7.8970203
waitress,6.721505695716852,-2.853243467368702,9.736743,121.662796,-0.21852703,9.819856
warrior,4.39767163152876,6.40641266009919,119.2727,42.919456,1.52604,14.459978
writer,0.5866232453524235,-3.2977889655090653,-124.06861,97.76517,-0.3635631,6.4187427
