,beverage,yob,direct_correlation,indirect_correlation,same_correlation
242,tea,1960,0.803639411870745,0.3394307930288558,True
243,tea,1961,0.720316772510365,0.3632185020855977,True
244,tea,1962,0.9194046857218066,0.2560037570096049,True
245,tea,1963,0.8329764879906034,0.2874395785215595,True
246,tea,1964,1.010992640352812,0.2430233401678293,True
247,tea,1965,0.9143794130633898,0.2337924348946801,True
248,tea,1966,0.7999628993830575,0.19326476231776307,True
249,tea,1967,0.5993240494826197,0.0762031052719264,True
250,tea,1968,0.516611836325875,0.12524681230038762,True
251,tea,1969,0.4486980744560815,0.04476867603185986,True
252,tea,1970,0.6915347209789268,0.01800309433716445,True
253,tea,1971,0.5231894991662887,0.034230734069379085,True
254,tea,1972,0.3863639380508856,0.029958644422580512,True
255,tea,1973,0.34747823828534924,0.05614793933288534,True
256,tea,1974,0.5351921237985298,0.06135608778701945,True
257,tea,1975,0.4516575504434721,-0.05957659118549506,False
258,tea,1976,0.36601861783193795,-0.06462067698366047,False
259,tea,1977,0.3062343994507689,-0.06833225133550262,False
260,tea,1978,0.4614291678035828,-0.09272931113447637,False
261,tea,1979,0.3588404798983313,-0.08848233861348624,False
262,tea,1980,0.2273990084338736,-0.22404644344376975,False
263,tea,1981,0.2140538020252073,-0.1547946563347058,False
264,tea,1982,0.3488652483335654,-0.12779562547685538,False
265,tea,1983,0.28913487107561153,-0.13800502091695033,False
266,tea,1984,0.013109368434150288,-0.10623156574225703,False
267,tea,1985,0.19044005458885832,-0.1891091937193263,False
268,tea,1986,0.3438683815399861,-0.12581758808761315,False
269,tea,1987,0.2363831555185517,-0.08166890168065576,False
270,tea,1988,0.2107032356444788,-0.1677549420722205,False
271,tea,1989,0.26946330220590725,-0.17408652141141245,False
272,tea,1990,0.4365922343775071,-0.2033869643069543,False
273,tea,1991,0.1692328627438751,-0.2373251903432347,False
274,tea,1992,0.15969589464933734,-0.1984997855221628,False
275,tea,1993,0.2912389282790497,-0.19068680798701,False
276,tea,1994,0.4283582498327569,-0.17486489875459935,False
277,tea,1995,0.5131294201997839,-0.2103156475763953,False
278,tea,1996,0.339764536245299,-0.1988664360815403,False
279,tea,1997,0.13369885659303588,-0.19575734025675395,False
280,tea,1998,0.3177076983506264,-0.2234817135560579,False
281,tea,1999,0.23850555146007285,-0.3096313197033464,False
282,tea,2000,0.30813790291213944,-0.2620109551989667,False
283,tea,2001,0.015196111761174072,-0.251371549974696,False
284,tea,2002,0.061584866909889374,-0.21554019790172227,False
285,tea,2003,0.16668254240889946,-0.2703239287614455,False
286,tea,2004,-0.006229769173498269,-0.3252765623878356,True
287,tea,2005,-0.027422066214213472,-0.3528027939461319,True
288,tea,2006,0.1541020611050101,-0.2920053037041793,False
289,tea,2007,0.058239318426265736,-0.3436794092435321,False
290,tea,2008,-0.05822942283411661,-0.352835221316024,True
291,tea,2009,0.3193791096979272,-0.3217142207921264,False
292,tea,2010,0.387665871747228,-0.343421053758015,False
293,tea,2011,0.3256218919210642,-0.31084350921203474,False
294,tea,2012,0.15322884104099788,-0.3251816359480634,False
295,tea,2013,0.10241692754248473,-0.2701798424228693,False
296,tea,2014,0.3150965130359693,-0.3107951105436377,False
297,tea,2015,0.2925523573485481,-0.2732017359209211,False
298,tea,2016,0.13530725729486462,-0.2427950278115024,False
299,tea,2017,-0.06810192427348749,-0.27988672966654754,True
300,tea,2018,0.31655353326841623,-0.2654485247421639,False
301,tea,2019,0.08797595470809899,-0.17973207078512551,False
302,tea,2020,0.0024277419124853128,-0.08369522834915638,False
303,juice,1920,-0.677155542312172,-0.03796651019543571,True
304,juice,1921,-0.7121576815558758,-0.08231694730923644,True
305,juice,1922,-0.5403204460373651,-0.1169832154066977,True
306,juice,1923,-0.5711379328852265,-0.07601350907303316,True
307,juice,1924,-0.3992193258943562,-0.030014423588801662,True
308,juice,1925,-0.2682619043962013,0.01293314715280838,False
309,juice,1926,-0.08702123231325241,0.041303252025024766,False
310,juice,1927,-0.15993292985126656,0.05019703003755848,False
311,juice,1928,-0.1355633104997409,0.013579801783070028,False
312,juice,1929,-0.08141201180884683,0.012383098319633516,False
313,juice,1930,-0.06048011943456046,0.04024483698560883,False
314,juice,1931,-0.2678372717674419,0.05711819521772405,False
315,juice,1932,-0.2068821177549516,0.05167865187565573,False
316,juice,1933,-0.36935997873534493,0.02138753540110031,False
317,juice,1934,-0.10367314105006932,0.029704714629980263,False
318,juice,1935,-0.07294887700030975,0.029308325073005174,False
319,juice,1936,-0.2373056152978928,0.034810636815208865,False
320,juice,1937,-0.18620354923712448,0.0011111107281613869,False
321,juice,1938,0.03629915097584844,-0.0004113515391042799,False
322,juice,1939,-0.1954245860567238,-0.08617753407830049,True
323,juice,1940,-0.2365577530710936,-0.0016137285131707475,True
324,juice,1941,-0.32245923502200186,-0.04583658441727975,True
325,juice,1942,-0.17803434213883762,-0.04826580089190775,True
326,juice,1943,-0.15847958870871934,0.0031792143330024165,False
327,juice,1944,-0.03816293113658982,0.03240990023955917,False
328,juice,1945,-0.33778223876752755,-0.08283194806022376,True
329,juice,1946,0.02492485297656762,0.00397797251772905,True
330,juice,1947,-0.09328229565570301,0.03705695266825172,False
331,juice,1948,-0.05954847629437876,0.04163235520246434,False
332,juice,1949,-0.06740796154948392,-0.030203641457480036,True
333,juice,1950,0.07914499329647336,0.02531323004889952,True
334,juice,1951,-0.09495046707436004,-0.0019453257346776231,True
335,juice,1952,0.01297049273394517,0.01984824401359927,True
336,juice,1953,-0.010195723614027777,0.0733903502978558,False
337,juice,1954,0.1183093605500767,0.02690797872498098,True
338,juice,1955,-0.00533622767500426,0.056434501488899176,False
339,juice,1956,0.17334185056465135,0.048556398313077606,True
340,juice,1957,0.2831244806977321,0.035709800143166034,True
341,juice,1958,0.3026915887969349,0.039897017334415405,True
342,juice,1959,0.3452246905575885,0.027200456806229657,True
343,juice,1960,0.2522528736690694,0.06589628106326602,True
344,juice,1961,0.2573747175619909,0.061538319811745824,True
345,juice,1962,0.5726724937979524,0.025403972469860796,True
346,juice,1963,0.4493026330182499,0.09002276746202313,True
347,juice,1964,0.44072170046603976,0.03729184115910103,True
348,juice,1965,0.4872054535978471,0.035148586455348414,True
349,juice,1966,0.5630656869505032,0.059707905511660476,True
350,juice,1967,0.4769708548265337,0.04342775132453593,True
351,juice,1968,0.5618303180217594,0.060119670784128776,True
352,juice,1969,0.4870003644995449,-0.04390927062736148,False
353,juice,1970,0.494184877281199,-0.009419623592027077,False
354,juice,1971,0.3471982536096645,-0.018776089586050523,False
355,juice,1972,0.4375332393346555,-0.006429065449829705,False
356,juice,1973,0.4712305951667422,0.02725824453409093,True
357,juice,1974,0.5984156158664412,0.07437045512790685,True
358,juice,1975,0.6048612630464283,0.07707355039779233,True
359,juice,1976,0.6460841931704705,0.06677644097357134,True
360,juice,1977,0.708513115194421,0.06599353170943488,True
361,juice,1978,0.8140308156056895,0.10159477973060167,True
362,juice,1979,0.5804538245440525,0.09626542400530302,True
363,juice,1980,0.5613958356395384,0.07936422159692907,True
364,juice,1981,0.6040970947489124,0.08429824890222049,True
365,juice,1982,0.6918970754060775,0.1083514484552332,True
366,juice,1983,0.6711245595056455,0.1511592566432249,True
367,juice,1984,0.5306674118960553,0.13064886938121473,True
368,juice,1985,0.5058898326326026,0.14700746110998086,True
369,juice,1986,0.6570727425172214,0.18022280474946709,True
370,juice,1987,0.5599774694201,0.1684831408515414,True
371,juice,1988,0.4818117860218379,0.12864291993255605,True
372,juice,1989,0.6223638032430349,0.15672882989601133,True
373,juice,1990,0.6625638407092802,0.1392809993229897,True
374,juice,1991,0.4123839068676916,0.13141537286446928,True
375,juice,1992,0.5887428887278473,0.1305613375972971,True
376,juice,1993,0.6554051429585362,0.1286008137321081,True
377,juice,1994,0.6552399326059463,0.17537053961187862,True
378,juice,1995,0.7088255873661649,0.15375776804835367,True
379,juice,1996,0.7062289761039695,0.16619940675551464,True
380,juice,1997,0.673050507188197,0.17883909707290846,True
381,juice,1998,0.8475131210880412,0.1674303775366443,True
382,juice,1999,0.7892223469777371,0.12696045300146686,True
383,juice,2000,0.6632202258611118,0.16277883133785534,True
384,juice,2001,0.5749848316294202,0.14859680941725525,True
385,juice,2002,0.5993387220689191,0.1757153954153867,True
386,juice,2003,0.573069440243496,0.14877120149433254,True
387,juice,2004,0.6438252556362547,0.15506581091524935,True
388,juice,2005,0.6494951318201093,0.11963836026732955,True
389,juice,2006,0.7608351728621352,0.1368426645612597,True
390,juice,2007,0.5467377158809821,0.1230308558543072,True
391,juice,2008,0.5282663629304439,0.11542732500400042,True
392,juice,2009,0.5760339889795922,0.13563189632669992,True
393,juice,2010,0.5910891331692033,0.12701267135763974,True
394,juice,2011,0.4731791556479129,0.1598353735788555,True
395,juice,2012,0.4690503980058005,0.1767709793616806,True
396,juice,2013,0.27293649815179205,0.16534076275645954,True
397,juice,2014,0.3990730650694861,0.15482519538404688,True
