,occupation,country,direct_correlation,indirect_correlation,same_correlation
74,air traffic controller,Ukraine,0.5771874030946301,0.0734695817732422,True
75,air traffic controller,Poland,0.10579681266521034,0.12152482896128465,True
76,air traffic controller,Romania,-0.26598598796599915,0.08719791373729198,False
77,air traffic controller,Netherlands,-0.07174679171915069,0.24277230073414394,False
78,air traffic controller,Austria,0.5326988212775818,0.17839258553721288,True
79,air traffic controller,Mexico,-0.3654483705617252,-0.10793204817544973,True
80,air traffic controller,Canada,0.4452396512009668,0.2200630978081028,True
81,air traffic controller,Guatemala,-1.0354707531332448,-0.1283815206175571,True
82,air traffic controller,Haiti,-1.300276088574135,-0.15935322380053424,True
83,air traffic controller,Cuba,-0.5163578986239463,-0.1476297087170302,True
84,air traffic controller,Honduras,-0.7345382493035668,-0.0410215867740618,True
85,air traffic controller,Nicaragua,-0.5016967957055167,-0.042907058150057416,True
86,air traffic controller,Brazil,-0.4617876295216017,-0.06115169577881524,True
87,air traffic controller,Columbia,-0.41339198238119307,0.2577710774100095,False
88,air traffic controller,Argentina,-0.3601935842158245,0.0016900524837558226,False
89,air traffic controller,Peru,-0.26708480424718245,-0.06104625952545099,True
90,air traffic controller,Venezuela,-0.053836904968146505,-0.044537928557290836,True
91,air traffic controller,Chile,-0.2065800740569722,-0.02788566897114391,True
92,air traffic controller,Ecuador,-0.1737395171072851,-0.09437847805904136,True
93,air traffic controller,Bolivia,-0.4616447529477861,-0.10018469311448842,True
