index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,heterosexual,straight,homosexual,gay,lesbian,bisexual,bi
Bailey,0.9009189678571434,1.0567479788103782,0.8496260153430055,1.1328199400665315,0.7405871468801728,0.8103964114903954,0.8106225462661126,0.7581737102740335,1.2557904683175,0.9123588160887306,0.7744469817392787,0.7606598347167061,1.1700637878134523,0.6382504577521604,0.957101925679921,0.3652379423196562,0.49236015002975175,0.6414202716596372,1.27096148122928,0.84187752006658,0.6572110959573636,1.1810363751680752,0.9576757950912045,0.8991980695434219,1.1016255534692982,0.8982240464284444,0.5641532011112818,0.9204208587000301,1.100622485800399,1.0697841269148274,1.2329322606700024,0.7614018484672437,1.1520284668594691,2.2301343509281977,1.0905220155232944,2.4801757039821983,1.4930292444874333
Marilyn,-0.570482970251464,-0.5546022138888747,-0.5055555227812496,-0.6038505264395044,-0.12158544382399328,-0.7305675181062591,-0.353671706106901,-0.7753545047506338,-0.3540492821812537,-0.15337129725061863,-0.6534404640097061,0.20078425119836787,-0.473089733532203,-0.5130154795440253,-0.28695407725217226,-0.5070081919415402,-0.7291862034621904,-0.3587663879582206,-0.5599407141501244,-0.4972722435348261,-0.5904973105734314,-0.4800742227930561,-0.6827150184754559,-0.715949503422305,-0.18168313540361167,-0.238920477147408,-0.4091759778710984,-0.5846012792178363,-0.41945674126975085,-0.23343352263827113,2.1998582430942384,0.6051467707971717,2.336056776952371,3.2499418827643543,3.5529037189150605,3.889992829950521,1.560712670033243
Brady,0.7457991404958093,0.7135121033629303,0.13802517199137543,0.6799859000172044,0.3100671407244397,0.467467024654932,0.42605861991464133,0.11299681551000772,0.9140645905414199,0.7788848602485763,0.4358461734957847,0.6515014699420227,0.37169056818965535,0.10083967699463214,0.3082163714724715,0.3131126703013094,0.1309106432506984,0.26886858168500094,0.445169728628783,0.70182463038754,0.8192028922888697,0.31074508746428653,0.626306494282801,0.6928254748034097,0.7097448033614173,0.8394390477765833,-0.16148280972114962,0.7367930735586811,0.558061846756007,0.8799600723808785,1.5806119949000044,1.0870516306572486,1.676722384153527,2.673381254876537,1.312031067519212,2.63587402016513,1.277640356257075
Brenda,-0.8115685954775639,-0.8479213490852453,-0.7601463607923145,-1.0832938159979204,-0.07077164762489799,-0.31950059286350585,-0.3068778477720068,-1.0309238396238605,-0.6211352627753013,-0.2514074331494266,-0.749655743389656,0.10192731011219376,-0.8382485725081085,-0.7308545620145418,-0.4851638099667505,-0.3299461562620788,-0.9424119508215434,-0.14761224408047866,-0.5136950484947002,-0.19074769353624707,-0.6571224547070652,-0.4202102441354711,-0.6981334878155173,-0.5148338881468065,-0.9101350193006005,-0.3209997220400822,-0.6711100201236297,-0.5020922482123397,-0.812022225687481,0.16799053728644833,1.983664485838799,0.7694906690281325,1.5049536770119913,2.2708538669372067,2.7593934155934297,3.159640181762129,1.5822838338809913
Wyatt,0.23960120853098613,0.46428052793140767,0.08917495888489242,0.4293801505159596,0.18472633485687084,0.10460204364792985,0.1123316648772982,0.048960766517129016,0.6450916663255499,0.602983575711319,0.33343311400755915,0.45085679420676644,0.18314648378043974,-0.11916207056283797,0.45065699262474734,-0.143614557996273,-0.354014438999278,0.11842211999571152,0.24938577653149707,0.5945124791894851,0.40537345586197426,0.41443782916722827,0.41279715856837507,0.6648628314217317,0.2094671791571299,0.4011927885251398,-0.08331358527980513,0.45172164074195814,0.16099338825196194,1.1998012951039196,1.7120555624151979,0.8470323620206947,2.0917829930067873,2.822392326721304,1.6420242352812746,3.0343995279918996,1.4994622312824262
Kylie,0.5877426420914297,0.7257631804936406,0.6567823973454715,0.7937033759628724,0.5881849273708214,0.6099726316049029,0.4181635123215354,0.40544464711784683,0.8842478670450359,0.5926875756947502,0.8471289073190689,0.4769053990935486,0.5237588587675218,0.6388287730365422,0.4061646819440643,-0.12056133678580494,0.1359684676961542,0.3370050778292907,0.7449669129721623,0.2355172851736403,0.5125337281608852,0.6869575808492672,0.5439091326895737,0.579789403964094,1.069750552650321,0.027247958376155405,0.3529384343925162,0.46099189430681686,0.5509023248942607,0.48463751848994635,2.0154359105976196,0.9270251765392611,1.7724148699433946,2.923134676959428,2.9953661443162902,3.3649094738194543,1.8869535937473962
Harper,0.5838480090868305,0.9696049444485173,0.39926588339164243,1.2212482455220082,0.2611851775211341,0.32186201457249913,0.3281330389164969,0.3133335234650623,1.2160434129650617,0.9880910944169341,0.5670792061812547,0.2962653928917826,0.49641714288049776,0.24307869157386058,0.33043767828117454,-0.3840155242290105,-0.18248402263170274,0.13807962382570993,0.9425105865047503,0.5045997316436798,0.7568874363447361,0.6676231220873463,0.6597380290004244,0.5944357689776529,0.8182910724689391,0.11637618231631222,0.44230014304647014,0.7600921666874152,0.7521175794498858,0.45584983820003827,1.1966801422124216,0.7238595857224025,1.2211405689300023,2.351420804132661,0.7318618237573992,2.058560413824397,1.0125604672848034
Katrina,0.20348244194720705,0.3105765251001089,0.036037327699714065,0.1725474146757745,0.39006133570128826,0.35981430247959156,0.21511056721242516,0.07830430518322766,0.15021083334366858,0.5590173905144981,0.286870205423937,0.3487389836032901,-0.05490117709602519,-0.06579332450047853,0.35813990646101057,0.7998783936057785,0.5143214290083366,-0.09761417719728896,0.3183191616587611,0.22090216384666073,0.4284724309479408,0.13737126397436383,0.003462576617937487,0.3192695915073327,-0.17256688000592674,0.5326557536001176,-0.1314600367724283,0.14604268090937034,0.4372325057643526,0.08094607822457807,-0.05464422491012102,-0.3989190436954242,0.05657177787885804,0.7692192227807604,1.987466388722703,0.49058337808916647,0.04782365338413408
Bonnie,-0.23286433283116456,-0.09318193955435995,-0.4690903135004969,0.006562849574959345,-0.1026449395146261,-0.24323433829794183,0.008363001101413569,-0.18509607588943017,-0.13299073407870154,-0.3974397108667986,-0.3520145578847976,0.42243625018977365,-0.3780891273936348,-0.18913280704161445,-0.06011053552881551,-0.01923786040658856,-0.038811425249278844,0.006352807662019195,-0.06912847043689352,0.2593027891435464,0.18739594366615492,0.09934146678263114,0.02443982307312489,-0.0582067395137779,0.1727374659682028,0.29458705885782666,0.23377861825471194,0.05304884817161767,0.022829346998008333,0.06677343701719057,2.04071699593344,1.0766987720728542,2.0925671481317365,3.243445465037713,2.422626523690787,3.4547253427336893,1.7456144849819764
Stella,0.5378860610914642,0.5269643932051437,0.7988249220233257,0.6461148136622397,0.23845959982395998,0.23081171136987516,0.3713291284637276,0.06834315633126106,0.7018290114109552,0.1546728188607526,0.5489337720028524,0.2160632358785654,0.27113304411017203,0.6004521559097407,0.270784861180529,-0.28781598375471656,-0.005352589107440155,0.18724916101068362,0.9358529478752157,0.20193659891331903,0.2194042895385448,0.4834235162450603,0.5617520729124282,0.006996867724383515,0.37919217695459123,0.008804220441589117,0.6293211347462386,0.7550347101138526,0.5401895693255027,0.5350666670278864,0.6518339804437242,0.6354061814835058,-0.027628373753716243,0.5367685581720613,1.6742110357855808,1.860703336909744,0.7926652306682106
Ronnie,0.7387849045133106,0.39527650204134585,0.6067448491974999,0.08272914017046797,0.4250893632075065,0.25187937315826453,0.20766168626236828,-0.3299602400964381,0.4012897059478112,0.6872761665542855,0.7887884364904597,0.7199196117118767,0.33995495240774454,0.33735125760294254,0.492273835718545,0.09689261058839116,-0.0764280220639294,0.042503095230748175,0.06261880498684289,0.5169892852477673,0.14420546370513876,-0.4311777393374854,0.12293193960118592,0.25121751110243706,-0.1159797770954697,0.4220463221315387,0.002850196686756148,0.3600612071455629,0.15405695287064267,0.6301184785972537,1.8220010193565659,0.9400095167285564,2.0426396757040712,3.145765953384329,1.8697994116046495,3.12290439233541,1.6140611231348931
Louise,-0.18005610126910115,-0.2889919769044319,-0.027552004350615614,-0.043794774007574706,-0.13331612972690485,-0.4676453063575245,-0.10481668501894484,-0.31938966557224785,-0.26011677028444047,-0.3309860552053451,0.13432135313158913,-0.04378733553890418,-0.17403205922538043,-0.21950940419804146,-0.1604700658300451,-0.23524128166431096,-0.20595589756409424,0.11005958879973268,0.044484007156421576,-0.12259623600630802,0.16597136838177373,0.12362394349980414,-0.15371008603322836,-0.4254895162354443,0.601494278045429,-0.028147969404545645,0.269005880726136,-0.18147045634491232,-0.06610669196420205,-0.20216973466530805,2.1301862862563463,0.6755939852499976,1.7849288773306138,2.895724648052162,3.459227214458893,3.5001801054102955,1.7140997961699629
Timothy,0.09904460238438922,-0.05639742459373742,-0.20550172167624564,-0.27635008089462737,-0.015032444268347442,0.08437056303809123,0.018022723738917466,0.09930398603158014,0.11363481539843485,-0.2332932121781032,0.2105365044299905,0.25916386727224466,0.4599899490197303,-0.10976188395617438,0.21728314128170523,0.01757159937190812,-0.3554694320258453,0.3714485965108878,0.10903690056724762,-0.36252669287517447,-0.37264146958422356,-0.02670459615625683,-0.015571006120290371,0.17595151297945363,-0.5000130379983724,-0.00795547347752866,0.2097423971240268,0.1797304051004605,-0.1378633518699022,-0.001087545408791298,1.9080600648585786,0.6192385584060107,2.3461307158489304,3.1060350193748967,1.2870015921131417,3.215380489957756,1.522641192378435
Teresa,-0.24813580177228126,-0.3609174004614016,-0.18145445129171522,-0.49072766908192106,-0.18522457900525438,-0.43124249316746116,-0.1909947679277127,-0.20891684718860162,-0.1383081907356917,-0.23592382633623946,-0.49812223972640957,-0.023915075264604953,-0.16040904620917693,-0.2405046373376359,-0.06965282301216148,-0.3188497355892926,-0.1252211908323464,-0.16508270715004406,-0.3226875871883863,-0.39754612323993876,-0.0723675186388087,-0.3060183140921297,-0.24597725692957556,-0.42118531085351607,-0.35203818366390843,-0.07623725438295867,-0.006536093789378114,-0.3583183127501991,-0.22431925585792076,-0.08851251230844152,0.9640807550697702,0.6088505423992334,0.5550863192682335,1.6314340886327197,2.0266997762239467,2.2861654092389134,1.243215591598237
Payton,0.4604053070809954,0.9106868932229719,-0.5779863018769512,0.5612038730307009,0.2738382064871932,0.48447399138927655,0.062000970562279586,-0.07695250249962657,0.5503619040444019,0.6017308335444368,0.1610504930903558,-0.13475554895397712,0.5411469235767727,-0.26282903012220743,0.1281251502235182,0.26666255134099054,-0.37880653393566505,0.0008633920793791709,0.15884599426285065,0.4907718361621768,0.2226167989839829,0.4641252203912058,0.2718307529835291,0.7568471378317635,0.3880614263978273,0.2889797655765124,-0.5951354033054342,0.5897680274231595,0.1930703227444629,0.1876209665693548,0.1279971694515005,0.46921699470456785,-0.08988623415715753,0.6146652366978272,-0.06575079339482778,0.9981374723926563,1.1521103385649634
Eddie,0.7825974991030242,0.8117283035640707,0.37734026237721363,0.6049076852451899,0.48440053489995766,0.20365007075536753,0.30067887200711024,0.26075603011130283,0.9176557903995851,0.9908538128717037,0.5182644425947368,0.729355633870531,0.5526016780124312,0.26650734131645004,0.6249453886910106,0.36687091881752426,0.2066164712890175,0.20450531398767624,0.74334957532643,0.6388230972729565,0.4196196717673067,0.16025081059669743,0.4142044052278351,0.589146228388473,0.6083117119772995,0.6850024162483966,0.09708758915805007,0.5313928710475597,0.6315514001635135,0.6962850318257476,1.47072389988573,0.761166524455285,1.31190835004172,2.962444972390051,1.3713534799173155,2.714962498664765,1.4062809078056746
Charles,0.14552355446582335,0.26890899766138276,0.18853751311368144,0.14693551319572848,0.15262839594599165,-0.11156492487317465,0.04165599138672403,-0.07166361324859437,0.3721141748139765,0.22381879783031222,0.030681511612455428,0.4843021329488027,0.35499407502901176,0.08027905320279252,0.38058134895836226,-0.4222275422547753,-0.223518476692398,-0.10874928555605089,0.38483508696888513,0.06164945155511132,0.14627287287687182,0.0036086405324615364,0.17709985054858324,-0.035789027788777024,0.017085710259885235,0.030457128726941594,0.2173202997062914,0.15909156705745903,0.3214982623716635,0.1738687449161043,2.664891758543543,0.8728665767272583,2.980383201914309,3.6630688509939056,1.461781307152406,3.453652479390096,1.2813738220154323
Catherine,-0.0007462462709058312,-0.04410685475079659,-0.011451605225227668,-0.039365069557988915,0.03243286509944962,0.019013481445909013,0.036244046945484144,0.08150060924969574,-0.23549904908839006,-0.21751429454883392,0.08171582849080687,-0.10355894437543652,0.0953955439009442,-0.1026993911491945,0.035023562562388824,0.05512568766717281,0.1362694382437953,0.05681383507658537,-0.2893941250992153,-0.10586729844836826,-0.14982895357069315,0.15083046440190956,-0.18676360176381798,-0.23389338319278238,-0.23764207954580113,0.10680122395845963,0.13014481722096208,-0.24574233686447733,0.07397989492196813,-0.3022875714699829,2.5063769193321384,0.7179874221049172,2.7344334721913897,2.898928693589062,3.480081473725352,3.81198568486066,1.1328756211424469
Sam,0.7116274856819516,0.8387454936306191,0.6187469830106078,0.8332204349336007,0.438983697674939,0.5075812043141305,0.5057909530078818,0.4748024729237443,0.8252199810835426,0.41172100914726073,0.4684738705894048,0.6696248296461532,0.6053068403153589,0.5731592814981474,0.5037555702226718,-0.33297452121139515,0.27138269723042124,0.17515109660002923,1.0078221397745903,0.4581694150953066,0.735879113807742,0.564094676634975,0.7290045040980682,0.4591184810234743,0.6680158478070275,0.3025936661300238,0.49242970000915826,0.716141923432871,0.7123767056696544,0.6115443750763431,1.5436336769561667,0.8588665299200575,1.990534100616909,3.1809303848299892,1.244621272489131,2.737113777763092,1.4387050355088138
