,country,trait,direct_correlation,indirect_correlation,same_correlation
51,Nigeria,tiny,-0.03795391602377442,-0.19883655525145436,True
52,Nigeria,foolish,-1.5240234925220468,0.007387562068795566,False
53,Nigeria,rustic,0.10469399981944108,-0.07511882341234002,False
54,Nigeria,directed,-0.13208093952955674,0.17392225361874206,False
55,Nigeria,ignorant,-0.313278416311604,0.07759171818357663,False
56,Nigeria,skinny,-0.16242807798039982,-0.12039519477124593,True
57,Nigeria,subjective,-0.8921846585269502,-0.08816166714523545,True
58,Nigeria,miserable,-1.0547399992911923,-0.036896143796019486,True
59,Nigeria,conservative,-0.05653638692493833,0.09572518388344987,False
60,Nigeria,tense,-0.20496996499094464,0.05638983724654574,False
61,Nigeria,discouraging,-0.4889465226604933,-0.013339988554803991,True
62,Nigeria,lazy,-0.7148918882003489,-0.08725149815412837,True
63,Nigeria,clean,-0.5543196390691659,-0.09537732540477238,True
64,Nigeria,weak,-1.2780195093189926,-0.1069046554020982,True
65,Nigeria,winning,0.029066891192541206,0.07867908580038344,True
66,Nigeria,courageous,-0.6186693722762934,0.005353980784007455,False
67,Nigeria,quiet,-0.3667573824155843,-0.06278809213814966,True
68,Nigeria,surprising,-0.24767555126825,0.024266766524073197,False
69,Nigeria,short,0.014907435786856847,-0.12384294938897518,False
70,Nigeria,sharing,-0.3833361936678632,0.006505329226285753,False
71,Nigeria,bizarre,-0.3215842251675445,-0.1251055349222331,True
72,Nigeria,friendly,1.1847468561843535,-0.049505336442417405,False
73,Nigeria,calm,0.034594805532348234,0.008802680963054593,True
74,Nigeria,accessible,-0.141616571523714,0.02578348479281606,False
75,Nigeria,creative,-0.4905803694293959,0.015864273048720984,False
76,Nigeria,original,0.009304552167773164,-0.04219910095813383,False
77,Nigeria,steady,-0.7444217916629319,0.05198931921074832,False
78,Nigeria,dry,-0.7403926574175153,-0.07914055639617358,True
79,Nigeria,vulnerable,-0.6134407198888097,-0.046247324331630466,True
80,Nigeria,difficult,-0.537242386433187,-0.05464518685834032,True
81,Nigeria,kind,-0.13660224635730847,-0.03662289192373001,True
82,Nigeria,superficial,-0.7275674584812792,-0.10761562611693597,True
83,Nigeria,independent,-0.024269388491267908,-0.04388839400231445,True
84,Nigeria,reserved,-0.15646532994892545,0.022707097276281885,False
85,Nigeria,quirky,-0.04146913132318053,-0.20038094996380898,True
86,Nigeria,shallow,-1.0310496400256175,-0.15187639473298228,True
87,Nigeria,capable,-0.2409378882141825,0.1246581518989121,False
88,Nigeria,experimental,-0.03999849487332847,-0.09894330691309236,True
89,Nigeria,loyal,-0.4397026668451822,0.014772610511590015,False
90,Nigeria,suspicious,0.3229647637270613,-0.05148947659963167,False
91,Nigeria,cute,0.4606484097346699,-0.13389026344418614,False
92,Nigeria,solitary,-0.7887247164247579,-0.08113217389000772,True
93,Nigeria,crazy,-0.7393518000071726,-0.08894402690070241,True
94,Nigeria,angry,-0.6753748678013394,0.0017667300312390046,False
95,Nigeria,prim,-0.2631740892504409,-0.06998544090797075,True
96,Nigeria,honorable,-1.058212409885271,0.102390291491518,False
97,Nigeria,stubborn,-0.5858177286613546,-0.07380048048551685,True
98,Nigeria,modest,-0.061694226766779166,0.08716409431439781,False
99,Nigeria,whimsical,-0.8308334493447778,-0.13445102996070246,True
100,Nigeria,dependent,-0.3426082675300729,-0.046833310979896785,True
101,Nigeria,meticulous,-0.5348235662861268,0.07465374498007232,False
102,Nigeria,retiring,-0.5703530944955311,0.05586740909789925,False
103,Nigeria,fraudulent,-0.3895551268359308,-0.0140332951618538,True
104,Nigeria,systematic,-0.9407000473373311,-0.0767282762446864,True
105,Nigeria,exciting,0.07936397145899228,0.019485037942324875,True
106,Nigeria,optimistic,-0.028117371025677098,0.12037513184116662,False
107,Nigeria,casual,0.16260415187270366,-0.02748522298733581,False
108,Nigeria,sensual,-0.4318546672180376,-0.1720435909398943,True
109,Nigeria,charismatic,0.09718552001650617,0.06249172071127607,True
110,Nigeria,educated,0.6804658563345745,0.10736136568883037,True
111,Nigeria,preoccupied,0.1337341711331587,0.06474360365394148,True
112,Nigeria,impulsive,-0.4359790361071811,-0.05746436624743355,True
113,Nigeria,sentimental,-0.7999660507494891,-0.010767729324227123,True
114,Nigeria,liberal,-0.4681717752691839,0.06386200961321642,False
115,Nigeria,cruel,-1.6052569913015124,-0.06634802361676136,True
116,Nigeria,timid,-0.2161098986915323,-0.11436625234368684,True
117,Nigeria,physical,-0.7649782705788266,0.020347248258473626,False
118,Nigeria,constant,-0.8194762881040052,-0.03846524291620156,True
119,Nigeria,conventional,-0.4611603196021105,-0.05195719779142308,True
120,Nigeria,disturbing,-0.4334012393019184,-0.11033721357128404,True
121,Nigeria,sarcastic,-0.42912347164672543,-0.02741413231349829,True
122,Nigeria,extravagant,-0.9213716385834216,-0.04176601979100535,True
123,Nigeria,arbitrary,-1.1878071131078645,-0.015739941851008892,True
124,Nigeria,arrogant,-0.4714554864046525,0.07331315474818505,False
125,Nigeria,modern,-0.0270753989887848,-0.05495488418826743,True
126,Nigeria,responsible,-0.5709984699135755,0.08250895184358571,False
127,Nigeria,logical,-0.6411312495291653,0.06274702169200101,False
128,Nigeria,stoic,-0.6450112217861708,0.010767435794259084,False
129,Nigeria,disruptive,-0.509052096878276,-0.042489429797126575,True
130,Nigeria,misguided,-0.5841410673361505,0.06357983813039512,False
131,Nigeria,painstaking,-0.5495339920361562,-0.06952447548846323,True
132,Nigeria,strong,-0.6248305489715793,-0.041931901237322516,True
133,Nigeria,curious,0.4509200533971597,-0.04667581837240265,False
134,Nigeria,youthful,0.3628307187917106,0.030015432673126518,True
