index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Raymond,-0.4275146204414172,-0.735960290565286,0.11313558794169397,-0.1571988721103671,-0.1304171373605467,-0.13187214703352326,-0.3016466060006274,-0.7284426342594043,-0.13928781636501508,0.24615241947441455,0.2959839751736887,-1.0527868919176055,-0.16759790978865544,-0.7735997469980466,-0.4237293626893947,-0.7926558082226752,0.6654473482271588,0.27375994845028595,-1.288843456953286,-0.6194949156978441,-0.6183809571482463,-0.8304070643797777,-0.45635282898517415,0.45917723630488305,-1.011732085502765,-0.30897469530387744,-1.1240897964873475,-0.5549646833879666,-0.5702204294641988,-0.10041164777281307,-0.7688854169711827,-0.285456072311176,-0.26279145555651545,-0.35589242440638486,-0.40193732633869655,0.515338806341062,0.36585659467265247,0.22318393643633253,-0.3894297593359932,-0.40696408718062355,-0.14109236727648833,-0.9471898555848441,-0.8025191386320591,-0.7466489527314168,-0.3003405413032846,-0.5589553737688919,-0.6178905591480223,-0.9414741641541216,-0.561638682029739,-0.7861552621607472,-0.581370034209751,-0.22978016090669434,-0.6526877072573639,-0.4699059982620525,-0.2023634004670146,-0.30539533360673166,-0.37113806956337436,-0.4347964402969275,-0.09858410241861745,-0.1584750445849391,1.510618272255085,-1.3733720030405772,-0.6726530427702262,0.5574816494726488,-0.020589183017726494,-1.5717249108805305
Caleb,0.7215115284854667,1.0676542733226233,0.41215006605426086,0.3570761314872657,0.7526550941175353,0.45089387438085216,1.0317633982201317,1.199974909544638,1.0423576937375836,-0.4098334926219772,-0.9554068283635578,-0.5714889547938586,-0.364367605435364,-0.4739914821813911,-0.3326346443466297,-0.2343955680764432,-0.2739388883936678,-0.5601233755179167,-1.0599309942117852,-0.5940989079577197,-0.6922859011863688,-0.8847577474652829,-0.2975648607470373,-1.1366979649825026,-1.2344540320672195,-0.5753165140826599,-1.0426947524795278,-0.8983483778221374,-0.7196099395832573,-0.9328666793491085,-1.3191530924905797,0.16406495465047438,-0.031502230957767614,0.2899719298536001,0.6552398751307296,0.8499602947536214,-0.06992726291525361,0.055888994191624845,0.49746579220528414,0.3389195266921507,0.09232403990974837,0.034811783346531705,0.18431399548384025,0.26250152753075723,0.14833630660803637,0.23584230310699647,0.4000611044146858,0.5676310065290405,0.09461989652133859,0.01513131103354414,0.2633287956879982,0.5007369212966524,0.5128337251508757,0.6584973863023463,0.8219948165578984,0.6494020373614561,0.7624557118217661,0.2091503796919568,0.2723307142832421,0.6943331678185172,1.698047410305335,-2.2516176598006785,-0.907908622776349,1.0330684847874538,-0.0069374447759935325,-2.332989461151307
Ellen,-0.010832018795050026,-0.1388369259001077,-0.12102284432910554,-0.08134737826709555,-0.11871391906914656,-0.23922648782736694,-0.10495650006776915,-0.19128283128525003,0.48499227742406964,-0.6656103848834777,0.08714941977364538,-1.0422634335912446,-0.2949183594240775,-0.6786538344832211,-0.8350157452641218,-0.7468555610398229,-0.22054669927310172,0.2890542774207955,-0.9267597497993485,-0.27466805854590803,-0.783465249438313,-0.7737763595963215,-0.9184024631564777,-0.9449977430986194,-1.0559038997936376,-0.8967785739276383,-1.2518311355552763,-1.3202059278978266,-0.8011860943913239,-0.45390448569011266,-0.9975825157639108,-0.45083288239353164,-0.5264700144289391,-0.5806662163487486,-0.14742102633571322,0.02368971823401825,-0.09830491284138583,-0.3423425018613107,-0.3283752108543469,-0.1918798234157975,0.05647517778074852,-0.8810303451489587,-0.8001143522801789,-0.5101053142172104,-0.4916099273955335,-0.592255665267212,-0.3328899557020931,-0.5646968366103061,-0.5221795582549673,-0.6465335261870726,-0.526482512563351,0.07614151507067245,-0.32510527545644796,-0.19225427690094263,-0.18955866443571723,-0.08665049264010316,-0.15537422182558994,-0.5825574769149515,-0.0394157645500493,-0.17386115164159457,1.5920954344477007,-2.052327268729333,-0.952518536658602,-0.15658457395472095,-0.18865646744071687,-2.4322784585426254
Christopher,0.046381363934358155,0.1201546181508796,0.025077937551910973,0.015597325733939946,0.45678022542359487,0.21349281464434142,0.3447518356115196,0.3585462795251406,-0.15336403127867873,-0.5779600172902559,0.0437225229193175,0.08027021650050244,0.4407693498374324,-0.5416635362830348,0.13172870149514554,0.06384957720620645,0.34951672634274744,0.010564865278893772,-0.7347271205288517,-0.3436766145680612,-0.06905400760389441,-0.0804871078716158,0.5614197286776266,0.05528698727388746,-0.26482182090193457,-0.1593661096530227,-0.5671913521258155,-0.04283721634470548,-0.2870039153524374,0.2889748762811992,0.034526872977549306,0.2902016859499825,-0.24671555327389194,0.2405465697798607,0.013956745969336834,0.5596384223045296,0.1789783929380503,0.3787470877847531,-0.1644520325853819,0.041559592215566835,-0.1947481886602511,-0.22384301785145724,-0.48767401471978444,0.3035965035319046,-0.00626281315032893,-0.15192011066031685,0.03583881053080471,-0.35879188310559784,-0.051420908122021595,-0.32590747189857466,0.3359832864315104,0.5688956014207903,0.5396892406781048,0.6361754859850781,0.5745414585981281,0.20075891320095027,0.3793425101476776,-0.005254049390060323,0.1873594311956806,0.26081677688987787,3.560714608195269,-0.6913766564845854,0.3054584697137811,0.6221343979282334,0.5069190446467046,-2.160674451310167
Liam,-0.6044151444715246,-0.6023811052228102,-1.3473294488683347,-0.569970796644895,-0.7110598289365848,-0.11929094492416248,-0.6959763323675313,-0.5629227163124809,-1.0671351347625093,-0.6129879048764684,-1.0684800760283792,-0.9163758189600161,-0.6169026847357078,-1.2605185449908316,-0.17450432898880258,-0.9848711639381031,-0.7516440287672154,-0.1371099940981542,-1.6359474207881028,-0.33092726795085553,-1.054650962786153,-0.7460811582757004,0.6924575421934954,-0.27172598249151336,-0.9581243345556598,-0.5709732943707885,-1.1910806767291133,-0.3595087298882065,-0.4337821222061988,-0.17132457205734888,-0.02517785562251363,-0.2024453906247176,-0.5668866205738636,0.029709707826088203,-0.32856642160401184,-0.2296198530599036,-0.6090211994660171,-0.3947592483221644,-0.21454667074312173,-0.32621793726612236,-0.8995252405727765,-0.8725002328820197,-1.227502954214392,-0.683563839198784,-0.9564870018156209,-0.741083650118154,-0.2615563867852965,-0.8833211566110521,-0.6652684570152475,-0.8102829788956287,0.44089634233144526,0.17818231818627014,0.38472191000985034,0.4323741637819017,-0.33495883574691354,-0.14055367838978933,0.005939906760473283,-0.6245181802684465,-0.19084371063105215,0.17547969000004257,1.794109729725606,-0.7346925859487748,-0.4320247492423324,0.9697554780682505,0.4942534773095116,-1.2103425129359442
Rodney,0.2917959111954574,-0.4416548846364482,-1.0122813980942096,0.12867025064411067,0.5621607054273182,0.796091273340537,0.6412512528027549,0.3680906259453061,0.1201046207563935,-1.0380980295075606,-0.3038189907171847,-0.8016471285762983,0.17776241821263755,-0.9459384870635115,-0.3181605479460204,0.12195464167358523,0.4661503131561695,0.3888976008939309,-1.5726350423116735,-1.5083162612201833,-1.1067407667055875,-1.1309579249632122,0.4053643982904804,-0.5531264863858982,-1.2389476053876916,-0.7220707210799376,-1.7965759496412124,-1.3685924623427617,-1.1650705015245213,-0.45622519404522843,-1.5938506826108507,0.4137984119225238,0.10415707112760494,0.6072641091513122,0.13535293971372744,0.7593048919202002,0.1740624551652372,0.09494214891752702,0.5177640887123401,0.07248188383093097,0.3292170673643381,-0.03309875764656149,0.11139755256133649,-0.07531493221300743,0.21857891885181727,0.23352816185644268,0.25847064531857583,-0.15245086203471814,0.250189058943701,0.03370575938388345,0.7053254400785578,0.8059016689296659,0.9478679058786024,0.7827998964551574,0.7136411458177019,0.5122354556962132,0.7141171135526534,0.45666996942478444,0.29049160795277723,0.9302032930275086,0.5518642635382609,-1.5776446585005646,-1.1683187072274785,-0.3054738634603901,-0.7887259251194206,-2.32800792881611
Anita,0.16251007559573882,0.5559153707127742,0.011270411502019406,-0.04452202340406112,0.06266079355047455,0.12831357512414232,0.03685705618320891,0.02825192482205696,0.5427456020638024,-0.08144323151348268,0.10970397135187027,0.9019370569054846,0.2802521891050943,0.35779241654532645,0.8375374263725106,-0.008531154781349321,0.41170656256152893,0.5894262999037461,0.23878123716288793,-0.06253492525282399,-0.07874030135616249,-0.02754223224569304,-0.1978970877072914,-0.17461997477092492,-0.08789686330784661,0.05424683747910903,-0.4007565879472367,-0.16395266093768035,0.38795499938611167,-0.017098512590289144,0.5210998222455878,-0.08128622443114333,0.31977796585897084,-0.3045565812957087,0.47945433189631925,0.13169831123393724,0.13884695982734582,0.12441610124848022,0.007797210712741327,0.2513842048423999,0.49560324743496464,0.23627005722436992,-0.13699127098238675,0.14544837220225865,0.09347729454450054,-0.003237128832935273,0.05409793449881427,0.1495180402810955,0.4345915111073701,0.3095877867363314,-0.07303184378481833,0.09777130225323755,-0.04247234684378403,0.15563008180754528,-0.17724980224990783,0.1713159561893375,0.03342665215387148,0.1346282005415328,-0.01033271029690409,-0.07865971615487781,1.8747080147611412,-0.26795570517646844,-0.9150731288221077,2.270916681752824,0.03637467889895637,-1.3324306585035504
Florence,-0.10074556426054435,0.32596365860251386,0.8192852200717391,0.21375590734608899,0.09036663498478174,0.21447141732545955,-0.05356947441290242,0.10675824921095935,0.4430190140598332,0.44499799473662804,-0.5988077960626229,-0.6718405353795884,-0.23454390188419488,-0.6506882160825471,-0.46028140873013423,-0.9059795528460677,-0.24103473650974336,-0.06703766417715033,-0.21276879827582287,-0.017235182646348723,-0.5806603649588102,0.3069776913367103,-0.25081959726985487,0.44196558750908593,1.4913212038397157,0.17762794938008056,-0.7293715487401874,-0.04832130409724737,0.2144346468690903,-0.14423683451231314,0.4023206021943297,-0.37440033334744544,-0.08979565659142567,-0.632705202607474,-0.42444460526822053,-0.17146673906289547,-0.1975928188250712,0.24112199744502893,-0.21877569313717676,-0.003936658059431376,-0.007373984805909354,-0.24656917269686748,-0.13321007062862475,-0.06615323495202717,-0.308248905908892,0.02694670274805688,-0.008573793617778628,-0.23986619383492988,-0.2757343599131056,0.2420536464871012,-0.48050948625580014,-0.19768999917238014,-0.5171236738212556,-0.41979189024050795,-0.6064736438789103,-0.010539323606147798,-0.09458642961486811,-0.286870736466284,-0.001844700409128374,-0.3818684219862234,-1.1798583010807067,-1.040977283701982,-0.7113575569379865,-1.0192694449989008,-0.5432891051064499,-1.2926887420534576
Roman,-1.1083269880398317,-0.5316827593764797,0.09542790226302536,-0.4575281042419256,-1.1274703445422738,-0.9747933586287157,-1.1350330796558121,-1.230312908795975,-0.5235783102693415,-0.5120037928939463,-0.6081892948103793,-1.7996820998061018,-0.5729426594277562,-1.9326310400624238,-1.9942334405782454,-1.0410436845467743,-0.9862208890243562,-0.5240508367033196,-0.577131186844344,0.2806204257905679,-0.32064150004597197,0.14247114948463516,-0.9135956108587215,-0.6852746369848519,0.6827580349804643,-0.2683985010618223,0.324653151378028,0.3543765597584818,1.056488720579279,-0.4833835782416936,0.15385360845686877,-1.0407455205021479,-0.6552280126814345,-1.1428457411444295,-1.1380774993579235,-0.9173729595666235,-0.8340467856652579,-0.30399768241463937,-0.8557281561033321,-0.979571433105514,-0.6827128247216722,-0.8267879423882661,-0.5846410956839169,-0.6272815496556313,-0.6739891472684959,-0.6938489894675641,-0.9787325095320707,-0.8402170552523935,-0.7285015483712882,-0.699407332999406,-1.1270276466725562,-0.6545327165020347,-1.2122732154125886,-1.1155075519051842,-1.0016590954048645,-0.49125419542972165,-0.9115750338349383,-0.5554456741804183,-0.3441779026644157,-0.9334784234568856,1.7968501481786896,-1.2799129117435122,0.33125108364103667,1.5144718962091335,0.606023102506761,-1.5239169559863701
Bruce,0.1625148065233327,-0.6666933429551472,-0.4246594964993191,-0.17790969904431794,0.010028565810604703,0.187977652477424,0.04667800468657619,-0.20262304766944622,0.32490190979607814,-0.6444800262542584,0.0994187028223954,-0.6134961205212803,0.21989585765967115,-0.027859314570088663,-0.2594403619765315,-0.29886926785243995,-0.11356813952157974,-0.34001354515332693,-0.6680680784467972,-0.6060354526999806,-0.587169665832812,-0.6427650713241321,0.0869267767786285,-1.1078097283113253,-1.478151410636027,-1.0705047307530398,-1.3827773637133514,-0.9927179149808949,-1.161432187262546,-0.3060807507691052,-1.01294744482196,0.1827057822678481,-0.4207614875955201,0.2305533038238895,-0.6025478423112618,-0.1635370560042398,-0.2340511825181073,-0.6331152942724976,-0.35271817829723257,-0.15165068653646563,-0.19937647563123484,-0.6574707770992267,-0.7073900575210227,-0.5828370872617229,-0.37825924785602083,-0.46637005832723744,-0.16209836738007993,-0.7745431394399828,-0.5115325808721333,-0.7715564881552948,0.24663524979629955,0.385677325761418,0.14327552834819554,0.03824891264313265,0.12951583665508626,0.008248760071388602,-0.09864920015145195,-0.04823903501573816,0.20400686614701424,0.052057325142387485,2.01794700466741,-1.6905669620422745,-0.8112410803936281,-0.047162262534135135,0.02694224007111864,-1.912482158614536
