,occupation,yob,direct_correlation,indirect_correlation,same_correlation
142,air traffic controller,1961,-0.08164215087650221,-0.01339297455498612,True
143,air traffic controller,1962,-0.08994379959612038,0.007633083617988175,False
144,air traffic controller,1963,-0.07576975425035158,-0.01619125250364412,True
145,air traffic controller,1964,-0.08981652998978241,-0.005687107823955454,True
146,air traffic controller,1965,-0.11778345237050725,0.01739768890149965,False
147,air traffic controller,1966,-0.009558396699958135,0.023094703351998126,False
148,air traffic controller,1967,0.005172209797303627,-0.018769960897878264,False
149,air traffic controller,1968,-0.02667826932556217,0.035156621728412434,False
150,air traffic controller,1969,0.06703076461230048,0.03213544099091635,True
151,air traffic controller,1970,-0.001563552615766291,0.025307911100320518,False
152,air traffic controller,1971,0.0010056811133784646,0.05369927995933512,True
153,air traffic controller,1972,0.07680381683843722,0.07737366405734104,True
154,air traffic controller,1973,0.004043272388977956,0.01026818502692664,True
155,air traffic controller,1974,0.050136024148607516,0.06599093312055887,True
156,air traffic controller,1975,0.04714495060849157,0.07404780527061537,True
157,air traffic controller,1976,0.033541637552916115,0.055211030055372964,True
158,air traffic controller,1977,0.12808894763470288,0.038908753251089334,True
159,air traffic controller,1978,0.08835158336955935,0.01548701015714928,True
160,air traffic controller,1979,0.05536095736594187,0.0486147188585835,True
161,air traffic controller,1980,-0.013877201963150329,0.028163575801425544,False
162,air traffic controller,1981,0.0919396713710508,0.04429950933779205,True
163,air traffic controller,1982,-0.02496069733215779,0.0017722755130285704,False
164,air traffic controller,1983,-0.012529716219961892,0.061577630616740486,False
165,air traffic controller,1984,0.07375056852915378,0.05632674695421274,True
166,air traffic controller,1985,0.05907547186185803,0.04903789020355513,True
167,air traffic controller,1986,0.014577393188207987,0.04635344547313045,True
168,air traffic controller,1987,0.02853354568802591,0.030876171370849036,True
169,air traffic controller,1988,0.08514557809360157,0.07077540652749699,True
170,air traffic controller,1989,-0.04837658499166657,0.057798319842438425,False
171,air traffic controller,1990,-0.030198302636423733,0.015802830872487426,False
172,air traffic controller,1991,0.003803594512792133,0.02433203619204766,True
173,air traffic controller,1992,-0.04493321670953955,0.010403947416566178,False
174,air traffic controller,1993,-0.02987852336915268,-0.025883048794148864,True
175,air traffic controller,1994,-0.1389084890191726,-0.055706048739961565,True
176,air traffic controller,1995,-0.1339228485639609,-0.0002511255253015183,True
177,air traffic controller,1996,-0.06505606811393487,0.006677613234267098,False
178,air traffic controller,1997,-0.14998477381550948,-0.015869342418084416,True
179,air traffic controller,1998,-0.18388818321311087,-0.015029964376659457,True
180,air traffic controller,1999,-0.1585826198215216,-0.03178404657660088,True
181,air traffic controller,2000,-0.20047922738964333,-0.11250442499293156,True
182,air traffic controller,2001,-0.13798179322192725,-0.000519789524928646,True
183,air traffic controller,2002,-0.21998735405768569,-0.02159109351192558,True
184,air traffic controller,2003,-0.2606377715005159,-0.023948915736575104,True
185,air traffic controller,2004,-0.31333832324957034,-0.02488341459659999,True
186,air traffic controller,2005,-0.3596880275245796,-0.04593680855769676,True
187,air traffic controller,2006,-0.36686814853259614,-0.05351548006765135,True
188,air traffic controller,2007,-0.3805979598727193,-0.06303303794148978,True
189,air traffic controller,2008,-0.3552246329076614,-0.061559596040692666,True
190,air traffic controller,2009,-0.378524111913524,-0.06370478900775277,True
191,air traffic controller,2010,-0.4142443228269884,-0.08489938228425728,True
192,air traffic controller,2011,-0.3761548083437012,-0.0860924454821811,True
193,air traffic controller,2012,-0.3664574078058223,-0.08971040231742161,True
194,air traffic controller,2013,-0.32237534502413634,-0.08929044881447062,True
195,air traffic controller,2014,-0.3745062723652842,-0.10124808207864312,True
196,air traffic controller,2015,-0.3777663681411624,-0.0809831532411472,True
197,air traffic controller,2016,-0.3283223540104609,-0.07003312156904094,True
198,air traffic controller,2017,-0.29095563639697586,-0.10846954375859467,True
199,air traffic controller,2018,-0.13036431558670192,-0.06651635811189041,True
200,air traffic controller,2019,-0.2618789343651994,-0.1308125985792565,True
201,air traffic controller,2020,-0.11701280125295145,-0.1238732984573436,True
202,architect,1920,-0.1948046760399509,0.0750598762807949,False
203,architect,1921,-0.05891409745399215,0.07147670706516808,False
204,architect,1922,-0.1412088749242075,0.05344509448378577,False
205,architect,1923,-0.2560805499139219,0.07957123438737178,False
206,architect,1924,-0.2596144071670445,0.0852612977066611,False
207,architect,1925,-0.20124604134151047,0.0709786269988006,False
208,architect,1926,-0.2348221566547053,0.07395177168335486,False
209,architect,1927,-0.13346996979101527,0.06728597411114877,False
210,architect,1928,-0.1951994403957136,0.07121316225640496,False
211,architect,1929,-0.17004258717512566,0.07877086228859022,False
