index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Brenda,-0.7705808934497361,0.2822991118560094,-0.45982507940469114,0.09633378542701242,-0.6038936322906918,0.3281718057688256,-0.5807288924562475,-0.162803601756521,0.21706388203746887,-0.3446644265066259,-0.6502691318195715,-0.026453087471820676,-0.8156882403989267,-0.09414054901110472,-0.787572444763186,-0.4037351054947527,-0.7220527987231695,-0.6895099399177888,0.8177408882317112,-1.317744828090715,-0.6841871908430445,0.9076408371926542,0.010251196937607185,-1.5266981850626031
Cameron,-0.28429717621022177,0.5083410032437621,0.335033581086418,0.331775350003263,-0.11850738102921043,0.3713117735600586,0.3673593402977593,0.47527674669984843,0.7404341077054182,0.07773262056155064,-0.2675384021436733,0.3301253163912213,-0.4129771196537135,0.059134704982595966,0.16805350572241165,0.013081824062837843,0.2758898897670376,0.4900920343344772,-0.344905943045648,-0.9119399464152231,-0.41159685209816266,-0.2956189261811773,-0.2318827366359689,-1.2948196610532225
Joe,-0.06240202899572808,0.8065573833646928,0.16661658795096904,0.3391304543403074,0.4271704781339315,0.8938870576794281,0.13746927988406388,0.6510410266436025,0.5593121142099391,0.2011773349538216,0.06637973426630601,0.7449607749455207,-0.03116707310880215,0.32561769313728767,0.0741968654191316,0.2946377129107735,0.5739872433182158,0.2292838147836658,1.8404303608796084,-1.2840801201431344,-0.27539976438754654,-0.18324683592113566,0.304320109783183,-1.4174065739855808
Kai,0.12344165964981457,-0.5791414148166113,-0.27014334859318917,0.2508822768480008,0.2745312951192585,-0.3125722075708125,-0.013737522843130257,0.027216351332141862,0.13585847603761622,-0.6088500712274861,-0.7978177940969555,-0.47306354240876275,-0.5646105825247598,-0.746252898642032,-0.40725550641805874,-0.7176343964042723,-0.9260728229823693,-0.8463897702613511,0.4573683924219703,0.7065575647559611,-0.6774778876776341,1.9261192275845727,0.2663541810693298,-0.8975636386880679
Isabella,-0.2056728683389556,-0.5819958612802338,-0.5407412592763764,-0.2491868157077571,0.25000154594550855,-0.5039715258723781,-0.821236828852537,-0.19369253301589848,-0.5963855760754789,0.0901118584978601,0.10270373142436662,-0.36940188227550513,0.46998591223996294,-0.09109972171801445,0.006490720768892841,-0.21683843259791988,0.2594399837841009,0.7775750012299607,0.6551791341591019,-2.0737833052269408,-1.252475730247612,0.890927924730292,-0.3580617769132713,-2.135733269040816
Adrian,-0.020999780667314623,0.3451610170227889,0.041395762146173534,-0.0783625737656012,-0.07574117755984801,0.05793840572595807,0.13229777652683636,0.051592733192462076,-0.11664713650476662,0.27120615291654054,0.08749642587785578,0.15491510770801048,0.23605385415816454,0.03133696203467322,0.24418360806678666,0.12977169028750424,0.048988761823758886,0.30683777261077744,2.125808872631626,-1.4763518782421279,-0.7873330931102965,0.8479419213362824,-0.6225157119762391,-1.9337933219392898
Beatrice,-0.4126147873281856,0.10729869724899534,0.06807214059525525,-0.40419823134100497,0.093414017857999,-0.1334328344724093,-0.353051999530979,-0.30496274881883706,-0.42034054891636685,-0.445707625470618,-0.445267697460246,-0.6180188813399785,-0.05550506901913937,-0.3731271734599595,-0.6591234710619871,-0.3185836394814237,-0.5659494837007532,-0.3076536768072957,-0.16145042423006623,-1.0689333993942594,-0.9706592179744125,0.9900244942033568,-0.05271844609758706,-1.6680676614974423
Wesley,-0.1421875177639453,0.516179181873158,-0.21857581609123813,-0.034241118445780455,-0.46542952198891097,0.24517500979785173,0.4715130731973471,-0.04360537038388796,0.2795238558601675,0.14011626059991808,-0.2870666687032414,0.3340023068860842,-0.48603350359003217,-0.06672319689987358,-0.2983384829905918,-0.32936710699155775,0.11905062009986214,-0.42180559029618964,-0.0015601617078357108,-3.1811626059908913,-1.6562918184649291,-0.42585096476427187,-1.70169471885588,-3.3291162351536845
Brooklyn,-0.14360233971880407,0.5681518187136191,-0.02136765553672018,0.13857771030742522,-0.33910074435587284,0.5972629370659485,-0.4448808569243934,0.5495738363988611,0.6049025743302221,-0.08627269472897182,0.06349860385818275,0.7365907394204974,-0.0609412012426215,0.5043220859559611,0.1723929541666707,0.21788223525139663,0.46563276137702486,0.5928610167719697,-0.06718725651213259,-0.9167977333153341,-0.07203765423605368,-1.173036088356274,1.2352579257926706,-0.8668354386735898
Jason,0.008386399632534866,0.5290314680002607,0.0662519671499053,0.3425552392004905,-0.2440427381499243,0.6652968926515443,0.6578513501139425,0.21231287322719164,0.5130914509328061,0.3471543502379638,0.019923936866725833,0.7225754577501037,-0.011745796694689168,0.34948949008849506,0.2969962566853366,0.23265718485601208,0.44895635808314616,0.45316664650050437,2.309160655906868,-1.0650989814080076,-0.2950825730058941,0.2860023306130368,0.6607929562628073,-1.2215409409531128
