,sport,country,direct_correlation,indirect_correlation,same_correlation
75,basketball,Poland,0.1456266857998899,-0.07356449337749342,False
76,basketball,Romania,-0.2338831272152059,-0.2032198719026912,True
77,basketball,Netherlands,-0.7893931665821098,-0.00982958152322686,True
78,basketball,Austria,-0.1941268111924653,-0.14079005602805447,True
79,basketball,Mexico,-0.4416980638073555,-0.13278210247891215,True
80,basketball,Canada,0.12385699727668835,0.0883981116967373,True
81,basketball,Guatemala,-0.7674338625679257,-0.19777385540539447,True
82,basketball,Haiti,-0.8156466284747627,-0.17205146802562293,True
83,basketball,Cuba,-0.453486487013716,-0.09761826438662934,True
84,basketball,Honduras,-0.6552438353806975,-0.1090206422924896,True
85,basketball,Nicaragua,-0.4713469718573915,-0.09797289208246622,True
86,basketball,Brazil,-0.6651546449749415,-0.1421690182447772,True
87,basketball,Columbia,0.18016635359965186,0.11393956691023573,True
88,basketball,Argentina,-0.6835911500408544,-0.12455035462696393,True
89,basketball,Peru,-0.2974878851951799,-0.1490480841239314,True
90,basketball,Venezuela,-0.4233577864410502,-0.12857147723652285,True
91,basketball,Chile,-0.3445730710812199,-0.1740277696048196,True
92,basketball,Ecuador,-0.6583762944943351,-0.14429241195762396,True
93,basketball,Bolivia,-0.3384812848368793,-0.14017956241143242,True
94,basketball,Paraguay,-0.4437703217395852,-0.15223737186877026,True
95,basketball,Uruguay,-0.2940406256818186,-0.13864409035173544,True
96,basketball,Australia,-0.7408689190630239,0.08590805537084914,False
97,basketball,Fiji,-0.4915019187954601,0.009191539534815602,False
98,basketball,Samoa,-0.4123136545457316,-0.07793245419334242,True
99,basketball,Tonga,-0.05577123608228703,-0.059044349453455665,True
100,cricket,Nigeria,0.3114208634994657,0.01093280650133632,True
101,cricket,Ethiopia,-0.4666468412861848,-0.025386949102088677,True
102,cricket,Egypt,-1.098440681139938,0.013022043419390231,False
103,cricket,Congo,-1.2802777184803171,-0.10166779515769504,True
104,cricket,Tanzania,0.7744981394950741,-0.009644203377485816,False
105,cricket,Kenya,0.27707709735195096,0.05551176460658621,True
106,cricket,Uganda,0.34579672030027675,0.03380836714824223,True
107,cricket,Sudan,-0.04219632258831296,0.02962909546398038,False
108,cricket,Algeria,-0.5949276275977483,-0.1213669792292204,True
109,cricket,China,-0.6595478978462671,0.06670573480662559,False
110,cricket,India,1.317771715922316,0.0233047948282746,True
111,cricket,Indonesia,0.041460896703030964,-0.043433867041975965,False
112,cricket,Pakistan,1.5299733813331653,0.06587695115782274,True
113,cricket,Bangladesh,1.453319802696862,-0.019380855628173887,False
114,cricket,Japan,-0.4051667837231539,0.03902431260410323,False
115,cricket,Philippines,-0.09395084566019406,-0.04298380019519929,True
116,cricket,Vietnam,-1.0642678431181978,-0.024024673433614592,True
117,cricket,Iran,-0.5986002394729414,0.04335272472992206,False
118,cricket,Turkey,0.3801225227324397,0.05179555680148192,True
119,cricket,Russia,-0.5710140231482699,0.033550522684231775,False
120,cricket,Germany,-0.5504225394811454,0.037811411425074604,False
121,cricket,France,-0.6526554723566672,-0.05922844367614374,True
122,cricket,Italy,-0.9380978597364544,-0.10431807234278012,True
123,cricket,Spain,-0.6358641288661558,-0.03679709820549433,True
124,cricket,Ukraine,0.11082039261006876,0.051678320557936336,True
125,cricket,Poland,-0.5060298884946693,0.056827304387523175,False
126,cricket,Romania,-0.44348817571839794,-0.0736753217839713,True
127,cricket,Netherlands,0.2948083687724278,0.04806183036924045,True
128,cricket,Austria,-0.28234962614787856,0.02439571010521189,False
129,cricket,Mexico,-1.1996517271027858,0.004152496154094751,False
130,cricket,Canada,-0.21298731077894284,0.12609618525959582,False
131,cricket,Guatemala,-1.3324901965488845,-0.08999395689084824,True
132,cricket,Haiti,-2.15384306105052,-0.12890619848795515,True
133,cricket,Cuba,-1.3384913348489789,-0.035693752197783535,True
134,cricket,Honduras,-1.2927566340822227,-0.028336673333366705,True
135,cricket,Nicaragua,-1.5234095386402569,-0.057272682105270374,True
136,cricket,Brazil,-0.7344603253474925,-0.10656195743461162,True
137,cricket,Columbia,-1.623837830909359,0.09806458289172257,False
138,cricket,Argentina,-0.40716372870795375,-0.055534768099156015,True
139,cricket,Peru,-0.4372262761510831,-0.03553573852851373,True
140,cricket,Venezuela,-0.7629411492687486,-0.08263438751734639,True
141,cricket,Chile,-0.5164692362299761,-0.06331159350004344,True
