index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
Austria,-1.0651918539387137,2.0523641588270793,31.451862,-13.869895,1.0700716,5.336099
United States,2.1830774388890006,-1.3492754308057662,-447.493,4843.8516,-5.539249,4.099574
Mexico,-1.5816013912407894,-1.4368213599726842,-119.96811,-183.18906,4.748949,11.835492
Canada,2.3768664521656815,-1.1801501628817928,755.6061,-2831.13,-5.5600247,4.0233574
Guatemala,-1.5479226629424265,-1.1391797465442965,-119.14841,-162.9249,4.88304,11.507788
Haiti,0.9449274513529039,-0.1522115758391869,57.09775,115.01765,-3.246806,4.7527323
Cuba,-0.9770427188167086,-1.1087398462288691,-161.40758,-144.89407,5.455579,11.6231365
Dominican Republic,-1.6418758162587581,-0.8287737226911953,-76.314316,-136.62675,4.7941318,10.907809
Honduras,-0.9548202668546412,-1.486559406725379,-148.02473,-198.38245,5.007062,12.232806
Nicaragua,-0.9763933259539826,-1.0849524548710192,-172.46269,-177.88782,5.230396,12.326309
El Salvador,-1.0641145282968105,-1.0955229927598316,-187.27838,-185.37941,5.4538155,12.052922
Brazil,-1.3738100243116358,-1.1796777402672238,-124.083664,-129.46294,5.3101645,11.223813
Columbia,3.2226649994992145,-1.2101151582262504,108.75927,-122.16346,-5.353695,3.9045782
Argentina,-1.740635387537191,-0.7363843298681167,-91.76339,-70.49932,4.8840504,10.0098
Peru,-1.235132023743141,-0.8328877605402502,-77.41794,-120.96279,4.798449,10.625805
Venezuela,-1.6510029221523317,-1.0337151795190964,-86.83832,-87.467964,5.091343,10.341854
Chile,-1.4802267917428673,-1.146709878061424,-135.3126,-112.07524,5.4955864,10.851762
Ecuador,-0.5139371297777107,-1.0461051852121697,-183.533,-155.5062,5.274933,11.959281
Bolivia,-1.6729717763164813,-1.4337731110460847,-143.07347,-88.821144,5.4557085,10.651071
Paraguay,-1.1027105285885714,-1.120633441666902,-138.41782,-138.46376,5.1672616,11.3691025
Uruguay,-2.170347492759858,-0.9705476521939087,-108.69199,-59.57565,5.1743646,10.138329
Australia,2.1056447328776056,-1.1002176526414507,155.63004,-54.035355,-5.2822113,4.3598003
Papua New Guinea,3.4062461715123717,-0.032094467919637125,214.84274,41.3662,-4.337044,2.717792
New Zealand,3.023473414874874,-0.40743131746164307,227.28284,62.582615,-4.409415,3.0798922
Fiji,2.8583271935032353,0.4679895853969652,205.83995,67.81679,-3.9900308,2.674809
Solomon Islands,1.4248642949550576,0.08183193228563802,75.64262,114.405334,-3.0216968,4.5898266
Vanuatu,2.2651721995418406,0.30401566819363113,173.4323,73.26127,-3.5895138,2.8594515
Samoa,1.3107499311923867,-0.9343340594139213,136.63925,-60.901524,-5.0931506,4.6831026
Kiribati,1.462587219297773,0.41736362727086257,69.48586,79.12238,-2.8266695,4.3775864
Micronesia,2.914963579602405,1.0781545461386561,190.15582,47.589813,-3.8249414,2.5846725
Tonga,2.443463362850892,0.006041799453165743,216.40096,81.6826,-4.1959577,3.0317206
