,country,sport,direct_correlation,indirect_correlation,same_correlation
108,South Africa,swimming,1.413683483295286,-0.10631406914739032,False
109,South Africa,shooting,0.6440817259384107,-0.02253393013582737,False
110,South Africa,gymnastics,0.6138440396743858,-0.034345086049613435,False
111,South Africa,wrestling,0.1591445704971748,0.03724588068476683,True
112,South Africa,skiing,0.353770810866942,-0.07216280691243085,False
113,South Africa,bowling,0.7205699905325442,0.04829913188642338,True
114,Kenya,football,0.5929730429911133,0.011139403750059135,True
115,Kenya,basketball,0.7109417579975061,0.04403028688384069,True
116,Kenya,cricket,1.456928916699432,0.07470538040124884,True
117,Kenya,hockey,-0.08888970965561488,0.020322776500610408,False
118,Kenya,tennis,0.2665047085298562,-0.04949973579037399,False
119,Kenya,volleyball,0.9996918961212958,-0.0895131243215633,False
120,Kenya,baseball,-0.3104399898591649,0.032243527546118936,False
121,Kenya,rugby,1.5191338263147502,0.07483320225973085,True
122,Kenya,golf,-0.12675721596277922,0.10327286106450384,False
123,Kenya,athletics,1.0304349930808536,0.09905122239949764,True
124,Kenya,badminton,1.6604972412882348,0.019206938071787298,True
125,Kenya,boxing,0.29098833204356245,0.02476530499530397,True
126,Kenya,cycling,-0.2798075482758778,0.007482713309833674,False
127,Kenya,swimming,1.4351282775204448,-0.02311847516048519,False
128,Kenya,shooting,-0.030605752636893132,0.027079216942841336,False
129,Kenya,gymnastics,0.5816592814383701,0.029498490242068645,True
130,Kenya,wrestling,0.2648476970302031,0.08118922157187157,True
131,Kenya,skiing,-0.19269460357873114,-0.029575932467457,True
132,Kenya,bowling,0.3771299976294436,0.09815206903616797,True
133,Uganda,football,0.173977766441493,0.003184542476422461,True
134,Uganda,basketball,1.0614414391065283,0.007286383682640935,True
135,Uganda,cricket,1.1439160136905624,0.06266473290822057,True
136,Uganda,hockey,-0.19587751518683533,-0.034446919198859005,True
137,Uganda,tennis,-0.003783212027692728,-0.03317264008200245,True
138,Uganda,volleyball,0.9072512881549696,-0.08434075722142607,False
139,Uganda,baseball,-0.6002414378188975,-0.02317621179910713,True
140,Uganda,rugby,1.5827335951694632,0.05782521573135401,True
141,Uganda,golf,-0.3884076989165651,0.05184120838217568,False
142,Uganda,athletics,0.6900630923934318,0.07152591609750525,True
143,Uganda,badminton,1.113315471130079,-0.015432056264496438,False
144,Uganda,boxing,0.03241070859046969,-0.028107698025128296,False
145,Uganda,cycling,-0.009980418359840391,-0.006592473518943219,True
146,Uganda,swimming,0.4816692640562895,-0.06787984353262426,False
147,Uganda,shooting,0.23564489010207906,-0.024068410752279185,False
148,Uganda,gymnastics,0.4130443600232154,-0.024171835275547462,False
149,Uganda,wrestling,-0.1419426992477952,0.030824840325207645,False
150,Uganda,skiing,0.2401407695285537,-0.05801744716257653,False
151,Uganda,bowling,0.2747977721134527,0.035550415185935186,True
152,Sudan,football,0.6377528821986544,-0.05220532872751631,False
153,Sudan,basketball,0.9030590918339192,0.01889447895862633,True
154,Sudan,cricket,1.1445261878669706,0.005384164895918366,True
155,Sudan,hockey,-1.068561588499289,-0.07884440017687709,True
156,Sudan,tennis,0.30436269694087986,-0.06349869143151518,False
157,Sudan,volleyball,0.8592603016234763,-0.1386952099849507,False
158,Sudan,baseball,-0.573651876611169,-0.0010807419082163989,True
159,Sudan,rugby,0.9579385047919756,-0.05833210995641337,False
160,Sudan,golf,-0.5764719703079456,0.027884523217728475,False
161,Sudan,athletics,0.7956592685329278,-0.009227968915206306,False
162,Sudan,badminton,1.2552733145419923,-0.06506595386633025,False
163,Sudan,boxing,0.0941527349727606,-0.06870456094086873,False
164,Sudan,cycling,0.12617276909626954,-0.10380562346100916,False
165,Sudan,swimming,0.3448659933948066,-0.062163421005173185,False
166,Sudan,shooting,0.27332856142226303,-0.05379249599666944,False
167,Sudan,gymnastics,0.19543452248674392,-0.0675255672208467,False
168,Sudan,wrestling,0.6342441428939918,-0.04610931239184038,False
169,Sudan,skiing,-1.1907599739747596,-0.10123992668467324,True
170,Sudan,bowling,-0.6729838280592965,-0.0439851220408731,True
171,Algeria,football,0.6391608004189314,-0.015632959838765788,False
172,Algeria,basketball,0.433742691235629,-0.07004048553281808,False
173,Algeria,cricket,0.6769299718135217,-0.04593228441096138,False
174,Algeria,hockey,-0.4946322722039382,-0.13162231854021614,True
175,Algeria,tennis,0.2423096233707763,0.11696124410285952,True
176,Algeria,volleyball,0.8048697279407597,0.12938092632316964,True
177,Algeria,baseball,-0.6299535560602328,-0.13020647256152082,True
178,Algeria,rugby,0.8947508751156461,-0.01887730447116744,False
179,Algeria,golf,0.028661316126606023,-0.05652002066466556,False
180,Algeria,athletics,0.8927185235344637,0.08129329443652085,True
181,Algeria,badminton,1.0061844675708345,0.008080514914178254,True
182,Algeria,boxing,0.7326802548740766,0.0005246586801284042,True
183,Algeria,cycling,1.5970024025987517,0.09290632929360916,True
184,Algeria,swimming,0.7203601085951448,0.03714809409779465,True
185,Algeria,shooting,0.9848355916391008,-0.05589313961622035,False
186,Algeria,gymnastics,0.8468086817844777,0.08509394821501877,True
187,Algeria,wrestling,0.3047974324552851,-0.03849896141343959,False
188,Algeria,skiing,0.19224751422954608,0.027897684702781925,True
189,Algeria,bowling,-0.4640387246188728,-0.0685064306504142,True
190,China,football,-0.2500362364962665,0.02507982799435942,False
191,China,basketball,0.8110129137324213,0.05503254715003838,True
192,China,cricket,0.18895024540539532,-0.033020605945067,False
193,China,hockey,-0.017249312580849774,0.068861194034985,False
194,China,tennis,0.5983948649885269,0.07180652943661713,True
195,China,volleyball,0.7720607315763717,0.06552099266457688,True
196,China,baseball,0.4912569267653501,0.06854465655957394,True
197,China,rugby,0.3326541488582119,0.06865190868403892,True
198,China,golf,-0.3574054168032901,0.08851312480662217,False
199,China,athletics,0.6666726378098179,-0.0002727117728129922,False
200,China,badminton,2.07213407756399,0.06951505224728059,True
201,China,boxing,0.8497004710192673,0.07219251311688256,True
202,China,cycling,1.0516294405790705,0.11687909463182697,True
203,China,swimming,0.9670655259656871,0.10386252088816006,True
204,China,shooting,-0.44650652391133205,0.033110470516194285,False
205,China,gymnastics,1.515470693590278,0.09464251061402708,True
206,China,wrestling,0.8944696270418284,0.060352560250785475,True
207,China,skiing,0.03270706554247175,0.12103358256965,True
208,China,bowling,0.3219658933135941,0.11157356478543412,True
209,India,football,-0.1878274695164186,-0.15566416097269153,True
210,India,basketball,0.41260403860599776,-0.10502352713402456,False
211,India,cricket,2.0195676294464766,-0.018803129678040327,False
212,India,hockey,-0.4475974230068201,-0.10582777465052427,True
213,India,tennis,0.3850664503676509,0.05150301885001525,True
214,India,volleyball,0.4618186591055074,0.06284926750779019,True
215,India,baseball,-0.6084406406581981,-0.15224755813586238,True
216,India,rugby,0.7456031351280658,-0.10685571861498852,False
217,India,golf,-0.1818056252774725,-0.09302846267906624,True
218,India,athletics,0.42797020085341997,-0.07210034558469977,False
