index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne
Japan,-0.47655322954028356,0.14961893376988,0.4691044893977609,0.41329232783801517,0.4832108796427319,0.36272069131693047,0.5302483229931414,0.8266925598745657,0.44388422585742465,-0.03251590709899653,-0.25487789065329797,-0.15257215814286335,-0.6871135189725248,-0.9180076555474236,-0.6560435784452602,-0.00625309701265995,-0.3524468108542163,-0.6703075409418372
Philippines,-1.202843301392242,-0.8923704612092808,-1.2153481619840436,-0.12914673575040506,-0.3908165932014385,-0.4444464257610309,0.30723236944600446,0.5778091917153707,1.0699663066273926,-0.8581374257143735,-0.7880998240753602,-1.154720782937612,-1.6868239098375681,-2.3453315565218613,-1.7360932597111565,-0.3802681776386839,-1.321786636444914,-0.9878397705161722
Vietnam,-0.5940326759698408,0.13515097437152,-0.2610558349732261,-0.3601858606868263,-0.08909276906763236,-0.4029771938168193,-0.7593837168149477,-0.2117845106002744,0.08141810222321909,-0.33151601286285814,-0.33323658693610986,0.0009137241951096643,-0.6038260653126521,-1.5894881492501267,-0.7150319022754874,0.6072164410210655,-0.03263836840370743,-0.7715885734102973
Iran,-0.5137962208168094,0.0320013611584463,-0.016388977918914294,-1.2387746097307821,-0.7286450552514381,-0.6862131916857808,0.05460617915988301,-0.4421334473171141,-0.7536658077443851,-0.24209547762760597,-0.47485865620220824,-0.6414519993921209,-0.9904174189351428,-1.10125195538233,-0.7459501518952552,-0.9337307777495734,-0.9351769984896408,-2.1669043804627197
Turkey,0.2691120292939709,0.4641071991616284,0.19781232929778197,-0.23997984302483383,0.2615724112087394,0.15666087735074333,-0.21567157082740407,0.14863835966278802,-0.07288652559632984,-0.03646830029984357,0.02584934375274992,0.49821859888028613,0.5383676372601037,0.46216994129737593,-0.3519933748283313,0.4816074894626589,0.257470052478563,-0.05060065512401551
Russia,-0.1920894862091151,-0.5791663035395643,-0.45828476772688387,-0.3877175020770784,-0.10530708521701507,-0.22598532031556373,0.362588511297837,-0.2795494934682741,-0.3318633258476348,0.8550123671037816,0.8868372623595281,0.4403978617731998,0.27790024384214657,-0.11643494095954222,1.573785860865274,0.4103321450475348,0.6291414554547314,0.03210581768788907
Germany,-0.8650683160620921,0.71191764675908,0.34985832328867894,-0.5847976476774621,0.3261316061718342,0.14851981491013277,-0.09473790596782954,0.20446371756193177,0.08621279177277476,0.19893005446959136,0.2911577308575963,1.0036386396536556,0.6269933282485008,0.9581535317392513,0.01556916681965969,0.07908658801314228,0.1829885996034784,0.2838482194024398
France,-0.3625699866828593,-0.09942859217073655,0.30571425533616925,0.25537631877722267,0.3526951781892681,-0.2820717251379626,-0.8081470500950464,-0.22527340505681115,0.10184474608417712,-0.24772395304429634,0.09730495751193684,0.00816747941699266,1.4919264298915385,0.5721715183248834,-0.08771402497947321,-0.07927364435490952,-0.05250945452288724,1.5017210714627036
Italy,-0.9384452589373428,0.030397586722664197,-0.439159910251962,-0.3991660313296154,-0.476569815053485,-0.6266728198234228,-0.538083569594909,-0.34766049680008126,-0.05547317463102899,-0.26091895341901195,-0.22760155271234409,-0.2867089422411473,1.3194790074538378,-0.07929633010018153,-0.5506322158651885,-0.6168793752763616,-0.5655729800710344,0.5037799653157758
Spain,-0.7680667774035275,-0.42348917312098977,-0.26594542715551583,-0.24015147239839507,-0.7348172081377597,-0.4246011278754753,-0.8194636718369513,-0.6545231489730917,-0.6860136166850004,0.027085175972314135,0.3343066837733148,-0.08569413692003851,1.161884433463968,-0.09075696281164543,-0.13961048790762468,0.6293312604973713,-0.05989303255929479,1.0909899959409597
