,country,yob,direct_correlation,indirect_correlation,same_correlation
835,Sudan,1947,-0.4945469409629068,0.07642817150378678,False
836,Sudan,1948,-0.0025175126900979844,0.1160489819412479,False
837,Sudan,1949,-0.6322582518623258,0.06447816689940776,False
838,Sudan,1950,-0.7061894031036329,0.039752161151007895,False
839,Sudan,1951,-0.6199900167094362,0.04150257364246797,False
840,Sudan,1952,-0.5824007412580761,0.03300083157578177,False
841,Sudan,1953,-0.6444585133120273,0.04631964328187719,False
842,Sudan,1954,-0.36733584465180186,0.024844562685696337,False
843,Sudan,1955,-0.715713952430588,0.020020254408879886,False
844,Sudan,1956,0.10480799110877093,0.04017941830079562,True
845,Sudan,1957,-0.4038941234410031,0.0253500970428243,False
846,Sudan,1958,-0.5098510397022551,-0.0003845373009234012,True
847,Sudan,1959,-0.4496299504309469,0.0110537389125121,False
848,Sudan,1960,-0.3317524331355191,-0.01141609788161746,True
849,Sudan,1961,-0.33138434115582466,0.0020240676364648514,False
850,Sudan,1962,-0.3315326855684199,-0.006697337329259264,True
851,Sudan,1963,-0.1844531142433629,-0.021404293028062408,True
852,Sudan,1964,-0.36364957834376,-0.03470199434036726,True
853,Sudan,1965,-0.6106985584697765,-0.02583706608567284,True
854,Sudan,1966,-0.5558168050708076,-0.02823842837729848,True
855,Sudan,1967,-0.3091427929474493,0.030041742220098838,False
856,Sudan,1968,-1.0562456867073793,-0.049054617905154585,True
857,Sudan,1969,-0.7167228507648319,-0.041553540650635004,True
858,Sudan,1970,-0.6860978119299435,-0.038871586927651684,True
859,Sudan,1971,-0.6312136262268739,-0.04855214655072144,True
860,Sudan,1972,-0.6970902830839117,-0.08865399190198693,True
861,Sudan,1973,-0.2734552279710297,-0.050032620906026434,True
862,Sudan,1974,-0.6185880434810413,-0.10253029719082478,True
863,Sudan,1975,-0.5332471210791789,-0.11309104729068893,True
864,Sudan,1976,-0.3346382190170171,-0.09530701485610163,True
865,Sudan,1977,-0.3050751075258891,-0.08403779072730685,True
866,Sudan,1978,-0.21151506920264676,-0.0978709699672299,True
867,Sudan,1979,-0.5181455065094932,-0.06501686512126606,True
868,Sudan,1980,-0.524329077040153,-0.12652673078522972,True
869,Sudan,1981,-0.3842480838852869,-0.09967930803416344,True
870,Sudan,1982,-0.255585456590775,-0.13635623420068013,True
871,Sudan,1983,0.11961561091242055,-0.14284244683938413,False
872,Sudan,1984,-0.3418445602774681,-0.11987889851972243,True
873,Sudan,1985,-0.44992672171940057,-0.12698528851483995,True
874,Sudan,1986,-0.3695304495758824,-0.14458164269978102,True
875,Sudan,1987,-0.2933264514611015,-0.1315916322608545,True
876,Sudan,1988,0.07960011710208265,-0.1364763682086844,False
877,Sudan,1989,-0.3412728431506535,-0.1662386435519517,True
878,Sudan,1990,-0.15460374062694973,-0.17009273988562296,True
879,Sudan,1991,-0.12435658128782805,-0.1873800721540695,True
880,Sudan,1992,-0.18856531331623946,-0.17990085558528182,True
881,Sudan,1993,-0.07093280498504602,-0.1790780790171881,True
882,Sudan,1994,0.09524044548915807,-0.18128821427327327,False
883,Sudan,1995,-0.2524131425812157,-0.19306010982536187,True
884,Sudan,1996,0.056630754384161576,-0.17725758423924548,False
885,Sudan,1997,-0.25957988967097234,-0.18762944928747516,True
886,Sudan,1998,-0.10797648253087667,-0.2066343909343371,True
887,Sudan,1999,-0.1898476751096793,-0.1754276512979249,True
888,Sudan,2000,0.10225376654973832,-0.15755532669366362,False
889,Sudan,2001,0.1212665337069983,-0.1754894593440432,False
890,Sudan,2002,0.30862063320190364,-0.1879186812329543,False
891,Sudan,2003,0.6578143504188143,-0.1862883364236549,False
892,Sudan,2004,0.5267617305880874,-0.1975274832351577,False
893,Sudan,2005,0.777920428306922,-0.1669804397048398,False
894,Sudan,2006,0.5738681043504473,-0.17687334731640006,False
895,Sudan,2007,0.5624205976842479,-0.17140389919333773,False
896,Sudan,2008,0.6590890714940871,-0.17565341123463796,False
897,Sudan,2009,0.6999011511647163,-0.16928589441197775,False
898,Sudan,2010,0.478553680412322,-0.1713327995752315,False
899,Sudan,2011,0.8491378191517255,-0.18511694962070024,False
900,Sudan,2012,0.398362471347828,-0.17731762302643428,False
