,sport,race,direct_correlation,indirect_correlation,same_correlation
109,swimming,Asian,-0.04665305855552649,0.08605587045875561,False
110,swimming,Black,-0.4181176995278635,0.0846547827350314,False
111,swimming,Hispanic,-1.0598871501362452,-0.09589503050688099,True
112,swimming,Latino,-1.2073260084880264,-0.09337607499336018,True
113,swimming,White,-0.3588146867449801,0.08200599353897957,False
114,snooker,Arab,0.4392132141611135,-0.052233127546483585,False
115,snooker,Asian,1.0854246719120917,0.07876952068526279,True
116,snooker,Black,0.7775617337593451,0.033260264986177845,True
117,snooker,Hispanic,0.7141805832329784,-0.13786967165182784,False
118,snooker,Latino,0.9381642156026582,-0.0937928384242955,False
119,snooker,White,0.3326887116595645,0.027272068174019868,True
120,shooting,Arab,-0.2404428713679613,0.09036779366023012,False
121,shooting,Asian,-0.2688262352179737,0.09894270156096542,False
122,shooting,Black,0.07245980863366484,0.07609197820535853,True
123,shooting,Hispanic,-0.6459781509168495,-0.0985510774216476,True
124,shooting,Latino,-0.9353723064793188,-0.06973901316844293,True
125,shooting,White,-0.2294561792018508,0.03634516436396768,False
126,gymnastics,Arab,0.600970818284619,0.03749796780437583,True
127,gymnastics,Asian,0.4711877547064502,0.08056099556896748,True
128,gymnastics,Black,0.5292631189139578,-0.035563687838645504,False
129,gymnastics,Hispanic,0.3608945403747889,-0.0843899606621848,False
130,gymnastics,Latino,0.1847328532302908,-0.10387073792617137,False
131,gymnastics,White,0.4713466645238531,-0.049882033207930464,False
132,handball,Arab,0.4340798041253586,0.058117968301457774,True
133,handball,Asian,0.9339365827776998,0.08820860048141595,True
134,handball,Black,0.5590378454589533,0.055047992965663976,True
135,handball,Hispanic,0.9753970352597188,-0.06032769152549902,False
136,handball,Latino,0.8860520376043869,-0.05146264886010898,False
137,handball,White,0.4171512145683044,0.042010353914235715,True
138,wrestling,Arab,-0.002656349601426661,0.025966585915196832,False
139,wrestling,Asian,0.8558189645544118,0.059287645502469524,True
140,wrestling,Black,0.4562797491291321,0.015185748902185403,True
141,wrestling,Hispanic,0.039543549301478784,-0.13185307871346244,False
142,wrestling,Latino,0.3434339093245433,-0.07247218344808508,False
143,wrestling,White,0.1828133460678788,-0.009426246674242788,False
144,skiing,Arab,-0.6459300773930408,-0.026518430156034143,True
145,skiing,Asian,-0.13373204137869954,0.17498970667438127,False
146,skiing,Black,-0.35211465999489666,0.12179283416346574,False
147,skiing,Hispanic,-0.6210087857780631,-0.02012989182026889,True
148,skiing,Latino,-0.5336774297696701,-0.0226266239409752,True
149,skiing,White,-0.05552856459722237,0.07866853433864547,False
150,horse racing,Arab,0.3485609429600484,-0.03477632191331695,False
151,horse racing,Asian,0.7137120306321765,0.06669236768966225,True
152,horse racing,Black,0.9633875143163054,0.0008749923966637707,True
153,horse racing,Hispanic,1.078209280033013,-0.013887707161541493,False
154,horse racing,Latino,1.1715902124975532,0.02221077322082507,True
155,horse racing,White,0.7511525868436619,-0.040816208961150915,False
156,horling,Arab,0.37988153283884396,0.10469167532932787,True
157,horling,Asian,0.04620234049553047,0.12332942481343305,True
158,horling,Black,-0.05046112990321557,0.11283794398739212,False
159,horling,Hispanic,-0.6416955198127947,0.03911110640641503,False
160,horling,Latino,-0.8487137026012241,-0.020369817118206724,True
161,horling,White,-0.0602424204694761,0.11044119178011458,False
162,pickleball,Arab,0.2256934655526453,0.013843828628391184,True
163,pickleball,Asian,0.5690696786571317,0.061909962786246386,True
164,pickleball,Black,0.7171310563118977,0.04857763257035607,True
165,pickleball,Hispanic,0.4777082793064453,-0.12065897864976907,False
166,pickleball,Latino,0.4864302717389326,-0.08744368773497957,False
167,pickleball,White,0.5174987251316261,0.048044770530479335,True
168,water polo,Arab,1.2982655113728774,0.059079400161771975,True
169,water polo,Asian,1.2813505030434809,0.060227613444927865,True
170,water polo,Black,1.0240497499940906,0.04779587096421346,True
171,water polo,Hispanic,1.1800275820939985,-0.06204545920168104,False
172,water polo,Latino,1.2314669760949508,-0.056987638960815136,False
173,water polo,White,0.9122561038122896,0.038748520681279305,True
174,bowling,Arab,0.21458444787973824,-0.10135484277775303,False
175,bowling,Asian,0.31752498141387264,0.11670357259023112,True
176,bowling,Black,0.4477939352737037,0.1326676660763961,True
177,bowling,Hispanic,-0.3459281348660095,-0.08209329723566479,True
178,bowling,Latino,-0.547661193540139,-0.08190693937136341,True
179,bowling,White,0.19041687822696568,0.11721292020992345,True
