,beverage,country,direct_correlation,indirect_correlation,same_correlation
44,water,Paraguay,-0.4959144553670304,-0.15714084962856056,True
45,water,Uruguay,-1.2926084099676542,-0.17123720607759788,True
46,water,Australia,0.1939676586202027,0.07960457485737968,True
47,water,Fiji,-0.07674718793189615,-0.08421410062398116,True
48,water,Samoa,-1.441106050717211,-0.08919331517845504,True
49,water,Tonga,-1.6109593387504488,-0.1496129556597228,True
50,coffee,Nigeria,-0.11956075806699007,0.03855527864929855,False
51,coffee,Ethiopia,0.8117120855868271,-0.08880709813684362,False
52,coffee,Egypt,0.3778477195898775,0.023320836863887247,True
53,coffee,Congo,0.4147099987215465,0.03362780324798813,True
54,coffee,Tanzania,1.129528068796107,0.028414057149189764,True
55,coffee,Kenya,1.0623226196935245,0.13432378479750362,True
56,coffee,Uganda,0.517980329527447,0.013861272383406582,True
57,coffee,Sudan,0.4131096550004626,0.02181555486646625,True
58,coffee,Algeria,0.2928800462072124,-0.11445297370150585,False
59,coffee,China,-0.012300871897135631,0.004495533469378279,False
60,coffee,India,1.1031014688640208,-0.0452243625913509,False
61,coffee,Indonesia,1.9930970789607099,0.002240116628132518,True
62,coffee,Pakistan,0.8472846647903581,0.01475068655743833,True
63,coffee,Bangladesh,1.0495854084990377,-0.07339155498190203,False
64,coffee,Japan,0.08605761854869681,0.06367393231182371,True
65,coffee,Philippines,1.0579867249845465,-0.0004088964423476117,False
66,coffee,Vietnam,1.660707686980041,0.1805085325010897,True
67,coffee,Iran,0.10917100863208576,-0.048140361517295366,False
68,coffee,Turkey,0.6596538277614743,-0.05672246823000325,False
69,coffee,Russia,-1.2490330110651904,-0.08082721372820903,True
70,coffee,Germany,-0.2110601164502583,0.11570163407392513,False
71,coffee,France,0.22292888732338328,-0.019407439757673384,False
72,coffee,Italy,0.049657077345265234,-0.032302664530621424,False
73,coffee,Spain,0.07131093031897713,0.07978710989589065,True
74,coffee,Ukraine,-0.968636302121251,-0.036772433276879166,True
75,coffee,Poland,-0.6199698562336269,0.14598641775728427,False
76,coffee,Romania,-0.11028733098289152,-0.07328652335335423,True
77,coffee,Netherlands,0.7101488537682307,0.09882525327155584,True
78,coffee,Austria,0.01097032778429243,0.009277885403528564,True
79,coffee,Mexico,0.8215444744455291,0.11680230728049396,True
80,coffee,Canada,0.28280040032896697,0.14721233546729848,True
81,coffee,Guatemala,1.6185846076112504,0.09761185376258276,True
82,coffee,Haiti,0.5002317121016716,0.08062973565340859,True
83,coffee,Cuba,1.140498457993138,0.2326284054590037,True
84,coffee,Honduras,2.276322821114512,0.1690017137023994,True
85,coffee,Nicaragua,1.6981760418633869,0.08761842737714093,True
86,coffee,Brazil,1.6121341924866113,0.03865836824947718,True
87,coffee,Columbia,1.4192658987629956,0.1984512115610883,True
88,coffee,Argentina,1.3987914237511527,0.15467329397527385,True
89,coffee,Peru,1.1228754706668702,0.017042540604293936,True
