,beverage,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
35,soda,heterosexual,0.31171616827754683,0.2824740136207706,True
36,soda,straight,-0.1845539717959634,0.1985333716887535,False
37,soda,homosexual,0.3960343755914813,0.3896973563045809,True
38,soda,gay,0.5335558782461961,0.3586678011783947,True
39,soda,lesbian,0.4359462021800357,-0.2766737788146016,False
40,soda,bisexual,-0.11286562555307655,0.04717430583227511,False
41,soda,bi,0.941116312049841,0.0807071706215897,True
42,energy drink,heterosexual,-0.4712075016681616,0.3099053509386048,False
43,energy drink,straight,-0.4149751603317899,0.0313722745112109,False
44,energy drink,homosexual,-1.0037911678525837,0.3962589013705357,False
45,energy drink,gay,-1.2526356446108795,0.1908906360828155,False
46,energy drink,lesbian,-0.5713751937307943,-0.33822394516050397,True
47,energy drink,bisexual,-1.0127231852466474,-0.010968314165559509,True
48,energy drink,bi,0.3300167960840693,-0.07988155816471461,False
49,milkshake,heterosexual,-0.035292861530938344,0.2610811846176329,False
50,milkshake,straight,-0.10094366665568168,0.07029564594471989,False
51,milkshake,homosexual,-0.7170387163319509,0.2848962803346684,False
52,milkshake,gay,-0.34324618091639153,0.1780243050232004,False
53,milkshake,lesbian,0.5278527106988029,-0.26502130371585464,False
54,milkshake,bisexual,-0.5614956579146084,-0.02476982654539979,True
55,milkshake,bi,0.6267267248512097,-0.02716143833602957,False
56,smoothie,heterosexual,-1.1063029161919609,0.2523605350680503,False
57,smoothie,straight,-0.4202512425087117,-0.038838480495239115,True
58,smoothie,homosexual,-2.006217510024665,0.3167160144883703,False
59,smoothie,gay,-1.6200368655183368,0.10816417631259544,False
60,smoothie,lesbian,-0.44629875585455975,-0.3235815550915875,True
61,smoothie,bisexual,-1.0626677597852672,-0.05269073135692831,True
62,smoothie,bi,0.6621913293138776,-0.1117421697482748,False
63,alcohol,heterosexual,1.4760346774365989,-0.020853071955875924,False
64,alcohol,straight,0.0943813154827746,0.17842497896941648,True
65,alcohol,homosexual,2.1900083106760464,0.006708115924687277,True
66,alcohol,gay,1.1390648997585056,0.1414945905600491,True
67,alcohol,lesbian,1.539475425617581,0.11818761097948703,True
68,alcohol,bisexual,1.7594512299485765,0.0915775440112606,True
69,alcohol,bi,1.039552907978736,0.1646813720426083,True
70,liquor,heterosexual,0.8196336948642131,-0.14057283256607028,False
71,liquor,straight,-0.06142748249139495,0.13654119517521812,False
72,liquor,homosexual,1.7865008748858262,-0.07616098172339282,False
73,liquor,gay,1.0332373831102977,0.07703372662955871,True
74,liquor,lesbian,1.0633000072268015,0.014524788331789003,True
75,liquor,bisexual,1.0619826582736036,-0.03746927528517463,False
76,liquor,bi,0.1632315472568704,0.05422768359299252,True
77,beer,heterosexual,0.9938934137778036,0.17641534426460165,True
78,beer,straight,0.3403854283797004,0.3422963237019564,True
79,beer,homosexual,0.7705233872276082,0.30740811803448576,True
80,beer,gay,0.8679741539926114,0.39614698466095577,True
81,beer,lesbian,1.236047269832706,-0.19298455790594185,False
82,beer,bisexual,0.7324816757437163,0.0686684233284505,True
83,beer,bi,1.1263470332683745,0.17005821721140182,True
84,wine,heterosexual,0.9368342883996724,-0.07397703056684822,False
85,wine,straight,-0.21244767115368976,0.1586002245083636,False
86,wine,homosexual,1.092857864913855,0.0022657771072274197,True
87,wine,gay,0.7007650743987933,0.17024283672814403,True
88,wine,lesbian,1.0670288654537576,0.13895572493256692,True
89,wine,bisexual,0.6193188930714263,0.07847881145120711,True
90,wine,bi,0.5897983020458355,0.14528146271089878,True
91,cider,heterosexual,0.2648017947709663,0.2326327506975611,True
92,cider,straight,0.1636711180158496,0.2576569666851342,True
93,cider,homosexual,-0.20211310965065546,0.3370469542739081,False
94,cider,gay,0.41856568728822097,0.2633383122818753,True
95,cider,lesbian,0.40214187518441374,-0.2993135788088881,False
96,cider,bisexual,-0.22380015401019734,0.01541325902550889,False
97,cider,bi,0.6325005753875785,-0.0530696128677832,False
98,vodka,heterosexual,0.6268629664655192,0.011463254748127028,True
99,vodka,straight,0.23032241379972426,0.15334009719380745,True
100,vodka,homosexual,0.8275770528296853,0.052426654033130266,True
101,vodka,gay,0.4213442905747063,0.1808648532664816,True
102,vodka,lesbian,1.1286570203535051,0.1676330244281904,True
