,sport,country,direct_correlation,indirect_correlation,same_correlation
89,basketball,Peru,0.19858301531301456,-0.2345244113276693,False
90,basketball,Venezuela,0.3548794253889981,-0.2694057568716312,False
91,basketball,Chile,-0.258977605747797,-0.23056465320171615,True
92,basketball,Ecuador,0.04482121078455312,-0.2777087668397065,False
93,basketball,Bolivia,-0.1758579939631056,-0.24912426593656026,True
94,basketball,Paraguay,-0.2307611486536327,-0.2553852330807621,True
95,basketball,Uruguay,-0.1270325200570277,-0.24114010090013155,True
96,basketball,Australia,-0.14396520851384192,-0.0066688556829657885,True
97,basketball,Fiji,-0.08828585225166154,-0.08935231666889212,True
98,basketball,Samoa,0.18736328000471875,-0.13240909347000598,False
99,basketball,Tonga,-0.013516134087771577,-0.06521757302406,True
100,cricket,Nigeria,0.3804486665066311,-0.049866580274434906,False
