index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
chef,-0.6005399953559569,-0.17856990414343454,-22.61503,-5.203143,12.950404,5.286134
coach,-2.999136487752839,-0.18983197692662948,169.78711,39.71193,6.9999228,9.8111315
cook,0.9720605619064925,0.7202199549181408,6.130556,111.00481,3.310859,10.636084
computer programmer,0.09549159222801816,-1.2644237405484466,-46.139606,-152.92467,10.279848,4.244756
dancer,4.896823274264071,0.22208529314647338,-56.401253,228.35135,1.7955675,13.109236
dental hygienist,-0.5400216516129908,-1.070405874137643,-32.91404,-116.55525,10.429599,5.4630904
denstist,0.3022735009231349,-1.6531005812209296,-66.75723,-191.86047,10.303493,3.4151328
designer,-1.0464932874813713,-1.2002219956648459,22.713634,-166.73035,8.591574,5.3988714
developper,-1.2107408451077544,-2.2664650266069897,48.925003,-196.77052,8.384366,5.0652666
dietician,0.023585426079064907,-1.1979275702386452,-75.13948,-137.12903,11.064637,4.386026
doctor,-1.175329934617337,2.0006516093247595,100.84422,39.225956,5.085661,8.386047
economist,-1.3628262880135813,0.7477990932766916,62.521816,17.95301,5.886505,7.8741765
editor,-1.347821812205359,-0.8315053259782341,40.49976,-153.80646,8.191142,5.9934025
electrician,-0.9102330807187078,-0.804199720114367,14.363406,-120.49901,9.318857,6.231103
engineer,-0.2785644161064265,-0.5689644049011747,-33.069237,-82.19418,11.192358,5.778688
farmer,0.6164942857807678,1.0917235107598013,15.365339,114.40184,3.3222454,10.6580515
filmmaker,-0.4306843246232261,-0.5045514989019705,-32.717545,-5.604484,12.86155,5.1867247
financier,-1.1902396818395171,1.3821621074659491,74.2046,56.889294,5.6057534,8.554919
fireman,-2.9216770948312125,-0.9367884443374471,174.27034,28.394758,7.0841036,9.742139
fisherman,1.3564359024808528,0.8900742287539519,-13.869695,137.65433,2.837633,11.070266
flight attendant,2.6777913468803267,-0.8579502675590441,-96.48961,144.7104,2.1998787,12.490211
gardener,1.2825345880184371,1.3999532906513217,-2.2575557,140.97934,2.926034,10.981103
guidance counselor,-1.5159221055565328,-1.2546623895426412,57.010574,-175.81319,8.21529,5.6438046
hairdresser,-0.2530775260949398,-0.9041854632533566,-44.18631,-116.14887,10.690963,5.259015
homemaker,5.599158555429541,-1.0162275072946119,-70.44387,235.21825,1.6896113,13.259191
housekeeper,3.787117391048899,-0.33957073091223144,-54.173782,212.2519,1.8916082,12.615742
interior designer,-1.1302930825477795,-0.9988013993529015,31.506466,-162.81859,8.201657,5.7037067
jeweler,0.6976449620169265,1.7876092777168364,48.857662,105.980255,3.8216922,10.117487
journalist,0.21952890435321956,-1.5889481031196588,-61.395714,-200.82193,10.38806,3.5477777
judge,0.6255133886120245,4.335030965091974,113.80627,145.67984,3.9366357,8.912528
lawyer,-1.395332342563754,0.38348420290768626,56.453754,6.4599276,5.7766438,7.573911
librarian,-0.9734690757348426,-0.548938137661313,5.9829054,-117.82497,9.321531,6.3412805
maestro,-1.359195603311059,2.385793495596599,109.98695,43.24803,5.182416,8.744168
magician,3.424041755357797,0.07166547522185861,-35.69789,214.34798,2.1171925,12.479993
mason,-3.0268011316510632,1.4919751442213507,144.10378,49.762012,6.2636957,9.485689
mechanic,-0.5526767784664793,-0.8408968289362682,-16.372719,-73.902466,11.276272,6.0793304
musician,0.05149902820237191,0.1449646488196212,-13.130422,5.2124147,13.061877,5.1375065
