,sport,age,direct_correlation,indirect_correlation,same_correlation
165,basketball,64,-3.4417734871031263,0.09459834883310993,False
166,basketball,65,-3.440295468519898,0.0730504015503348,False
167,basketball,66,-3.1855875586528515,0.10980028523187063,False
168,basketball,67,-3.8996937756189216,0.05839089390407382,False
169,basketball,68,-3.8993662846888166,0.06481411206935497,False
170,basketball,69,-3.4565999024401832,0.06103959383227986,False
171,basketball,70,-3.9889514180607977,0.06929620660256224,False
172,basketball,71,-3.8653164698145392,0.052757258858364325,False
173,basketball,72,-4.169030529142526,0.04618431754312292,False
174,basketball,73,-4.098277790964316,0.05319756749270608,False
175,basketball,74,-3.8458918305286183,0.052195434229503464,False
176,basketball,75,-3.814344868948876,0.031066710495288,False
177,basketball,76,-3.8221217514558115,0.04269036351041521,False
178,basketball,77,-3.714161384606918,0.06996992293213121,False
179,basketball,78,-3.9307786550034236,0.03610517203035896,False
180,basketball,79,-3.585997014457609,0.020288138998666248,False
181,basketball,80,-3.7334631101241733,0.016472586411656512,False
182,basketball,81,-3.7547259066838032,0.01201412967181332,False
183,basketball,82,-3.7688300701844413,0.005257030477037389,False
184,basketball,83,-3.7348868707154375,0.005396305494628365,False
185,basketball,84,-3.861846762954884,0.038723622534703205,False
186,basketball,85,-3.1875476435582324,0.0011972747657385465,False
187,basketball,86,-3.4103902425564527,0.027185665240830773,False
188,basketball,87,-3.858128594769352,-0.0018388824063888128,True
189,basketball,88,-3.6717706946926874,0.011294878581084643,False
190,basketball,89,-3.705127117786114,0.0072360136302426796,False
191,basketball,90,-3.4804920599970237,-0.018511629562826662,True
192,basketball,91,-3.715352948102214,-0.027423065618805392,True
193,basketball,92,-3.6446525019250564,-0.03307363669869677,True
194,basketball,93,-3.5145982193834517,-0.010004005892520826,True
195,basketball,94,-3.604904683262,-0.015128571436815704,True
196,basketball,95,-3.3757646854648407,-0.010433171568478384,True
197,basketball,96,-3.4752106104175358,-0.010501022340050528,True
198,basketball,97,-3.7152810256007065,-0.000917617952833706,True
199,basketball,98,-3.4138954560780848,0.0004677214355387347,False
200,basketball,99,-3.467501535451608,0.011667995754201384,False
201,basketball,100,-2.5889861241208574,0.006940926344227327,False
202,basketball,101,-3.183492547014189,-0.029899587388756813,True
203,basketball,102,-2.8235950060306303,-0.0311633351429244,True
