index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,male,female,boy,girl,man,woman
Calvin,0.8921637974019758,0.29960041337123916,0.3916191359499135,0.6409811730639607,1.3749302981996554,1.003590990855942,-0.8377439559580184,0.1378535607630027,-0.7415944314432451,0.29961395422436066,0.6502657100205164,0.43619107753346176,0.503792946928561,1.6824003803425236,-0.45143490913030726,0.004101016700287002,1.38589457843194,0.8958544201466311,2.666410433639732,1.2423230287083438,2.7404841872807064,0.601657930549554,1.9560069328822751,1.0573520053122534
Mateo,0.46699834166102705,-0.004201856213671369,0.34435953172243206,0.8494271972711587,0.6418224432264721,0.09517590109819285,-0.5999638850388365,-0.7290333188851646,-0.7024214250436001,0.2706934240678079,0.8816230553474317,0.33884050521607867,0.7771977914597904,0.3337440638272301,0.08723436916078578,0.11578058650666903,0.01700239573764799,0.38032497189094233,0.7239646400991211,-0.0100689185949834,0.4835204779049695,-0.5509777288933931,-0.3932247247169496,-1.1778622318941607
Ethan,0.5240108754953147,0.7021272979972514,0.5805500516031444,0.5838654386957389,0.9069879071118357,0.2948107523717536,-0.303841872849415,0.2992505663728028,-0.39699671116116764,0.6771832961063732,0.8161461779088602,0.5948350662345007,1.0166863859506077,1.228012432849438,0.3344862726322045,-0.23118544165754734,1.6230714012872172,0.6152112926763009,3.842916514077687,1.9586868143304066,3.498252879234956,1.4213982001753585,1.9250126418253042,0.8537578367746798
Dominic,0.19064866146568593,0.08304260335179926,0.2918736310220056,0.31914047936929213,0.06385124224682735,-0.33202422945128557,-1.2918179137736814,-0.8351664725075348,-1.6605207840579796,-0.09401670461150227,0.6183197429139076,-0.06289018085077287,1.0141577541614415,0.35274285035038927,0.2407565474369057,0.8122297763185141,0.8913319760055995,1.4684317507904692,2.3751163367940045,0.7243271567339445,2.4909362965336457,0.39689071651278657,1.5901585186517677,0.41779137648674447
Riley,1.783774895400323,-0.1314478473124874,0.5743984797436302,0.12335035763027952,1.7803487761103212,-0.7228516741068197,-1.8052992352563846,-0.49970289843456633,-1.6036109906863703,0.6989184508919934,1.1202858246977925,0.7678463279567027,0.9107396471173015,0.6881596191834884,0.054859524093497015,1.1026633265343835,1.8726608536017126,0.9507778370879559,3.6675662499053403,2.9324073686081733,2.5421581410585694,1.336071040030732,1.062234888314886,0.7555064450098011
Dominique,-0.4992570095928603,0.4651919933023635,0.008707841318527787,0.1901293509318206,-0.3391557189509839,0.13581804489353216,-0.3078994487374736,0.06337748076538822,-0.014159248199004057,0.34116806537787137,0.40837815260737637,0.4271735612583189,0.9798852380629685,0.3644117986617862,0.6104025301189128,1.1199731928830532,0.6019491713878614,2.3371214262712154,3.0726432214423087,1.951230987969971,3.0651033993116146,1.7686672082557906,1.9500465256014352,1.625261270400695
Ellie,0.2883105751535962,-0.03998390601944813,0.030659431475027307,0.87280513514069,1.8008577438537758,-0.5377633911926616,-1.2620993912686804,-0.26215833953090817,-0.8579090579041586,0.9981800166119288,1.182720621208735,1.0437404934946204,1.0770643123147357,1.15770504090489,0.06896332560306791,0.053818790351094076,1.8261134578788492,1.172577838988934,2.5191651108949205,4.101692166120274,2.088838559111927,3.924511007593904,0.05783649571503214,3.0683288503163513
Vera,1.970073273652898,0.5048123201120016,2.2317575528756977,1.1071446578772315,3.0429290079049505,-0.616705720761958,-2.825434088965012,-1.3473067914116745,-2.8348453556388002,1.47800725561366,2.3747613111848134,0.753427847548148,2.431497204498266,0.2865828107826402,1.8993038650746767,1.0586991532691183,1.8293250302485453,1.9941443658782976,3.205226954596478,4.867921743211802,1.8835697271866796,4.0606938053151005,0.6084574940331403,3.705860105557916
Carter,0.9964543282975711,0.6893052020449495,1.0408304157368866,0.70845090949819,1.1640169799495763,0.25955198740333946,-0.9545025035755819,0.008025522998768742,-0.9392673707319704,-0.0360382854944059,0.3280849672276453,0.3659924408639224,0.02078204992799984,1.1201281973520052,-0.37819887516701617,0.681353239327355,1.0850323902951982,-0.2970968431266248,2.7120285024993245,2.3430462521094886,1.7201518003322709,0.7505226994350629,1.4522952824077473,1.8817557597353949
Herman,1.5556791744843825,1.3675483109844122,0.9187399812338206,0.4716357109750296,2.7285942351446084,0.30561762934915443,-0.8839996634272688,-0.1623844172684709,-1.4306443586123363,0.9031237714834959,1.5893529983974866,1.7855483689415919,1.6625220085054584,1.2525666473134416,0.6311632513609522,0.9415115843563168,1.414224857289851,1.7011344885048503,2.714542371429981,1.462831490331979,3.716180698945849,1.9778481224178366,2.8549613878765863,2.15885542788663
