,sport,beverage,direct_correlation,indirect_correlation,same_correlation
32,cricket,alcohol,-0.3840220551299696,0.009876666906908013,False
33,cricket,liquor,-0.2926395299847029,0.053600861718149546,False
34,cricket,beer,0.8380789756298654,0.1521093295235824,True
35,cricket,wine,-0.9309643924671492,-0.04340934928154023,True
36,cricket,vodka,-0.503764675238975,-0.0034303871447832718,True
37,cricket,whiskey,0.4656998425076329,0.20813694753019504,True
38,cricket,champagne,0.2035727518456622,-0.1400565274553794,False
39,hockey,water,-0.6123675422610574,-0.1786406310085415,True
40,hockey,coffee,-0.14271257011778332,0.03304439055855698,False
41,hockey,tea,-0.6369368696922382,-0.1956178016039116,True
42,hockey,juice,-0.1522906270541477,-0.13724597260770555,True
43,hockey,milk,-0.9063477370321592,-0.2690134559882533,True
44,hockey,soda,0.4533408231744989,0.10470367202279228,True
45,hockey,alcohol,-0.5055523354221745,0.056121073046952887,False
46,hockey,liquor,-0.4339060445183467,0.08099334351816916,False
47,hockey,beer,1.1532051346160297,0.3363492247785491,True
48,hockey,wine,-1.1988734297047314,-0.03271580720806711,True
49,hockey,vodka,0.9781564356691056,0.08714744397759139,True
50,hockey,whiskey,0.5178030624118375,0.323620054432292,True
51,hockey,champagne,0.10072328809735212,-0.24474688548656764,False
52,tennis,water,-0.6329732556570776,-0.09796045645655907,True
53,tennis,coffee,0.3762437607421397,0.03393228078376435,True
54,tennis,tea,-0.1181980824470464,0.03562661109024036,False
55,tennis,juice,0.3362172867400766,0.07372815501916243,True
56,tennis,milk,-1.4602612283065712,0.0005533373065061998,False
57,tennis,soda,-0.5298927568892726,0.03564710561575268,False
58,tennis,alcohol,-0.5306466395311842,-0.05109740037457506,True
59,tennis,liquor,-0.6108619129736214,-0.06400605798539104,True
60,tennis,beer,0.4190126217156629,-0.0809328901530542,False
61,tennis,wine,0.09850114802928628,0.18257985074301789,True
62,tennis,vodka,0.3560798951808434,0.017352448191919976,True
63,tennis,whiskey,-0.5211572008241302,-0.0830326028607292,True
64,tennis,champagne,1.7148870301082957,0.0983641528501695,True
65,volleyball,water,0.4498773956498252,0.04664656549927622,True
66,volleyball,coffee,0.11126785023927498,-0.1365798412891193,False
67,volleyball,tea,-0.8039438340589179,-0.12997959990081842,True
68,volleyball,juice,0.7518964586098834,-0.0044644329316934645,False
69,volleyball,milk,-1.0014855170892378,-0.039823422400071126,True
70,volleyball,soda,0.9034433184070468,-0.032438992543402774,False
71,volleyball,alcohol,-0.1703619089228234,0.029962432306905963,False
72,volleyball,liquor,-0.3096083956636205,0.007306786908975638,False
73,volleyball,beer,0.9535796741064472,0.017916188607405563,True
74,volleyball,wine,-0.7745741662014964,0.05549108130965722,False
75,volleyball,vodka,0.527121186320316,0.02135105989476491,True
76,volleyball,whiskey,-0.6167366017346116,-0.00039944731416826577,True
77,volleyball,champagne,0.4636301094435945,-0.04898137987290305,False
78,table tennis,water,-0.6275293674680064,-0.11389192076279532,True
79,table tennis,coffee,0.5955707762887831,0.013770579032210736,True
80,table tennis,tea,0.7684993592047471,0.004158960527256552,True
81,table tennis,juice,0.10626894066823643,-0.04442155111067976,False
82,table tennis,milk,-0.8129203807196786,-0.09391952197040544,True
83,table tennis,soda,0.10592016711360164,0.01204954047939073,True
84,table tennis,alcohol,-0.4946002579009434,0.031226367638016755,False
85,table tennis,liquor,-0.5115622422085073,0.007745762296036599,False
86,table tennis,beer,0.4880016065290133,0.014001899356222628,True
87,table tennis,wine,-0.10491199410286,0.15213712337142085,False
88,table tennis,vodka,0.14949134442126313,0.06567444343720909,True
89,table tennis,whiskey,-0.20170813105566504,0.016170235576325118,False
90,table tennis,champagne,1.1544007072731608,0.022066917029479327,True
91,martial arts,water,0.17563530768590924,0.15452212016537742,True
92,martial arts,coffee,-0.05385627760106213,-0.1507655417315056,True
93,martial arts,tea,0.5111966653910855,-0.056186144126394916,False
94,martial arts,juice,0.19996634172443972,0.08502238728190559,True
95,martial arts,milk,-1.0988313431836687,0.05169171877127317,False
96,martial arts,soda,-0.25219590928841656,-0.046221544310271374,True
97,martial arts,alcohol,0.5259877674958984,-0.03896244711288475,False
98,martial arts,liquor,0.5298168292908673,-0.055255902935610286,False
99,martial arts,beer,0.3411847195070063,-0.08071086228142901,False
100,martial arts,wine,-0.9667396316600528,-0.07054786923256491,True
101,martial arts,vodka,0.8372137048655607,-0.0245100621678214,False
102,martial arts,whiskey,0.42117546300198494,-0.06752262014187227,False
