index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,wrestling,skiing,bowling
Joseph,2.2749579388923102,1.3511590400902918,1.980177572962221,1.5207445446387624,4.157700621375688,0.08144533878990495,-1.6703389598799188,-0.1799526578503974,-1.2733037426930158,0.6308069788435153,1.6556260671623633,0.9571772644755164,2.8478820763744364,1.716855091675565,0.8140912881638606,0.9284793831724861,1.845787629253494,1.818342547132263,3.284944574325754,3.2097704761657413,1.3752475027536968,2.888674983168905,0.789720357369508,0.9391941633380441,2.7755406518720678,1.694374596941257,1.5186288846746965,0.5960754184137274,-0.03651364065368897,2.3107180007092096,1.5304681875088066,2.7557530863193103,3.213689678947918,1.2434122655260484,2.518084644816401,3.2076419552704145,1.940126199131778
Jose,0.9188013058504857,1.6772523642287014,1.612287155209417,1.8539198366798757,2.142004367671514,0.12659953561323944,-1.2469381295592152,-0.48182616069397055,-1.5420513501465873,0.6506375645572556,1.6664742812889615,0.22852966865405563,2.4675593077785463,-0.2725855925676292,0.28754863021326943,0.9031545011988132,0.714215840228903,1.3278519697859554,0.5060233627646404,0.17135877874670777,-0.9581868754770899,0.14047517425886963,0.214484788319262,0.9676812766448012,1.2885144120366776,-0.19526904846106496,0.3262330115797491,1.150656285027267,-0.38207722196533206,1.9953875489157167,2.8028910088384476,1.6579957202312299,2.16817192291262,0.5000621328965138,2.5298321227372584,2.0942476311491456,1.4297604546765899
Eileen,-0.3342596845663264,-0.09643228419000274,0.0957171378676198,-0.9540324778283832,0.46739203322876616,-0.7581825077299529,-1.9871236333567917,-0.9443075645724877,-1.9016871371998822,0.6463667840199196,0.8922153552322859,0.4090482989386465,0.877699516346836,1.1672232323788783,-0.012758745139626786,0.5252695409098156,1.2015745547076004,0.26264475584192887,1.4221592476232459,1.3998540963025559,0.5519410303074317,2.1869628534120333,0.9358092486225431,1.9008476290685465,1.0850348388945652,0.8892265259847373,1.1006528404092548,1.6781199056365579,0.8466339370353295,1.3149484529675548,2.4518891114846992,1.4214613940704053,1.5064826710122239,1.7599080957274507,2.3371478634641805,2.919525896004378,2.8466574602922745
Ezra,1.5668987093601143,0.7411531765237002,1.2593442959695988,0.45946449740615214,2.708079175537139,0.5804140395339817,-1.4241126960795765,-0.26704995750757404,-1.0450472344160346,0.45055434321795457,1.080840148545364,0.9371105955620314,0.7255691304896585,1.302493503273658,0.24362979653220207,0.33148649740050484,1.990875845566301,0.4180991301468559,1.8457863971086914,1.9991674127438415,0.1724793445908823,2.4777279129944714,0.756996693806584,1.919500560044824,2.0242524812659437,0.7709911966458177,1.1499733286267433,2.2043740774949714,0.3948854220831612,2.23612638972325,2.894382210382169,1.566940786621288,2.255294989554054,2.427561385110669,3.7723144268132853,3.7306783727763637,2.7099339869021706
Martin,1.272504639803796,0.8162317042861037,0.8961089746962753,0.5521362939923145,2.4867580634710924,-0.7166167809828097,-1.8563996600593298,-0.9476423687459088,-2.2331053759867774,0.9690679056276562,1.93794014036499,1.448982272432026,2.514351226532994,1.4764724127776523,0.7324988697860153,1.179243348639213,2.0853983265048495,2.8056745569667227,2.700463873317742,1.4963424898758586,1.105224444185406,2.9136162027566113,1.1281348777219475,1.3481502413249138,2.854124819658249,1.8295685499230439,1.8107895485083267,1.4412668117980854,1.167819049078434,1.6948235652655834,2.883710888472509,2.8393906580884924,3.3288478269183517,0.7825358334141617,2.6824272583125652,3.7610888068764674,2.604818435176686
Michelle,0.6094133940125456,0.6895169953149691,0.9019654517627474,0.48556391767999046,0.7170799460881526,-0.41085097117739483,-1.1777734195501697,-0.19944109255197784,-1.5612067543866868,0.4132544686837654,0.609251439556357,0.7310646012703595,0.9531844050448999,0.2906614002160745,0.32324604619266695,0.5710177870518075,1.394418401650918,2.057865015813488,1.8012134328230114,1.9479263957720225,0.7608056911457682,1.7035345157723403,2.1911101304798417,2.7897850117031266,2.2910008423266928,0.9412845696945504,2.280896365704968,0.8517345970324786,1.169577154944309,1.041755810688388,2.35269773820855,2.1879746036046734,2.4009681468453072,0.9869303623766562,1.6738735041459538,2.7012550469314975,2.7550521817081792
Alexandria,1.1687730458611807,0.5540363238767628,0.40470087980051533,0.14466489732098786,0.46879203280013904,-0.5617341809363452,-0.9797974346911502,-0.594303683871755,-0.8701311375108182,0.5751123927343047,1.0887322636787267,0.18301271397496888,1.5841358158882808,1.1217924377156328,0.5817158253197396,0.4691304311184455,0.9507269390146649,0.9418420039489634,2.233761882233759,1.0624228004085554,0.5701528803574425,1.8700860599079927,-0.5681694893500588,1.247907479100859,1.2699408423049328,0.8533770405604342,0.1619697267499178,1.0228441164716366,-0.3822486701247157,0.7219392409651839,2.069413047599044,1.8083473405665782,2.780239367159142,0.8164691093301004,1.5674225686691627,2.468759519153126,0.4217181592838704
Paisley,0.6222491124702186,-1.0016603218491003,-0.14119580181581848,-0.6217403048757235,0.6151898678766899,-1.1802132661654297,-1.6842941679900394,-0.34218584254353923,-0.8526464478940422,-0.12692756179007147,0.4005799757347031,-0.5569069022876515,-0.9684201300671298,1.2793047829769892,-0.5053270552942375,0.19469615821502753,1.3949241445221416,-0.6900735788664795,1.775861797517555,1.2684541202695796,0.3933564386100744,1.6580089597899674,0.4350470206426672,1.200695045543057,1.6895981265025348,1.1695118042089272,1.6915580938898618,2.0549702357467865,0.4717393537654636,1.6891182409550867,2.723621478895089,2.066693699372174,1.806297448818044,1.9095843497069407,2.640832243672566,3.2438889412425684,2.6633839625036897
Leon,1.200020535408931,0.9469651738928817,1.3247286794238782,1.0723065379788859,3.326857736123721,0.20951612127873612,-1.5091542350393363,-0.6050416364045117,-1.4123065507937596,1.0159034546650159,1.9452727036482587,0.8717481660539848,2.9244947085538486,0.7692911956805343,0.4012585972236679,1.3195600540338415,1.7275076586006886,3.4677601028301983,2.717012630469264,2.5099256550382862,0.48763988467427444,2.4882551117706337,1.4514528300169747,1.7316907064069642,2.437962017035249,1.622831379140716,2.0645597649094922,1.472538718598213,1.478739966866634,2.110506560240458,3.072149899836465,1.9902014267536434,2.3455012237475352,1.6642208389177127,2.2243980334051234,3.471381998014175,2.2545196081255328
Ian,0.5963113320843415,0.8319793889865851,1.165765819857436,0.18856205412435353,1.222436675024874,-0.12306706781124191,-0.9577823499535469,0.015231676758696498,-0.9141347786322294,0.30899217017740455,0.439285465097192,0.7515281781113456,0.6475603505721136,0.9824094180683333,0.09118861717689443,0.11139776090999805,1.1055542812545829,0.840044282357661,1.6232406846600638,0.5606946116182099,1.0791420934927296,2.0818910860703426,0.00030448960473666126,0.5786341155146113,1.5459026825226052,1.7871921853927117,1.274932304501401,1.9194864489049925,0.5344138083615096,1.6401835508300593,2.924710471749068,1.255600465531693,1.242667771647142,0.8233662589279701,2.192509036919637,3.097157302582421,2.9930481582992945
