,country,beverage,direct_correlation,indirect_correlation,same_correlation
79,Kenya,coffee,1.1837115348668457,-0.06765752070017406,False
80,Kenya,tea,0.7139073982381103,-0.11178304055587042,False
81,Kenya,juice,2.1734258595248312,-0.06518694745134841,False
82,Kenya,milk,0.9225255773696855,-0.12244563820621578,False
83,Kenya,soda,-0.15159718356584614,-0.050974588118875334,True
84,Kenya,alcohol,-0.7657618934485833,-0.05020013643346565,True
85,Kenya,liquor,-0.9129269253440796,-0.06419938400619166,True
86,Kenya,beer,-0.8534319257999592,0.10856308408346793,False
87,Kenya,wine,-1.5073858366070114,-0.0009599302687150534,True
88,Kenya,vodka,-2.5888258724237296,-0.1036880555952348,True
89,Kenya,whiskey,-0.5035903045546756,0.15211863420003735,False
90,Kenya,champagne,-0.6453330962062883,-0.2292474434118844,True
91,Uganda,water,0.4844851797650906,0.09306177731356796,True
92,Uganda,coffee,1.2833452135844747,-0.15426672281399004,False
93,Uganda,tea,0.3886345501856566,-0.10546406225223763,False
94,Uganda,juice,1.7886528053468786,-0.09687532527936148,False
95,Uganda,milk,0.6797902039826453,-0.049215941338612616,False
96,Uganda,soda,0.11399886635647755,-0.11963954846195625,False
97,Uganda,alcohol,-0.6994281034705833,-0.04071053942250999,True
98,Uganda,liquor,-0.6517129241043552,-0.004256516249467178,True
99,Uganda,beer,-0.23294980381076566,0.03531048904567248,False
100,Uganda,wine,-1.8200923423291373,-0.0068996468567450965,True
101,Uganda,vodka,-2.64512678729564,-0.1227983413184835,True
102,Uganda,whiskey,-0.8317628122274343,0.08222579919239995,False
103,Uganda,champagne,-1.194067594050094,-0.18232995315114053,True
104,Sudan,water,0.8352923407048225,0.22404294065051944,True
105,Sudan,coffee,0.6256113296013903,-0.2210631290081031,False
106,Sudan,tea,0.7136023985764463,0.08763269203157224,True
107,Sudan,juice,0.6773251853990033,0.04119068887347496,True
108,Sudan,milk,0.23684685093109034,0.16121523860517892,True
109,Sudan,soda,-1.03445339404483,-0.2093144268157992,True
110,Sudan,alcohol,-0.4809545976046748,-0.09158285826040784,True
111,Sudan,liquor,-0.9587348333622784,-0.1289818902858372,True
112,Sudan,beer,-1.0385028996578716,-0.2331462290503711,True
113,Sudan,wine,-1.0174170027887606,0.02402921641207101,False
114,Sudan,vodka,-2.7114814340580056,-0.14877906138689198,True
115,Sudan,whiskey,-1.0011647848361849,-0.15743564858631925,True
116,Sudan,champagne,-1.2854809371827531,-0.009339249130544423,True
117,Algeria,water,-0.2973387960488754,0.1485310272374575,False
118,Algeria,coffee,0.735996477621745,-0.19845729408143212,False
119,Algeria,tea,-0.9916123853325386,0.08279047620644713,False
120,Algeria,juice,-0.8823436266788806,0.042821698617008734,False
121,Algeria,milk,-1.5921021652922622,0.1665011417977114,False
122,Algeria,soda,-0.7585580979743375,-0.22508787123101434,True
123,Algeria,alcohol,0.34496337058286275,0.011889927349018408,True
124,Algeria,liquor,-0.32193868973293616,-0.09096461971618616,True
125,Algeria,beer,0.032508218234857986,-0.3391465058814535,False
126,Algeria,wine,0.17864668165140735,0.26930629698183506,True
127,Algeria,vodka,-1.4806341814849042,0.00234341113029587,False
128,Algeria,whiskey,-0.4578306795022869,-0.34206149032622274,True
129,Algeria,champagne,1.0154508632100874,0.28537296022167435,True
130,China,water,0.018617242187086783,0.06286568894707698,True
131,China,coffee,-0.9901824459245294,0.03458632494678045,False
132,China,tea,1.47738010659731,0.09036472589708802,True
133,China,juice,0.5140432487378366,0.08665880769106415,True
134,China,milk,-0.21308889231884534,-0.028789001199434925,True
135,China,soda,-0.04299295529558205,0.07290686358974609,False
136,China,alcohol,-0.7924414082125678,-0.05276744840328562,True
137,China,liquor,-0.13066091488487114,0.006725869758410243,False
138,China,beer,-0.2289826945813793,0.07650393500839432,False
139,China,wine,-0.5239089865266192,-0.20075487969412195,True
140,China,vodka,-1.3203470774512698,-0.06855123854245354,True
141,China,whiskey,-0.8759555921880966,0.1137867102696798,False
142,China,champagne,-1.108731042871253,-0.08945399583580045,True
143,India,water,0.24957451906962205,0.2154569947404943,True
144,India,coffee,0.10715362044027926,-0.10492824274669248,False
145,India,tea,1.4454502049158549,0.0545656213374498,True
146,India,juice,0.3544620446432829,0.151011518745242,True
147,India,milk,0.31626384049627365,0.13441089008857654,True
148,India,soda,0.02192206772364961,-0.05815702816244955,False
149,India,alcohol,-0.3949727359748742,-0.09535096734331147,True
150,India,liquor,0.6752779527437985,-0.08359726462875243,False
151,India,beer,-0.83031971243828,-0.15823316332868248,True
152,India,wine,-1.568758567517859,-0.1903777826711112,True
153,India,vodka,-2.0217940246729333,-0.08722725266464887,True
154,India,whiskey,-0.0845887370867875,-0.09673078410228766,True
155,India,champagne,-1.7642363327339123,-0.07896281278859361,True
156,Indonesia,water,-0.08724974293481673,0.046391160228510635,False
157,Indonesia,coffee,0.989850565005392,0.07160658061721947,True
158,Indonesia,tea,0.1814236951867649,0.05239996253820102,True
159,Indonesia,juice,0.3640565335915249,0.11945318702817907,True
160,Indonesia,milk,-1.3878052253040571,0.01877331276627209,False
161,Indonesia,soda,0.7757489721788121,0.06968394991959992,True
162,Indonesia,alcohol,0.3760346304100074,-0.03385973366195688,False
163,Indonesia,liquor,0.08124672613917952,-0.05558256864034173,False
164,Indonesia,beer,0.7575768233419923,-0.016909128154436282,False
165,Indonesia,wine,-1.4244656926971684,-0.057238104482154537,True
166,Indonesia,vodka,-1.9616970581245567,-0.03476379893093563,True
167,Indonesia,whiskey,-1.3252181650230876,-0.014750844769064091,True
168,Indonesia,champagne,-1.2320202218280412,-0.08771478079202635,True
169,Pakistan,water,-0.17523051123524008,0.14798111603217778,False
170,Pakistan,coffee,-0.3061603970910632,-0.03718220162025961,True
171,Pakistan,tea,1.261478286348649,0.07992904491062293,True
172,Pakistan,juice,-0.37941011176061296,0.058015087636816426,False
173,Pakistan,milk,-0.9153074681149304,0.02437665268675509,False
174,Pakistan,soda,0.5703878040991925,-0.01860733044571557,False
175,Pakistan,alcohol,0.4597096494620922,-0.043819300179206426,False
176,Pakistan,liquor,0.4508107918848184,-0.059853344153284485,False
177,Pakistan,beer,0.22598298335758704,-0.06348337872846818,False
178,Pakistan,wine,-1.6438832153884253,-0.12410818285748805,True
179,Pakistan,vodka,-1.206702806654451,-0.08626056019234746,True
180,Pakistan,whiskey,-0.18978721088360592,-0.0223361725121031,True
181,Pakistan,champagne,-1.9442096249036436,-0.11229259447497776,True
182,Bangladesh,water,0.058294910608540924,0.09012737124349117,True
183,Bangladesh,coffee,0.5712818175874139,-0.017660896910772,False
184,Bangladesh,tea,1.3693660482327643,-0.018399816695618982,False
185,Bangladesh,juice,-0.27943706140246194,-0.05661983037640855,True
186,Bangladesh,milk,-0.052029191486514366,-0.08529175047954005,True
187,Bangladesh,soda,0.04880799158402526,0.017086168721472658,True
188,Bangladesh,alcohol,-0.047017331670306736,0.00936961084005625,False
189,Bangladesh,liquor,0.3078411435464511,0.045413600038553964,True
190,Bangladesh,beer,0.03669734133633075,0.11983092914559552,True
191,Bangladesh,wine,-2.8474243075520755,-0.19347449015873275,True
192,Bangladesh,vodka,-1.6641001604460581,-0.06224964562458352,True
193,Bangladesh,whiskey,-0.4840205901235797,0.17376679195892053,False
194,Bangladesh,champagne,-1.8434798662087988,-0.21605850174958285,True
195,Japan,water,-0.16159145572691744,0.05842987095757188,False
196,Japan,coffee,-0.22133319407375893,0.027676050053811952,False
197,Japan,tea,1.1108859952346142,0.00029096335103057883,True
198,Japan,juice,0.5065150012834061,0.13767794685153906,True
199,Japan,milk,0.5279830973428512,0.04103284318393189,True
200,Japan,soda,0.6631563189424811,0.0845145717000298,True
201,Japan,alcohol,-0.10129607415887742,0.028290694255205324,False
202,Japan,liquor,-0.3094842405746274,0.01837460842675637,False
