index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
Ukraine,-0.4839503775761003,1.0760201051414535,255.88597000000001,-50.26843,12.936805,1.1276346000000002
Poland,-0.5170151320839533,0.12173855173586386,164.55913,-45.179695,12.790331,0.6567179
Romania,-0.7930594803709349,0.5173188824487074,236.04756,-28.61324,13.165973999999999,1.1527557
Netherlands,-0.2560216904730972,-0.8012165645534663,56.846934999999995,-124.28929,11.009995,1.458142
Austria,-0.34147139717886843,-0.21553791379231746,130.37553,-79.71828000000001,11.668577,1.0616375
United States,0.9314809287695324,-0.6073031599396925,-246.10696000000002,85.89815,7.584980000000001,3.7297915999999995
Mexico,-0.33936949248609083,0.4034381923292986,69.30792,128.23892,14.230369,2.479975
Canada,0.9498516415755052,0.2611477995140345,-238.8791,-167.18225,5.266438,3.8468508999999997
Guatemala,-0.5724865208525203,0.2787790757026349,176.28783,80.44328,13.688806,1.1634437
Haiti,-1.0328027566830396,-0.8469816751963112,-12.550652000000001,-115.2878,10.420275,1.8618473999999998
Cuba,-0.7516179898372137,0.07444805487578618,210.5119,188.24927,15.439639999999999,0.9430654
Dominican Republic,-0.677544447578933,0.3186778106999281,206.26181,-8.661611,13.143948000000002,0.82301885
Honduras,-0.575788697064506,-0.08149898453678849,124.56152,20.705635,13.934223999999999,0.3527433
Nicaragua,-0.5663373906108174,0.14097776745431553,199.75867,130.555,14.9719,1.367818
El Salvador,-0.6581296025967855,0.1527072042000555,188.89084,161.47127,15.087719,1.071818
Brazil,-0.203700658237314,0.13526490882664874,67.69853,153.98491,14.563564000000001,2.5162485
Columbia,0.0583782900842756,-0.7942729738046943,43.70381,-95.7926,10.856027000000001,2.0076206
Argentina,-0.6273500440264715,0.13612318253766365,175.38696000000002,138.41595,14.685510999999998,0.9146958000000001
Peru,-0.5147117857468778,0.481908237913835,137.09178,82.17309,13.852744,1.8496566000000003
Venezuela,-0.5293131916337512,0.20006621583970505,182.56375,110.40978,14.4269905,1.5431516
Chile,-0.639702730986066,0.3735059438416438,231.03492999999997,41.921993,13.884077,1.3502325000000002
Ecuador,-0.6576559427624592,0.1552567873929569,178.1677,32.749829999999996,13.681669,0.54207295
Bolivia,-0.6015701777921889,0.2440288752910005,215.88592999999997,58.137046999999995,14.116813,1.0363532
Paraguay,-0.5543603730241871,0.04826338700550789,231.28911000000002,91.97351,14.677983,1.3164486
Uruguay,-0.6737857819065469,0.05075252266179765,157.95596,14.362469,13.8107,0.6884114
Australia,0.916909779557086,0.2767602331850016,-218.96881000000002,-157.27925,5.429344,3.9165666
Papua New Guinea,0.7240760979176503,-0.8221821404239741,-250.11922,63.325974,7.569586,3.8355324
New Zealand,0.6689263497467902,-0.08624902642412735,-215.64584,-123.82216000000001,5.563859,3.8422616
Fiji,0.8156636883235201,0.2176774368373948,-189.9148,-142.79723,5.4464808,4.16491
Solomon Islands,0.9234683998397004,0.10699039366800216,-237.68102000000002,-51.829712,6.278184400000001,4.1990337
Vanuatu,0.3813058463122012,-0.185472344014446,-167.16405,-1.4573319,8.282799,2.9340227000000003
Samoa,0.1802531630305316,-0.5948197814828841,48.191395,-74.786804,11.003627,1.8801471
Kiribati,-0.06310328117896967,-0.23633145592058785,-18.40855,22.050781,10.274735,2.7861717
Micronesia,0.7087276921297078,-0.23043260355277964,-272.51505,35.92348,7.341026299999999,4.0383544
Tonga,0.4888085128036277,-0.3113240190803805,-180.51076,-19.80721,8.052957000000001,3.0262822999999996
