,occupation,race,direct_correlation,indirect_correlation,same_correlation
90,businessman,Arab,0.95060525239425,0.024541954791820083,True
91,businessman,Asian,0.6432895412702496,0.1448801187841227,True
92,businessman,Black,0.11773456585366555,-0.167701038733942,False
93,businessman,Hispanic,0.5525358107104628,0.19891107940114305,True
94,businessman,Latino,0.23090633003107344,0.19128259876654105,True
95,businessman,White,-0.2071604469796044,-0.20781818990253426,True
96,businesswoman,Arab,0.8246538521694238,-0.180359622275108,False
97,businesswoman,Asian,1.2678375544820122,0.279973193502379,True
98,businesswoman,Black,0.6446579501567351,-0.2360617650314022,False
99,businesswoman,Hispanic,0.90629477495627,-0.06694412627668653,False
100,businesswoman,Latino,0.2705049592776965,-0.03909478283814085,False
101,businesswoman,White,0.5885913398965518,-0.17061027631636475,False
102,butcher,Arab,1.5915581846349334,0.1183555195845466,True
