,sport,yob,direct_correlation,indirect_correlation,same_correlation
34,football,1954,-0.2869552030395336,-0.07072594925469934,True
35,football,1955,-0.5487739477418613,-0.07201128857113179,True
36,football,1956,-0.40068366382960063,-0.04142831898447718,True
37,football,1957,-0.4416798280206121,-0.043295071338510654,True
38,football,1958,-0.16528934211178614,-0.050623179386102064,True
39,football,1959,-0.413169865159869,-0.024215556687059825,True
40,football,1960,-0.1279786980512038,-0.06339570834816012,True
41,football,1961,-0.10863103352071138,-0.047127014517878964,True
42,football,1962,-0.2530643315983396,-0.0317208017925125,True
43,football,1963,-0.24372787376188595,-0.02047262316540709,True
44,football,1964,-0.09545825991396327,-0.009455089769181886,True
45,football,1965,-0.2518211341953008,-0.0023029549438142506,True
46,football,1966,0.009402684036915082,-0.004317966298953785,False
47,football,1967,-0.35465254040686905,-0.034393871231875824,True
48,football,1968,-0.048240597743620516,-0.025765845892691798,True
49,football,1969,-0.14886894165496709,-0.04984741021486001,True
50,football,1970,0.0626577335672744,-0.07447008459409381,False
51,football,1971,0.10578447809284493,-0.07370833971724182,False
52,football,1972,-0.03641511991680086,-0.0782661664191016,True
53,football,1973,0.057594938953653724,-0.12235617343643344,False
54,football,1974,0.09064011076928856,-0.09477640463917512,False
55,football,1975,-0.15115149019344015,-0.09162773907061217,True
56,football,1976,-0.08457013388101921,-0.11321994487737252,True
57,football,1977,-0.023293846262913868,-0.12660741638410225,True
58,football,1978,-0.03156798275564943,-0.1031699146634358,True
59,football,1979,-0.20135740025732124,-0.10237410325800626,True
60,football,1980,0.13678884841005515,-0.1037425846224822,False
61,football,1981,0.016992318223494274,-0.1287119058191089,False
62,football,1982,0.04950325790096674,-0.10798406611928656,False
63,football,1983,0.1243058299209406,-0.1383603885457184,False
64,football,1984,0.14543750100731093,-0.10609734705045808,False
65,football,1985,0.06637142558191512,-0.1259168072463341,False
66,football,1986,0.17115225778500798,-0.1122365702586694,False
67,football,1987,0.06976516710124787,-0.10197169960921704,False
68,football,1988,0.09639719486830484,-0.07954281420571101,False
69,football,1989,-0.003164430480129536,-0.12850167049567351,True
70,football,1990,0.07811126907635277,-0.12045241971290085,False
71,football,1991,0.12419350594190755,-0.1502455441526439,False
72,football,1992,0.22491020616815852,-0.15354731694150278,False
73,football,1993,0.11159219941896883,-0.1543997461661696,False
74,football,1994,0.09716599607286837,-0.14237104956216207,False
75,football,1995,0.06878517815159411,-0.1415906477920106,False
76,football,1996,0.017715116379475104,-0.131846389037269,False
77,football,1997,0.02631453372221595,-0.16446564377901987,False
78,football,1998,0.2598283316628499,-0.1526503414672398,False
79,football,1999,-0.030212887069061577,-0.1597445216300111,True
80,football,2000,0.0028928327191765826,-0.09712177037815227,False
81,football,2001,0.07718888059723059,-0.1660192135065542,False
82,football,2002,0.2451802112618029,-0.16907504927198055,False
83,football,2003,0.18082077311446249,-0.18364350890233824,False
84,football,2004,0.14245985626605082,-0.18015087588275694,False
85,football,2005,0.06483910380452318,-0.15393534516727406,False
86,football,2006,0.11161556384801156,-0.1334754370972206,False
87,football,2007,0.21158607379243188,-0.14799065467155362,False
88,football,2008,0.03160552648153025,-0.10762866406295774,False
89,football,2009,-0.08454718644002139,-0.10280608900656524,True
90,football,2010,0.052689041540070515,-0.09410636650884187,False
91,football,2011,0.10567987157475107,-0.11049242964643784,False
92,football,2012,0.14963779747866027,-0.05902813667559624,False
93,football,2013,0.17377034937805202,-0.09700842060638908,False
94,football,2014,0.1810160559336239,-0.10083894687404672,False
95,football,2015,0.19699477165915866,-0.09807415745290723,False
96,football,2016,0.2942228961582819,-0.08555212193457355,False
97,football,2017,0.17265509965559964,-0.07214615343415545,False
98,football,2018,0.4801367335564639,-0.08761814541571916,False
99,football,2019,0.13411068165643916,-0.004274973692803219,False
100,football,2020,-0.05658036425781196,-0.010702351282853836,True
101,basketball,1920,-1.4339769684272492,-0.11060054837051307,True
102,basketball,1921,-1.5573006557798568,-0.08649683419874322,True
103,basketball,1922,-1.64044218201724,-0.09955729314036264,True
104,basketball,1923,-1.539572925238067,-0.11681366852624175,True
105,basketball,1924,-1.5533332163361642,-0.12844568622693153,True
106,basketball,1925,-1.6049072392206487,-0.11620319548770408,True
107,basketball,1926,-1.7100811095402173,-0.13786790019843798,True
108,basketball,1927,-1.6503720626172955,-0.12054615383080035,True
109,basketball,1928,-1.540697004910187,-0.1388079766651769,True
110,basketball,1929,-1.603134379315614,-0.09209212164593904,True
111,basketball,1930,-1.4092565894543048,-0.11530417804529892,True
112,basketball,1931,-1.2992507124806016,-0.10073349907967956,True
113,basketball,1932,-1.3383701659310374,-0.07373346837168583,True
114,basketball,1933,-1.2830204998780423,-0.05728719627832578,True
