index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Dana,1.196509153071198,0.4435841005215743,0.7242861800313536,-0.03735187779462231,2.559460700071819,0.13355443712267973,-1.2681462552693696,-0.16699543114127766,-1.4404272186518015,0.8019745690541288,1.359378340548556,0.7326767764495292,1.2082990289555464,0.4643816948111536,0.3598382891060679,0.5927470489383296,1.351913776550478,1.4773339319602685,1.5527098879305692,0.5235462730930956,-0.9094882147208011,0.8961665382034776,0.02485264980147229,-1.1024801146781287
Isabella,0.6329603348398104,-0.1613394945161451,0.2492392150460543,-0.4745708650568546,2.9621450616810647,-0.92151490075579,-2.2689205105798194,-0.5679546522869816,-2.0132959510774273,0.7024288116397557,1.786057562501854,-0.1908953893358199,2.784445823166993,1.0033984952588184,-0.18851465851296856,1.217380614504985,1.3597824633471818,2.301174221539228,-0.4428942905431228,-1.1980370489686623,-0.46880317455545467,-1.0082146491842792,-0.47067409006211675,-1.5206719024862112
Julian,0.672525629955463,0.5527204586943532,0.24353048090450885,0.555295615514224,1.2405622328526749,0.4070659520494884,-1.140509474039442,-0.7338693720432968,-1.2566548102861146,0.5240748794595633,1.152623423681638,0.8841029076966308,1.8068913330442353,1.6562864581192687,0.1370149386867512,0.41635514695060366,0.9797124516540957,2.449350634305707,1.9412622374079262,-1.3073564653304746,0.0519698992031678,0.07856170012306671,0.1539364148797698,-1.8881904735632338
Kendra,-0.7639977869294529,0.29306921213551707,0.39567495981116924,0.7804178037730485,-0.2898843132398366,0.04532835072635708,-0.012462287780503473,0.31941783848991623,0.29094790769200074,-0.09251712363535641,-0.27256097644280913,0.515328321257442,-1.034768121371604,0.7397398861976177,0.20396943794176317,-0.19280164270423875,0.627906281902952,-1.1826793655748344,0.3948576623802159,1.411009567262332,-0.5914296626053261,2.476217081218037,0.2609930698844402,-0.664034356612824
Norman,0.5247209667796066,0.75413834824769,0.49309989209223365,-0.13304372276552787,1.3479092236802173,-0.06767620250170847,-0.6487921187021441,-0.18463333483901093,-0.9708732298597805,0.6500251399028052,0.9129721758630208,0.895916358572152,1.426115809711208,0.6888909035471341,0.1599315956681041,0.23817382284228575,1.3228644228172641,0.9364142937102516,1.4051451491813918,-1.6502828282228832,0.30407619197882935,-0.7512023324916197,-1.4534064325972798,-1.7030619046689868
Jenna,0.2674951663939544,0.31136470651551307,0.2501366574474702,0.12536067170468135,-0.0038050633284699466,-0.22012270639964215,-0.3703003020294539,0.1259807346826334,-0.22605461070793215,0.06750957212202827,-0.0892430705106856,0.18208058250320794,-0.6103673647372918,0.34598645158171965,-0.0025437641794348346,-0.22158033681532277,0.5048236650777549,-0.18725366685644673,1.2889694771732525,-0.33771018720363316,-0.43120266851666816,-0.6344612135372558,0.126965934368179,-0.6149999752734462
Brenda,-0.34920877586537785,-0.10461771741312849,-0.7259770846403194,-0.3259332880635986,0.2417897503848803,0.13495781194042392,-1.1133551849791117,0.194575665936799,-1.1201801610487117,0.32818708373889255,0.3977769881436456,0.5470163625019413,0.17917700250964247,0.5375175874110165,-0.33218718719788315,0.7077012157642931,0.7088498502335808,0.44603802390984765,1.4698108807901304,-0.30729643437742443,-0.23001016309932432,-0.5452342974503135,-0.09554420011248622,-1.3024344165003454
Jerry,0.5626452068063965,0.8063627439383899,0.6300688421600179,1.469883482434699,1.1831423646873993,1.364519587760413,-0.6507712157888597,0.19341896279218304,-0.6302798979276188,0.8279561885385655,1.22552276113661,1.516950816813452,1.452212590114223,1.715039400413008,0.10927073400773715,0.6862753861889132,1.7336947609473348,1.2287091340285774,1.8974647545488628,-0.0822110652507378,-0.27937137734176776,-0.5191331417329759,0.698529736702854,-0.8593809000471937
George,1.0930780685952268,1.3648116177043084,1.4832708971173667,0.5669011647645645,3.7061282215388993,-0.20923913410187361,-1.732415494975055,0.011431903464254033,-1.450111234322313,0.6306060618710895,1.2904955626855017,1.0187208751075025,1.6782999916358872,1.3147842511494092,0.1359916321529206,0.4143693913054231,1.6556737119037732,2.1397343798098336,2.5798357778114926,-0.059725204305710926,0.07422242554424835,0.04508475380274617,-0.07894903772807743,-0.8700692272455882
Eugene,0.6760423057745693,1.1726630643980194,1.0337154837866243,1.0243525829867908,0.5619230446378716,0.33488207783939145,-0.7180607337445363,-0.3276916973020407,-0.558216727116774,0.5562386724514615,0.6126202511812886,0.9455878364789503,1.4351990884720491,1.422492058411857,0.5300029072475223,-0.23002120409090426,1.0665920772687791,1.0173257131706488,2.256393513870393,-0.46130186484097163,-0.05642763203547948,-0.48035565123006435,0.24581799451809866,-2.3987837803656236
