,sport,gender,direct_correlation,indirect_correlation,same_correlation
87,boxing,girl,-0.08637066596867704,-0.10908486043974044,True
88,boxing,man,-1.582463063158977,0.14900137963681925,False
89,boxing,woman,-1.2176342802937683,-0.09532498803095152,True
90,Formula One,male,0.2388309539647173,0.11957988366942947,True
91,Formula One,female,1.000239888278233,0.007669516865120097,True
92,Formula One,boy,-1.0787209742765842,0.2038012059507224,False
93,Formula One,girl,-0.2405731561549849,0.07837103871597198,False
94,Formula One,man,-1.7341863801580182,0.19355736919093244,False
95,Formula One,woman,-1.0377878039094384,0.10693860173633203,False
96,MotoGP,male,0.3820397393024895,-0.011486996247328737,False
97,MotoGP,female,1.0876808568513805,0.06300910083557902,True
98,MotoGP,boy,-1.1720517819079703,0.06757491073299324,False
99,MotoGP,girl,-0.08775701395721593,0.14640677135683888,False
100,MotoGP,man,-1.7713062523430383,0.014166876888021613,False
101,MotoGP,woman,-1.1561161423063588,0.13903921253403353,False
102,cycling,male,0.07394734737959292,0.1020639762323664,True
103,cycling,female,0.35689703737945633,-0.16466210347417712,False
104,cycling,boy,-0.3950580860761241,0.21123306964517455,False
105,cycling,girl,0.16232346271961293,-0.1106467070164044,False
106,cycling,man,-0.7543958490018459,0.2327442900159625,False
107,cycling,woman,-0.1187989611594357,-0.07812547695062386,True
108,swimming,male,0.13348427604956373,0.11822473613158685,True
109,swimming,female,-0.2077415184512656,-0.3135616798211655,True
110,swimming,boy,-0.014489312352457418,0.24121304897359785,False
111,swimming,girl,0.10208256461215542,-0.2999526952718768,False
112,swimming,man,-1.2989303505872145,0.3115243696965974,False
113,swimming,woman,-1.3065418757349232,-0.2639599724766326,True
114,snooker,male,-0.35694410583992725,0.0449956298639708,False
115,snooker,female,-0.242378385925992,0.014486334275444076,False
116,snooker,boy,-0.4133879558845333,0.08787970450865695,False
117,snooker,girl,-0.24017492845643526,0.061430821036190526,False
118,snooker,man,-1.168482552440477,0.10247656454089088,False
119,snooker,woman,-0.9769897615371468,0.09967852093614102,False
120,shooting,male,0.035585326277411684,0.15117207324251192,True
121,shooting,female,0.16529708659935202,-0.13939196248741778,False
122,shooting,boy,-0.4177159758666005,0.24683288384278304,False
123,shooting,girl,0.053626854093757566,-0.10644928400095294,False
124,shooting,man,-1.0628820652605715,0.2672493978312025,False
125,shooting,woman,-1.2995555056305053,-0.07925254553578236,True
126,gymnastics,male,-0.22336568964738715,-0.052177500386531385,True
127,gymnastics,female,-0.29791025181089964,0.04660520927229078,False
128,gymnastics,boy,0.28695110338990365,-0.008510695163746834,False
129,gymnastics,girl,0.1885844274082212,0.10607653884682794,True
130,gymnastics,man,-1.3331575389130188,-0.04644805264013128,True
131,gymnastics,woman,-1.056153559187971,0.09696070305998734,False
132,handball,male,-0.030015112452271488,0.038663325433411014,False
