index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
Honduras,0.12528933188818128,-0.09378650538850991,-200.34566,-56.555637,6.169242,10.221828
Nicaragua,0.18471655094236214,-0.24377774663523336,-231.85034,-110.10074,6.3397245,10.623126
El Salvador,-0.06835345540988803,0.010638211929257294,-82.7285,66.32986,7.7561507,6.2121735
Brazil,-0.1497166469595602,-0.3321655813614653,-36.939392,-3.1590831,7.6111784,10.488422
Argentina,-0.20558094852446707,-0.04285134423782113,-25.150639,153.29959,9.210195,5.8270006
Peru,-0.2991488732942399,-0.1267153835480445,1.0389602,241.54767,10.576184,6.151117
Venezuela,0.016739358599466143,-0.3847604440390508,-140.80605,-125.05092,7.341104,10.701135
Chile,-0.2417599793578085,-0.02663814290150155,-46.210136,130.68341,8.974736,6.1483817
Ecuador,-0.3297917511138641,-0.21554764193551346,-26.48245,266.8141,10.377632,6.2902846
Bolivia,-0.22834294897635488,-0.1301562226772504,-16.009043,206.65625,10.082149,6.7136397
Paraguay,-0.1862242584401995,0.026713941966562856,-40.876656,89.16335,8.488635,5.766808
Uruguay,-0.1926712086231052,-0.06810421837633455,-53.680405,177.53824,9.312557,6.3484817
Australia,0.764373075446783,0.17078578684196813,141.23158,-301.52817,4.052213,9.373526
Papua New Guinea,0.41965763773670106,0.33874533283699115,200.6418,-164.44518,4.515062,8.854059
New Zealand,0.7331922830041645,0.17034297040485982,115.4231,-293.6508,4.109,9.463451
Fiji,0.20248629192769713,0.44962636148528345,274.40906,-86.67165,4.45412,8.239703
Solomon Islands,0.2704709618643548,0.41939587854843524,254.25983,-124.96835,4.720203,8.214607
Vanuatu,-0.04400423800259678,0.07045408302460301,-119.436844,-8.28771,7.238916,6.3131804
Samoa,0.3434254010701234,0.12697173812654436,169.88606,-173.1206,4.7238765,9.200728
Kiribati,-0.2969592710126997,0.21443883362295693,65.88862,-24.210567,7.8139305,4.4736443
Micronesia,0.12470889214874974,0.5193886696690238,242.37291,-84.15006,4.3338957,8.102674
Tonga,0.23015683892998468,-0.10373569110196425,-267.0288,-50.245003,5.577929,10.079261
