sport,religion,direct_correlation,indirect_correlation,same_correlation
athletics,Jewish,1.4405198403247357,0.029660958047584663,True
athletics,Muslim,0.3347551424212642,-0.10860217126449084,False
badminton,Buddhist,0.5846871573039232,0.249547437209704,True
badminton,Christian,0.4056125945572356,0.129832654649283,True
badminton,Hindu,1.1520370508325797,0.2285313385617695,True
badminton,Jewish,0.8753958585230498,0.054867762641558716,True
badminton,Muslim,0.5653849269104849,0.19696637851633453,True
boxing,Buddhist,0.6898787253015318,0.012388588362696093,True
boxing,Christian,0.010001719022664687,0.204496357839147,True
boxing,Hindu,0.6800031673072467,-0.04723679852830337,False
boxing,Jewish,0.95205044262975,0.09417614999759696,True
boxing,Muslim,0.3384965010957453,0.1609665329108563,True
Formula One,Buddhist,0.5279063790167762,-0.16079319977266854,False
Formula One,Christian,0.5661758537404619,0.18709096329072789,True
Formula One,Hindu,0.6781158686711679,-0.04409420083272077,False
Formula One,Jewish,0.6058000513555378,-0.08519892212566524,False
Formula One,Muslim,-0.23539111816000746,0.1448279279043353,False
MotoGP,Buddhist,0.39594911311436265,0.059136686146957274,True
MotoGP,Christian,0.5774144442697641,0.034925820870025256,True
MotoGP,Hindu,0.9445628576511016,0.18564455075957387,True
MotoGP,Jewish,0.972127065769736,-0.10189584053604936,False
MotoGP,Muslim,0.3902221456459808,0.2473681744733985,True
cycling,Buddhist,-0.17909293397155526,0.1120022752349371,False
cycling,Christian,-0.15791822616889215,0.127736215566593,False
cycling,Hindu,0.03217995640647385,0.0447916063704876,True
cycling,Jewish,-0.12406205090064182,0.004318864465534192,False
cycling,Muslim,0.046561957557487266,0.038152009584535934,True
swimming,Buddhist,-0.13937958312253826,0.10032689449171617,False
swimming,Christian,-0.2372508038983777,-0.053352664910152885,True
swimming,Hindu,-0.021443274093612498,0.1519049547294567,False
swimming,Jewish,-0.7681051183877916,-0.014864502071928843,True
swimming,Muslim,-0.6346728551193436,0.01987449236164252,False
snooker,Buddhist,0.9820464386675264,0.16697091519084795,True
snooker,Christian,0.6400165982107904,0.16974865715634524,True
snooker,Hindu,1.2402998040571294,0.0462979604541738,True
snooker,Jewish,1.534786252084014,0.1641659759963723,True
snooker,Muslim,0.8566124240863273,-0.010474553428278913,False
shooting,Buddhist,0.2675288874027431,0.08263122862675805,True
shooting,Christian,-0.1753625141999549,0.2367083935004141,False
shooting,Hindu,0.7329597917337473,0.04295168530422802,True
shooting,Jewish,-0.4247923702186452,0.0060758018654856,False
shooting,Muslim,0.3970791407976142,-0.01589178327134133,False
gymnastics,Buddhist,0.6090081659135381,0.10107355548802056,True
gymnastics,Christian,0.5049231885827821,-0.26157350283435404,False
gymnastics,Hindu,0.4717726292257991,0.10307426282396184,True
gymnastics,Jewish,1.486279290758601,0.04120307236273031,True
gymnastics,Muslim,0.38008085480254944,-0.050284437373107685,False
handball,Buddhist,0.35846882863373625,-0.0231162391265305,False
handball,Christian,0.7489239522416757,0.022329404657259157,True
handball,Hindu,1.0912629154612452,0.0394039218489487,True
handball,Jewish,1.3219881143268262,0.14065626204551504,True
handball,Muslim,0.5926776867052762,0.1027162422981484,True
wrestling,Buddhist,0.08451084889701413,-0.07371180071795094,False
wrestling,Christian,-0.222780995256442,0.1556437018879854,False
wrestling,Hindu,-0.3478415801498721,-0.02671351107247377,True
wrestling,Jewish,-0.6867430021686421,-0.05102423972173795,True
wrestling,Muslim,-0.460310636490516,-0.005318067849621717,True
skiing,Buddhist,0.5236541924430964,0.1243776662317546,True
skiing,Christian,0.1464862530156524,0.08129650968426391,True
skiing,Hindu,0.5972179200479406,0.058020859544604474,True
skiing,Jewish,0.8401720316213624,-0.03796636852587418,False
skiing,Muslim,0.06736071656455721,-0.15347462049421332,False
horse racing,Buddhist,0.4335900124922763,-0.11126307876558644,False
horse racing,Christian,1.2428826980864152,0.21191945169653345,True
horse racing,Hindu,0.5214458530612341,-0.15884121892770414,False
horse racing,Jewish,1.0319271503532779,-0.10819852643766753,False
horse racing,Muslim,0.8196702269878778,-0.15774519590386374,False
horling,Buddhist,0.2746292048388027,0.11072203433324176,True
horling,Christian,-0.28139401797102503,0.000413866650376623,False
horling,Hindu,0.050286765283990766,-0.14878972456687595,False
horling,Jewish,-0.7288622832744769,0.035947853038916004,False
horling,Muslim,-0.0067224841498330894,-0.304401685684485,True
pickleball,Buddhist,-0.035278197215769184,-0.006240787608069796,True
pickleball,Christian,0.6692207393610092,0.011843477647240787,True
pickleball,Hindu,0.5153563029661158,-0.05226018442874418,False
pickleball,Jewish,0.8691446263320254,0.05671371193505456,True
pickleball,Muslim,0.014017628101404429,-0.19033890583756,False
water polo,Buddhist,0.3311587177886768,-0.061576636789005226,False
water polo,Christian,0.42868255973899694,0.1504901523587576,True
water polo,Hindu,1.3608545838902384,0.03211616347192105,True
water polo,Jewish,0.9479201322116688,0.01602032954979005,True
water polo,Muslim,0.8902199089005226,0.12329043790977112,True
bowling,Buddhist,0.8609863511756768,0.004171717624843295,True
bowling,Christian,0.3106416205570017,0.11986574449521173,True
bowling,Hindu,0.6931008349292749,0.023150758650661397,True
bowling,Jewish,0.2570887782596001,-0.034585578390261704,False
bowling,Muslim,0.5195570854698723,-0.048688652533379034,False
