index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Erica,-0.27766990465698405,-0.08366195963379629,-0.16420961425085914,-0.07369125109009607,-0.18378444830605314,-0.14173045037325593,-0.06378924997225222,-0.10337529531959543,0.01837827952067611,-0.2650354085228437,-0.44734736352377663,-0.263909090360755,-0.14431194597621594,-0.21841327760041382,-0.3229347271888842,-0.349011626510204,-0.4358872731925462,-0.041953072844397955,-0.9725211905542146,-1.4171120681676683,-1.0596179637934384,-1.3881496462417824,-0.9804467079991845,-1.0619966552333173,-0.9469395249577548,-1.5863807147749622,-1.548742927454185,-0.9403202342341533,-1.3035266838531798,-1.7078614425147964,-1.7515682862503252,-1.8711763441378668,-0.7470221522585193,-0.9791005414300666,-0.7600654066931269,-1.861482847950915,-1.2464507849996287,-0.7365939579320072,-0.3054287299727002,-0.2206068113798936,-0.5157103875782371,-0.759414909159841,-1.39434336803526,-0.9968790442577078,-0.6370952001410681,-0.30021555749359596,-0.706545143037824,-0.3866816650827215,0.24171106856910668,-0.6297770841218077,-0.7361108262913031,-0.8186245148485796,-0.3104651246733414,-0.8009902016969743,-0.3099434386732429,-0.4357302479731047,-0.9833008808580745,-1.0280369817944384,-0.5543527826845619,-1.0251436170222539,-0.9019664122019926,-0.6943646447555182,-0.7868696210826793,-0.0051444423229344855,-0.9764801839002626,-0.5034073901210521,-0.5418338956080999
Brenda,-0.31373426908880253,-0.03538834748172941,0.059553111787714656,-0.0002973540320284831,0.3102703641173379,0.38149978673294305,-0.4602796099728944,0.3939621247104457,0.13845486144067504,-0.1981007317943498,-0.19650494944903096,-0.2534687201751957,-0.5898297986604948,0.18497638805312186,-0.22860474212094,0.25086116082583426,-0.23703992196043538,-0.35344479046432875,-1.3518661172796305,-2.061952144297387,-1.4013279747261738,-1.665984554075451,-1.4574622621701754,-1.3160036097873051,-1.316221087953647,-1.9724466081037164,-2.2223591537159244,-0.9784654611493195,-1.3454858781381946,-2.3468164136056444,-2.2061106883445634,-2.1778161508401688,-0.7474667851623269,-1.5965524204339085,-0.4924110430910834,-2.4740765421091555,-1.6700222162021934,-1.0860141984234646,-0.6765839012927404,-0.44756984521876936,-0.8422129050364582,-0.7977209478532022,-1.8568423107474334,-1.1185669445243112,-0.7164448599495563,-1.2897197917877847,-1.2451784162134287,-0.4635320463936846,0.11052238138846295,-1.0999456064018223,-1.6528767504036723,-1.0155196650856826,-0.5411789195702152,-1.0673107939260809,-1.0319569516435894,-0.9285932308882705,-1.0609800169319883,-1.7612635555364964,-0.7774137727854713,-1.7633389912575483,-1.383032074949988,-1.422852772903256,-1.5024115769238306,0.014037924742993339,-0.8281416171347467,-0.6766063610368557,-0.9632910375902215
Cameron,-0.13463032571578695,-0.030497398685963358,-0.22280406833608385,-0.11511868622888126,-0.2763282947642087,-0.011043365753160209,-0.0732846699289328,-0.2124839475994599,0.21047033589896932,-0.18475904758087106,-0.09437090009977606,0.18797789085510738,-0.13593650911128385,0.12018163303422062,0.2779285576704945,-0.0802867099066579,0.34041162504118505,0.4551320964956998,-1.3485599187517872,-2.0117057808515875,-1.4718720170929258,-1.7369802118769402,-1.244496354327733,-1.0329324780244133,-1.036587219912636,-1.5628590775081428,-1.7556454399127597,-1.3122892887528153,-1.3238303482350704,-2.334343811781068,-1.9685605154923813,-2.1954759298011473,-1.6355594470470076,-1.5711182671513686,-0.968182622197269,-2.3397645442618757,-1.443693134178832,-1.044701305013828,-0.7582039552334524,-0.3586074413948484,-0.8320324397770297,-0.8116458875042152,-1.3506064447477073,-1.2275011374188636,-0.6523838871573854,-0.6883442853058876,-0.8730307523483619,-0.9836106063240458,0.35722502871749506,-0.9036387166288601,-1.4402220314341354,-1.4222373593561077,-0.3578296538203539,-0.9517512504507424,-0.9024899979010683,-0.2773552982840909,-1.1870279122510898,-1.318313249448961,-0.23879294576669696,-1.2091064857967342,-1.1045792314464247,-0.7916100251338477,-0.6609791762078168,0.6064519219469521,-0.2507491234477963,-0.338680092924059,-0.12841872996886464
Joe,-0.3389493888622882,0.39461715475951126,-0.4567413403124194,0.017638338389298444,-0.2847484306840269,0.3988011686312322,-0.17540035530948506,0.12992301396398806,0.1606033426574363,-0.08333203884970071,0.2593678661719273,0.5886650386713291,-0.4883406219944699,0.12391553184698578,0.11354340395527358,0.21032080773532646,0.6106918202510399,-0.4870334481142209,-1.1002889089380161,-1.2129052060911203,-0.9681997663627095,-0.9741959348407885,-0.9824092087519525,-0.7502730765343066,-1.0024099026822877,-1.5703899160682604,-1.4493863605944004,-0.3564260342935315,-0.9206294474755214,-1.4487130946384261,-1.656598899813972,-1.8780753215415897,-0.3621237313389001,-1.192556719055546,-0.080359408856857,-1.6365946108621958,-1.25483164749865,-0.5366379205102597,-0.42029627106972156,-0.3343365138231903,-0.34732678505338926,-0.574846372231238,-1.2759496189079327,-0.6543162974566429,-0.4957028349797504,-1.2113541260404534,-0.9294814372083656,0.1497884094931853,0.330135471786584,-0.4365722560677535,-0.7118668316854428,-0.1716934512664048,-0.2308253332841593,-0.379362273326719,-0.521567962865419,-0.5373883163833314,-0.5153018296019974,-1.0029529440668494,-0.4394204370257732,-0.9397520900270295,-0.7322637697059536,-0.896279313763196,-0.8960574968901216,0.0066518585676907235,-0.2618824820481733,-0.0001298102985798306,-0.40401240220428203
Kai,0.41967421791480286,-0.28036020765813635,0.21360461828092722,0.19478989726164525,-0.4039926366532724,-0.16074271134177182,0.3746532963362733,-0.535727930235253,-0.35572057831014364,-0.2767496639803985,-0.43318923691889033,-0.3870126820241442,-0.3995399745398654,0.013747809066257359,0.037717924099739064,-0.2801442817370896,-0.6973890787942986,-0.433322955413148,-0.3255821325154699,-0.36039846809629666,-0.5349807058856781,-0.12003681142657366,0.04395522973208918,0.2589819233521501,-0.05785702250783021,-0.6553472433437457,-0.8054796896088308,1.0575336689970998,-0.22812863861665267,0.4638409207534282,-0.5480961388811377,-0.45936238394057294,1.1668287401736603,0.44759894631768005,0.6779515724067482,-0.6079510125024565,-0.5831977152060156,0.17732373733105228,-0.04210311014637913,0.019873458108734914,-0.1490497275292633,-0.4699391022910297,-0.3834740332507693,-0.28908551131874416,0.10518008469831826,0.2525958035016531,-0.5127639579662132,-0.22526103722837845,0.33609634888000633,-0.30574624235061526,-0.21954438757621333,-0.26274332410512896,-0.30439504677645823,-0.14521613228607755,-0.024998649201065353,-0.32268969139496,-0.3273385412995803,-0.9115609780949613,-0.07661302728563978,-0.21994828095919747,-0.5263116310751981,-0.40305643073345265,-0.706676555301774,0.21455860369279917,0.10345308318788272,0.32692668723324725,0.6203941624013218
Isabella,-0.14223352273117895,0.1477870134649104,0.3710634845064243,0.08305444481723286,-0.14099781979646692,-0.25181463466478543,0.022992566195858984,-0.23550741881181617,-0.07266087695735733,-0.20022939708092843,-0.06699991286327069,-0.1592415561069347,0.8254995849812415,0.18881075207847142,0.15695700135201118,-0.2220642716345161,0.26086955676264595,0.9676528151244362,-1.6036439262141577,-1.1654922545070678,-0.495460873976572,-1.7546591883724476,-1.3582109876764916,-1.3902139669892797,-1.4006645360687846,-1.50699551503582,-1.1174215409672292,-0.9263330173157054,-1.0384061363700972,-2.118400250461569,-2.1868039690543135,-2.4091699415121464,-1.138164787786989,-2.1739590163059908,-1.4765892178083484,-1.6197161857143034,-1.041330937222157,-0.10912442434909127,0.10041056444094931,0.48004249219225403,0.3114470062170325,0.1483844217583678,-0.755192352281079,0.24085754369981743,-0.05433058634026929,-0.05422591321719122,-0.15022999279013552,-0.7607689684104774,-0.28173977079341517,-0.6630424526730443,-0.9649901928084,-1.0100470563993678,-0.4532738922828953,-0.7630984246973314,-0.6916058103880698,-0.758789619599507,-0.9941464343792902,-1.2784138500027282,-0.4731496094487592,-1.329684020000976,-1.2912277684823865,-1.0363590644391318,-1.049415537195542,-0.26645859818643836,-1.1791551065388308,-0.7351675551491207,-0.35066376858654624
Adrian,-0.24815158333575374,-0.31801758165023114,-0.25537272304159625,-0.3465462355928437,-0.8102518233692001,-0.1719899485726733,0.44941750436874645,-0.534880515258399,-0.0721865262585089,-0.00487087278758879,-0.16785368155698746,-0.2227036537857877,0.19998717753049855,-0.021498517073890243,0.235786699437158,-0.02773769861055601,-0.1820338783366419,0.3526829755304925,-0.800835975560301,-1.4646904887456134,-0.793836354149948,-1.315791425115218,-0.8594023449111191,-0.9775697501738192,-0.7355108053610631,-1.2219956941300747,-1.1830751802161183,-0.746658613062083,-0.6103714619541666,-1.378766702812453,-1.1631918935052499,-1.3657701387480436,-0.6663302166351719,-0.8294182862595992,-0.5730887620888485,-1.3650615235310573,-0.8753685916397216,-0.6311801028239369,-0.2676379045559071,0.08962624630321969,-0.18963816382650286,-0.3888204336664157,-0.9083152322154602,-0.7841905105584046,-0.08308785992657486,-0.3014584822973604,-0.4488848893390052,-0.5783742863094211,0.0982634619311105,-0.8135938748915135,-0.9395591397388002,-1.1083973155094031,-0.5298671230559798,-0.9551836882734418,-0.4318426706112649,-0.24260678481469,-0.7461078274815265,-1.1331316057697551,-0.33431033029985935,-1.080733788449693,-0.9874869786821823,-0.8139415257415223,-0.6093406920327584,0.24542246339037088,-0.5927818529673102,-0.6929618884738442,-0.5098544937597962
Beatrice,-0.06122740080680836,0.22699286588906076,0.9308253967659497,-0.004729238749855419,0.41368429793850414,-0.24608480045442213,-0.5783634837164396,0.12516675413854106,-0.01774565510488171,-0.30114087724268607,-0.2440127775752382,-0.8175282372060135,0.6591292443088471,0.4216656234578067,-0.3265042084707416,0.11671593275263807,-0.1626962160015802,0.6762945294870557,-1.2642693350181917,-0.9331438386081784,0.15136818281110748,-1.359665433842011,-1.1422077616566284,-1.3137015056463077,-1.1539330916663884,-1.1717003311937988,-0.7730728715391245,-0.48481458513289205,-0.35236800331088086,-1.9993315535669398,-1.6873819247306183,-1.7240493268498032,-0.7206095405402666,-2.280231510797979,-1.0112437311302689,-1.4286485908003357,-1.048262610266276,0.018201216656546323,0.02115974617136935,0.932378998312336,0.5402949874341074,0.03248552144493112,-1.0483719278752517,-0.028752692303216695,0.3125026996956984,-0.6027091347307109,-0.2914879535595679,-0.7652209970774154,-0.18921541321775368,-0.9696275112321442,-0.8817843659302673,-1.0557206054162684,-0.7552517992364737,-0.8486825155030004,-0.4906470222878475,-0.4909471290282008,-0.8072355889776353,-1.2122561420265547,-0.351473978080627,-1.4027060659229613,-1.1081136025203095,-0.9336210908212198,-0.935374797893733,-0.35225636411572747,-1.1720961128228133,-0.777233672755645,-0.37666812925498605
Wesley,-0.41765576889438744,-0.17218816827346436,-0.39894958046841666,-0.11906784818444503,-0.49971065331017395,0.08171352484887863,-0.009469196874589976,-0.06559520536363492,-0.004367408679078527,-0.017095916704425382,-0.041724736185262214,-0.05751674557382006,-0.7380287581788446,0.015507023313061186,-0.2524497532864337,-0.1373140021435159,0.15351749109364463,-0.13357356258677433,-1.8280551937414917,-2.028257154372882,-1.48896210965432,-1.4556726937673903,-1.3579130263157875,-1.4551404516269886,-1.1836534131820595,-1.9700439261553693,-2.624218771213866,-0.4564537021862059,-0.9257986167024367,-2.0485852305966645,-1.9416717659600822,-1.9891929461521092,-0.31960806940864295,-1.334510075434681,-0.29032686077666287,-2.344906159312118,-1.8334668901152704,-0.4583228690944614,-0.6590644282486237,-0.6434850001528174,-0.9696241625387692,-0.9470296236204067,-1.475814518724586,-1.0832208841673172,-1.0708230018427005,-1.360951599464207,-1.1719015513295694,0.11181374565529358,0.1111454209071729,-0.4981779310269617,-1.1555479038498708,-0.5487725564304431,-0.519509897294325,-0.7569876263154324,-0.6407334180787416,-1.0570757096700096,-0.6868476607321012,-1.4607439512547655,-0.7653975544234477,-1.3821196633004567,-1.0258944338339386,-1.386548791563855,-1.5776225824441394,-0.2056697905338392,-1.2715921247040882,-0.7859906295984651,-1.5074057770443396
Brooklyn,-0.35916651463870936,-0.1908501296907068,-0.7811363604004773,-0.11984548388355153,-0.40888476001982704,0.06420172583279875,-0.07300845384518023,0.29738282529655097,0.2179700465349555,0.02663682475440882,0.08899899845815247,-0.04664339288874362,-0.5422741109894519,-0.2516275101192844,-0.13163874694619523,0.1165217453625712,0.0562320143429305,-0.4160489847156286,-2.2799702359062346,-1.7412043778515913,-0.666618535256984,-1.017146394327315,-1.7666448123194851,-1.856819971160088,-1.7719186271587295,-2.7623509127798824,-2.0193752586143825,-1.3597076251665474,-1.8644939709696131,-2.988696585061371,-3.438211835630334,-2.6932796057532458,-0.8978676237977256,-2.8738120289688864,-2.071908033449513,-3.0913952033141654,-1.8207837848257127,-1.516958869329707,-0.6715479777973604,-0.7817099396335263,0.048112684103798105,-0.8530042795841567,-1.2675533288577492,0.05429747667408842,-1.4215297896321293,-1.51512378508592,-1.4335943493414933,-0.4567110653651474,0.02198955348820907,-2.186890711213051,-0.1356760859386041,0.148928144510244,-1.2157553869218225,-1.1377337366900062,-0.9638846246197499,-1.682489488184662,-1.9023895490577425,-1.6362124060790109,-2.2763651481257874,-2.200476153596393,-1.8873394992266517,-2.496463618004301,-2.0788296047603687,-1.0981234886078453,-2.546740425605145,-1.4272689802351481,-2.489921382065496
