index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
salesperson,-1.0138750885416705,0.25293510092435534,72.24574,-207.66006,-3.226471,6.908675
scientist,1.2183845901410948,-0.35304214943592993,-39.661434,180.73053,10.115134,10.725914
scholar,2.424242691032423,0.15189790781598025,526.4624,-156.45578,9.955445,9.744924
secretary,0.422439320294505,0.7537708166477991,-33.72291,58.68219,1.9912636,6.9156976
server,-0.9124360607572741,-0.46361448964424967,139.01851,-70.4153,-2.4858944,12.317606
singer,0.05960797178477254,0.4276978173519928,-9.323316,-21.794682,0.24864724,6.383351
skipper,-1.0502247860651501,0.16179448897444712,83.9266,-125.42115,-3.6803935,7.5261474
soldier,1.0359928028496184,-0.7441245902651271,-7.5894604,199.06093,9.934974,11.3573265
socialite,-0.5941826212777032,0.6883325190601963,61.827248,-8.073551,-1.5817193,7.157878
stylist,-1.1892988184234035,0.38071025192256375,99.47273,-114.90885,-3.5187871,6.7684927
surgeon,0.6592078335701157,-0.46926656376786974,-161.56125,52.05912,9.315059,12.075998
teacher,0.9527085365511804,0.6186659039140024,-40.142452,116.41462,8.545354,9.6639185
therapist,-1.2474006579234564,0.18555856419409486,96.0947,-149.73111,-4.14206,7.684759
translator,1.5541606408302442,0.4563918584083216,-31.760221,157.13849,9.4682865,9.771043
undertaker,0.8675124989477117,-0.13625798291511265,-109.006805,104.830574,8.723576,13.176029
veterinarian,-0.7855766414765767,0.06442312258221958,111.416794,-54.57574,-2.8448312,7.4575086
videographer,-1.370273048687021,0.2975895128013229,116.47082,-192.7033,-3.998232,7.891874
waiter,0.10527795980360184,0.1777290002120921,85.048325,38.610497,0.2076933,6.308791
waitress,-1.0018351760717579,0.9442790446712118,123.36583,-125.55587,-3.1586642,6.763985
warrior,1.437266736627776,-0.83705151867767,-24.615322,194.07846,10.105467,10.967876
writer,0.22559684992191797,0.5557759325119844,-8.874771,41.514843,0.62301797,6.481776
