,sport,gender,direct_correlation,indirect_correlation,same_correlation
57,american football,girl,-1.4783764588178054,-0.28334993330603403,True
58,american football,man,-2.0061884927672358,0.04213201302654904,False
59,american football,woman,-0.5541362771857173,-0.2727505967724948,True
60,rugby,male,-0.0811995753966941,0.06861486502678835,False
61,rugby,female,0.2883429395878812,-0.3370665200544587,False
62,rugby,boy,0.7095360732165679,0.1055572049056464,True
63,rugby,girl,0.5185309676105521,-0.2761208805413435,False
64,rugby,man,-0.0919627251425679,0.1367848620332366,False
65,rugby,woman,0.013179766036593194,-0.32447371834059946,False
66,golf,male,0.8249499798327309,-0.21008808277720908,False
67,golf,female,1.1872505056583271,-0.3476959960391142,False
68,golf,boy,0.6144211583802504,-0.15421681170005558,False
69,golf,girl,0.2568024388819759,-0.2751585386270714,False
70,golf,man,-0.018963879462560555,-0.08083581631792207,True
71,golf,woman,0.25970658696977195,-0.2328274062579645,False
72,athletics,male,0.26915502781569306,-0.2986496002065561,False
73,athletics,female,0.208138120937978,-0.07646419655136473,False
74,athletics,boy,-0.6692576221829132,-0.325160313665434,True
75,athletics,girl,-0.4578558454759316,-0.10509857484386784,True
76,athletics,man,-1.1003872364030411,-0.23456482795278435,True
77,athletics,woman,-0.3890775633866909,-0.011186398651253772,True
78,badminton,male,-0.11752134952948225,-0.152263285917576,True
79,badminton,female,-0.046270859607828965,-1.312630619248959e-07,True
80,badminton,boy,-0.3395469878715328,-0.19906080783389585,True
81,badminton,girl,-0.3903274821123061,-0.03328574241023945,True
82,badminton,man,-1.117234411547053,-0.194107339876758,True
83,badminton,woman,-0.3957924994588579,-0.01825525057846704,True
84,boxing,male,-0.2538140978456564,0.13799906635031822,False
85,boxing,female,-0.2276904453091149,-0.4262854795040497,True
86,boxing,boy,-0.011504682490517743,0.1086061335808602,False
87,boxing,girl,-0.2280583901979771,-0.42149182547322217,True
88,boxing,man,-1.2687535565264565,0.2219604971279444,False
89,boxing,woman,-0.9481624053355204,-0.4346986392532913,True
90,Formula One,male,0.5612416397867137,0.14196541358440748,True
91,Formula One,female,1.152481463103011,-0.3773583720334952,False
92,Formula One,boy,-0.26861615663188376,0.13765667813417187,False
93,Formula One,girl,-0.3036875323743259,-0.3458186995664677,True
94,Formula One,man,-1.156327774938479,0.19320497944688889,False
95,Formula One,woman,-0.6531758166756366,-0.3845193841102918,True
96,MotoGP,male,-0.4518131707461017,0.2356510241516423,False
97,MotoGP,female,-0.18549082894089008,-0.12102985459408674,True
98,MotoGP,boy,-1.2571510766601417,0.1680574380278552,False
99,MotoGP,girl,-1.2518469695467704,-0.14684030316828062,True
100,MotoGP,man,-1.7879382449040746,0.18291683259840816,False
101,MotoGP,woman,-1.1591254812675686,-0.20460191778948006,True
102,cycling,male,0.7264907504212367,-0.2008622707232013,False
103,cycling,female,0.6674256645125045,-0.13090488351583401,False
104,cycling,boy,0.3550951100426845,-0.1822867743478016,False
105,cycling,girl,0.3357498076701279,-0.1140647087095303,False
106,cycling,man,-0.3602501553055219,-0.14137883021704256,True
107,cycling,woman,-0.02017772695451231,-0.08070826604114605,True
108,swimming,male,0.8063689865065815,-0.20684729078064384,False
109,swimming,female,0.8163898471725386,0.3180852552522159,True
110,swimming,boy,0.14371610760973566,-0.2005411021867652,False
111,swimming,girl,0.11428447220756555,0.30877647297653915,True
112,swimming,man,-0.032588540190952524,-0.2623323616082788,True
113,swimming,woman,0.2383641584053491,0.3324341705874693,True
114,snooker,male,-0.15756457069113253,-0.2408037119825763,True
115,snooker,female,0.028296538766066893,-0.2206059322024893,False
116,snooker,boy,-1.1115108052559064,-0.19002301282819628,True
