,country,gender,direct_correlation,indirect_correlation,same_correlation
152,Spain,boy,-1.3879772001219546,-0.12002273230745746,True
153,Spain,girl,-1.5783768992697929,0.06534257755180015,False
154,Spain,man,-1.6571158651742577,-0.12986738824305452,True
155,Spain,woman,-1.0011981114156012,0.08812931111518793,False
156,Ukraine,male,-0.8008367568185026,0.013896982540433221,False
157,Ukraine,female,-0.4817373938579504,0.16010126193535615,False
158,Ukraine,boy,-1.4093038378939238,-0.019385519236099616,True
159,Ukraine,girl,-1.4953945976259977,0.11706437218507088,False
160,Ukraine,man,-2.0082468828138804,-0.0352737279488873,True
161,Ukraine,woman,-0.9550460601562456,0.10931426100659546,False
162,Poland,male,-1.4412856890444572,-0.14459796302279426,True
163,Poland,female,-1.1281605442651101,0.08126790311083226,False
164,Poland,boy,-1.5007505859484667,-0.13204967883500682,True
165,Poland,girl,-1.874638612074708,0.061543187303268576,False
166,Poland,man,-2.1655280777881085,-0.1348057119784709,True
167,Poland,woman,-1.3676980393528049,0.09009693788365963,False
168,Romania,male,-1.1726579000879824,-0.09147276661157876,True
169,Romania,female,-1.1629796044569491,0.23261670877302684,False
170,Romania,boy,-1.6817537120631996,-0.13544804410779748,True
171,Romania,girl,-1.690097228649165,0.18217137902868727,False
172,Romania,man,-2.0433317642213447,-0.1550146948008983,True
173,Romania,woman,-1.1899318343096,0.2042289268113311,False
174,Netherlands,male,-1.5853981623443618,-0.2469497728285766,True
175,Netherlands,female,-1.4409250166957608,-0.03705900345857775,True
176,Netherlands,boy,-1.8907711278363528,-0.22371760536385066,True
177,Netherlands,girl,-2.0243150238283847,-0.037703837182947265,True
178,Netherlands,man,-2.203470906207494,-0.2245943999285282,True
179,Netherlands,woman,-1.366590660409896,0.007848462525642938,False
180,Austria,male,-1.7457779665773954,-0.2620053020314534,True
181,Austria,female,-1.5743201964566784,0.0957573672066865,False
182,Austria,boy,-2.1187153810568127,-0.2785331426881925,True
183,Austria,girl,-1.989790357821953,0.06464139490310683,False
184,Austria,man,-2.0885281094538217,-0.2843756383223863,True
185,Austria,woman,-1.2810668478244198,0.12396043494163593,False
186,United States,male,-1.083703751243184,-0.18293289828239268,True
187,United States,female,-0.8089537115213126,-0.2611026900147589,True
188,United States,boy,-1.9939323136382896,-0.17418276997335055,True
189,United States,girl,-1.9148848563021656,-0.2451673997726164,True
190,United States,man,-1.7996836193925572,-0.08656004022303107,True
191,United States,woman,-0.9279128883593152,-0.18977452431387534,True
192,Mexico,male,-0.7445298130955146,-0.034327531527871484,True
193,Mexico,female,-0.6991352544750543,0.08726703517249416,False
194,Mexico,boy,-1.4839036151739617,-0.09287304019573334,True
195,Mexico,girl,-1.5221746837067256,0.0334158535658238,False
196,Mexico,man,-1.1910968929250958,-0.07661115801456392,True
197,Mexico,woman,-0.5831731099930448,0.06285507841724003,False
198,Canada,male,-1.0971809125341214,-0.2359894920442932,True
199,Canada,female,-1.016187243366319,-0.16772384155696715,True
200,Canada,boy,-1.4281461073281854,-0.1875716650450735,True
201,Canada,girl,-1.6905544540813626,-0.13207037860726434,True
202,Canada,man,-1.72501935651989,-0.1763520809322358,True
203,Canada,woman,-1.0145424869740631,-0.09750351425889746,True
204,Guatemala,male,-1.255941786404167,-0.104665301069805,True
205,Guatemala,female,-0.9397732289163347,-0.0057238560077255965,True
206,Guatemala,boy,-2.0354351506758515,-0.15921903637198714,True
207,Guatemala,girl,-2.1530306231366376,-0.05865843961134795,True
208,Guatemala,man,-1.8309121385586595,-0.12618200299061444,True
209,Guatemala,woman,-0.860932975609833,-0.010612815987456978,True
210,Haiti,male,-1.5870393997994552,-0.19531947260660265,True
211,Haiti,female,-1.185321058323505,-0.028695560777903188,True
212,Haiti,boy,-1.4047228785422423,-0.2070655574211956,True
213,Haiti,girl,-1.8717325016045576,-0.05931721221744505,True
214,Haiti,man,-1.940319868824272,-0.1842628771493621,True
215,Haiti,woman,-0.7444658450899293,-0.004445326318279111,True
216,Cuba,male,-1.4171607685641536,-0.21715826145867226,True
217,Cuba,female,-1.2223789542614876,-0.013153023351596118,True
218,Cuba,boy,-1.6608845566564885,-0.2374019199468396,True
219,Cuba,girl,-1.9460951106886055,-0.047282622534478944,True
220,Cuba,man,-1.8204053698278213,-0.18583670875586816,True
221,Cuba,woman,-1.0194266965131182,0.02592997518568459,False
222,Dominican Republic,male,-1.2362867074755453,-0.12546871253479033,True
