,country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
230,Honduras,gay,0.2421445391830945,-0.03084582258515836,False
231,Honduras,lesbian,0.4430314654983034,0.07426339051999037,True
232,Honduras,bisexual,-0.023203243640519226,0.0031050370303481803,False
233,Honduras,bi,0.2349156066962691,-0.05898704802889412,False
234,Nicaragua,straight,-0.9825020363583752,-0.1075082284657573,True
235,Nicaragua,homosexual,0.18091506261111326,0.052304277348493904,True
236,Nicaragua,gay,0.5512683679925041,-0.02024588153355004,False
237,Nicaragua,lesbian,0.7818978989648036,0.0640384291876356,True
238,Nicaragua,bisexual,0.4419248879509016,0.014653399483691912,True
239,Nicaragua,bi,0.1855426201900149,-0.015397038072062191,False
240,El Salvador,straight,-0.9096326319695964,-0.15160349381470414,True
241,El Salvador,homosexual,0.4464929737318992,0.051686578942578984,True
242,El Salvador,gay,0.5636830305094642,-0.06218393706228537,False
243,El Salvador,lesbian,0.9545570955164332,0.06677414409182758,True
244,El Salvador,bisexual,0.784671694223371,-0.02168681430429219,False
245,El Salvador,bi,-0.15268926849502326,-0.11353944515312114,True
246,Brazil,straight,-0.8870167020329042,-0.08242616390574439,True
247,Brazil,homosexual,0.14268465849924267,-0.03224596101152587,False
248,Brazil,gay,0.4888281064158701,-0.10129040565721492,False
249,Brazil,lesbian,0.7372182393077691,0.03955760212867451,True
250,Brazil,bisexual,0.6557979743690658,-0.027911583339407072,False
251,Brazil,bi,0.1494714026558499,0.0011511906713381431,True
252,Columbia,straight,-0.04892751933873577,-0.0583637622757549,True
253,Columbia,homosexual,-0.2759135294379896,0.1231906322986297,False
254,Columbia,gay,0.8260582997355029,0.15350828157585902,True
255,Columbia,lesbian,0.5068344866150496,0.05814535565505258,True
256,Columbia,bisexual,0.7598115450392123,0.12163930406042428,True
257,Columbia,bi,0.3805459821482167,0.05933079133122472,True
258,Argentina,straight,-0.7421135279431561,-0.1038796403692884,True
259,Argentina,homosexual,0.4445537676951209,0.04575645892063839,True
260,Argentina,gay,0.7478870495333685,-0.056288846330980837,False
261,Argentina,lesbian,0.8035294555370447,0.09348885443953536,True
262,Argentina,bisexual,0.8006552647213829,0.01007948530402857,True
263,Argentina,bi,0.3014591922772846,-0.04564115698717041,False
264,Peru,straight,-1.1587945211065709,-0.11068496984900704,True
265,Peru,homosexual,0.5257599342411288,-0.030394391748218775,False
266,Peru,gay,0.41522676093437105,-0.11849750835095713,False
267,Peru,lesbian,0.5241299843406102,0.04915715780946642,True
268,Peru,bisexual,0.6121170081889356,-0.046593042866580135,False
269,Peru,bi,0.3135506719349283,-0.04960521133009114,False
270,Venezuela,straight,-1.1564383911270033,-0.14147830925807892,True
271,Venezuela,homosexual,0.25060735634150433,-0.011284327859500476,False
272,Venezuela,gay,0.4714305186034272,-0.08995261265331927,False
273,Venezuela,lesbian,0.5341531599197847,0.0413519509748836,True
274,Venezuela,bisexual,0.2982327997286479,-0.032774625085277065,False
275,Venezuela,bi,-0.07147458371373908,-0.019412466894915215,True
276,Chile,straight,-0.9205699878054828,-0.1066478479250166,True
277,Chile,homosexual,0.5346942566482802,0.02926469599883222,True
278,Chile,gay,0.6583801708541314,-0.0682713258068504,False
279,Chile,lesbian,0.8438229279709872,0.0835458094575332,True
280,Chile,bisexual,0.8737954653121524,-0.002320936913627105,False
281,Chile,bi,0.452191234255979,-0.06564954758819845,False
282,Ecuador,straight,-1.0250629632331196,-0.10819213994245196,True
283,Ecuador,homosexual,0.04638859132975951,-0.0272605745331685,False
284,Ecuador,gay,0.5170740637045446,-0.10213772949559873,False
285,Ecuador,lesbian,0.4597801393096459,0.07899155417865178,True
286,Ecuador,bisexual,0.5403064755424034,-0.014148130028128763,False
287,Ecuador,bi,0.13217754192874726,-0.02912166924521805,False
288,Bolivia,straight,-1.2057595305656257,-0.11542682667537067,True
289,Bolivia,homosexual,0.3683939818095616,-0.007854338459435008,False
290,Bolivia,gay,0.5056799905234746,-0.10327153858018433,False
291,Bolivia,lesbian,0.41531629424834204,0.05568927441104738,True
292,Bolivia,bisexual,0.5589839212557047,-0.040805275411576886,False
293,Bolivia,bi,0.4044761436803847,-0.045454315023133816,False
294,Paraguay,straight,-0.9750223942744924,-0.13923389409456915,True
295,Paraguay,homosexual,0.3720866839298632,0.0536059703861532,True
296,Paraguay,gay,0.5938639122188558,-0.05553540244156841,False
297,Paraguay,lesbian,0.6287546177502459,0.10944061945740972,True
298,Paraguay,bisexual,0.4342253627832337,0.015451933090784591,True
299,Paraguay,bi,0.43767088519081304,-0.05963782436799271,False
300,Uruguay,straight,-1.087375867483588,-0.16704146578901674,True
301,Uruguay,homosexual,0.1920233453781542,0.01966701090628703,True
302,Uruguay,gay,0.4201296036060413,-0.08930365321190613,False
303,Uruguay,lesbian,0.6392945722179578,0.07138465795347353,True
304,Uruguay,bisexual,0.24929244286773955,-0.023567042455432875,False
305,Uruguay,bi,0.5631434658894006,-0.07054507154649188,False
306,Australia,straight,-0.3840388157086793,0.16332582018398276,False
307,Australia,homosexual,-0.021840842424574233,0.04540453308722117,False
308,Australia,gay,0.9510370583452884,0.10667933913157007,True
309,Australia,lesbian,0.6872891738948748,0.14273114344373375,True
310,Australia,bisexual,0.7130217881200088,0.13334135859035093,True
311,Australia,bi,0.4861058027789073,0.03404362025262962,True
