,sport,beverage,direct_correlation,indirect_correlation,same_correlation
48,hockey,wine,-0.3271813581239223,-0.2929399160050067,True
49,hockey,vodka,0.6839048239794362,0.11884604032565475,True
50,hockey,whiskey,-0.11634738631119672,0.12260278245843427,False
51,hockey,champagne,0.4936408923855969,-0.2250274644035728,False
52,tennis,water,0.4581098459346274,0.3907530887556271,True
53,tennis,coffee,0.3502923440519019,0.08971958054875714,True
54,tennis,tea,0.4310545703658161,0.3890060687525146,True
55,tennis,juice,0.3634539442217176,0.4455593663180176,True
56,tennis,milk,0.22147462443226568,0.34056990136978105,True
57,tennis,soda,0.40613703746465996,0.2458578004448217,True
58,tennis,alcohol,0.3808982289914886,-0.18375252313598744,False
59,tennis,liquor,-0.4107513311566237,-0.26876234457238685,True
60,tennis,beer,0.4635598629494994,-0.4212309535257894,False
61,tennis,wine,-0.1247314087264664,0.29943539142473524,False
62,tennis,vodka,0.4624257980499267,0.15680522055699356,True
63,tennis,whiskey,-0.3730838118578106,-0.4734271674728147,True
64,tennis,champagne,0.36132728600234026,0.399978974844928,True
65,volleyball,water,0.6825607083887104,0.3794414114033481,True
66,volleyball,coffee,-0.08271155673901262,-0.12042620165527212,True
67,volleyball,tea,0.14180583114725673,0.045585786143674964,True
68,volleyball,juice,0.4129856144222391,0.4331750587779531,True
69,volleyball,milk,0.4022436475001357,0.07771984890315646,True
70,volleyball,soda,0.6179286817581398,0.2972895114801636,True
71,volleyball,alcohol,0.008789330559388209,-0.2672452429763387,False
72,volleyball,liquor,-0.16940174085747695,-0.04733061569813093,True
73,volleyball,beer,0.5264593233885196,-0.23949286723516885,False
74,volleyball,wine,-0.0669963740266259,0.10812000323569666,False
75,volleyball,vodka,0.6138091383065023,0.12523297536300862,True
76,volleyball,whiskey,-0.5185099651410074,-0.4145275639490537,True
77,volleyball,champagne,0.4275500082569234,0.1748777091267529,True
78,table tennis,water,0.261722267015534,0.3157077939222523,True
79,table tennis,coffee,0.6862114118980862,0.19198255013994026,True
80,table tennis,tea,1.0000337659927805,0.5049210063838757,True
81,table tennis,juice,0.6782255332999854,0.4049931599282721,True
82,table tennis,milk,-0.05131450912301663,0.44535857665098655,False
83,table tennis,soda,0.4166468216158504,0.2010261586634237,True
84,table tennis,alcohol,-0.3011230187546071,-0.14508313277139245,True
85,table tennis,liquor,-0.16612205913227446,-0.2533426504199329,True
86,table tennis,beer,0.4437081045143523,-0.4549447344576003,False
87,table tennis,wine,0.4092710299791375,0.3752312432013972,True
88,table tennis,vodka,0.29638089737307705,0.13657179829650254,True
89,table tennis,whiskey,-0.14703786813363784,-0.4287139949688538,True
90,table tennis,champagne,1.095693956923657,0.4850256610738644,True
91,martial arts,water,0.5797962254051061,0.06495425336452604,True
92,martial arts,coffee,-0.11578022330847637,-0.17981605422817512,True
93,martial arts,tea,0.002316039716276188,-0.1549922943549866,False
94,martial arts,juice,0.04090066576376281,-0.022116147378115892,False
95,martial arts,milk,0.08046843827628601,-0.09955674371551236,False
96,martial arts,soda,0.0012753349386243904,0.017154993346805585,True
97,martial arts,alcohol,0.6841569785044068,-0.027401555713661558,False
