index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,straight,homosexual,gay,lesbian,bisexual,bi
Penny,0.2515099581828987,-0.0019227783515961825,-0.018357540978810493,0.25709112074849216,0.19177653632054206,0.30606648337411574,0.07917938245330997,0.35036395541461296,0.2777527199868771,-0.06962447383349216,-0.10847037426959757,0.12285859347020028,-0.47667230699735347,0.3259038826638899,-0.25409104459904225,0.18963155023920275,-0.013149504238728443,-0.31435228463060466,-1.082096788417054,-0.22689183233582927,1.1511207054055372,0.33602228365290787,0.2654876293904024,-1.712766907923041
Cecil,-0.41562177750702095,0.2162820960714555,0.23504151024958864,-0.10085208958108267,-0.38727098436095725,-0.08969709219103124,-0.22872643636212134,-0.004082612978440488,0.027100045564835775,-0.0522764992889884,-0.06163371872414363,-0.25809378049582077,0.10277113911545577,0.09554442125454915,-0.13390647793092508,0.08848718324404356,0.250286269031241,0.6632920436739096,-1.1391267838414192,1.5338133397472402,2.2834224903578137,-0.2448425718249822,0.7268177668204616,-1.668908368826218
Howard,-0.3414071787787113,0.1676860096635236,0.15049551572410966,-0.08433797709734292,-0.005979619384131029,-0.10342777677247104,-0.1835907556672243,0.05166393678414686,0.038239317792628694,-0.22092398683371697,-0.03097528356453557,0.16685543648264367,-0.05331037244163359,0.31587121364783033,-0.32704790985437915,0.1321538989989229,0.301473539589301,-0.03553830528508176,-1.2751356152311737,2.142804012542007,3.5325177557635183,0.6847233722309146,1.8977615799430978,-1.1807317717819534
Paul,-0.10451621875719497,0.1217527376031003,-0.11400271557480594,-0.06793425293606956,-0.0014071964968503266,0.07662261778584159,-0.19560392248151148,-0.04606312811607282,-0.03202118177494302,-0.07415923423495017,-0.0009657108806999489,0.19861442199402768,0.2780610285538498,0.09062487172633855,0.2513651101057397,0.08458728854386041,0.08976505443098146,0.2995364545140319,-1.0590893956373657,2.459452498559057,3.8955964311377724,1.0176767757826537,2.156682616204706,-0.9747067176662988
Levi,-0.052609433227600914,0.19796211182359502,-0.21079678428681933,0.2755653131184399,-0.2116755135764416,0.1951753738849274,0.1329046988595922,-0.20062788684984478,0.010558996200496778,0.05797477320135024,-0.032341025007662144,0.15783284746748352,0.2477647653935175,0.17911071800413916,0.18729479251296344,-0.03087260488923188,0.09298180728117775,-0.06244894875085285,-1.2411146914714868,1.3410596926260407,2.8144942556782406,0.3307544238874642,1.2208955187244803,-1.0120888872910254
Carole,-0.4789474927225015,0.07770997759500133,-0.2795602958294325,-0.17099077294960308,0.09620080711759746,0.2717147682623352,-0.049530232250726475,0.41054052997081497,0.25526411858880477,-0.03213245603821431,0.11218147258687736,0.22816842708290547,0.25407386350839845,0.3155387952322494,0.18404489287068296,0.28717426379109634,0.10169819307318766,0.47576906601110747,-1.2092890231094504,0.20760550482876444,1.428395163563807,0.6819670727417446,0.4377819894561208,-1.8156964795625115
Kay,0.20856812804572075,0.0815659995612951,0.3845323016921043,0.008659579055786893,0.07353100965384916,0.1225855254750683,-0.11862193222316916,0.08544439402644373,-0.070842757665518,-0.1517121708348909,-0.07043078338796677,-0.057212539114421965,-0.21017870088454546,0.4261999017455171,-0.1823164771617554,0.10530862667500482,0.09208532001279943,0.005941780431658048,-1.0701522517083253,1.758049475452903,3.1862420606003767,1.7872504290647122,2.172809332086059,-0.9252110343128556
Shirley,-0.3232433632569234,0.20002704401016205,0.305207215704213,-0.20315352942452578,0.38774578305187785,0.1361204737881897,-1.0044436289473273,0.5731348225349712,0.20921180891160202,0.03197673000502705,0.06467243558441299,-0.0009520450227040775,0.050649895122997626,0.45659387898958936,-0.5474930881983907,0.3740468832882879,0.27636535418443103,-0.015359510907966433,-1.2170099758927944,1.0201257131943133,2.2512320147958,1.4074480256015112,1.3787277810834224,-1.9208774288074115
Sophie,-0.21467805378907384,-0.08607082130690014,-0.02593652138914724,-0.032664560929410745,-0.22625118806400563,0.0748869078882188,-0.058176799469933795,0.013390958355098412,0.1866549044200704,0.046924370484302,-0.06061143448154992,-0.08090479798971248,0.462662682950631,0.11519996182682113,0.433818292701567,0.12830688302211848,-0.07183181320280964,0.9184409288989736,-1.0204850487327772,0.9086715436166227,1.8457606355742853,1.2638430721513174,1.3719342504085297,-1.4731478941136036
Chelsea,-0.49629579244298394,0.14799554282209504,-0.26032084569580866,-0.27617547813249566,-0.6967021614306776,0.09429489678364272,0.055543192986522286,0.16954882265173052,0.29620213008492435,-0.040495978295619975,-0.343135118097756,-0.2254371129107828,-0.48190702499535426,-0.245375273596863,0.08519518777729232,0.06503401252745156,-0.39324412053895913,0.2839961442820685,-1.3934667605868647,-1.8649180249089539,-0.4311046295727786,-1.4360871392943027,-1.791314732478267,-1.6254229189476606
