,country,beverage,direct_correlation,indirect_correlation,same_correlation
95,Uganda,milk,0.5994812193611488,0.2561541055602719,True
96,Uganda,soda,-0.06891425925761112,-0.08613284470038607,True
97,Uganda,alcohol,0.5911901096168332,0.17880535376692794,True
98,Uganda,liquor,0.19057578155833685,-0.1451461833312847,False
99,Uganda,beer,-0.2448961549758169,-0.18135196339542706,True
100,Uganda,wine,-0.04390721025146623,0.19776886028590648,False
101,Uganda,vodka,0.06300773804928222,-0.0028784341915384145,False
102,Uganda,whiskey,-0.1395128264421203,-0.028498016531257414,True
103,Uganda,champagne,0.15977200988474155,0.2438101645258781,True
104,Sudan,water,0.15848831780973366,0.08166989604018496,True
105,Sudan,coffee,0.12076914625674018,-0.010906327769601471,False
106,Sudan,tea,-0.06643855717495624,0.1567389847480874,False
107,Sudan,juice,-0.28922138762194594,0.0395584528539512,False
108,Sudan,milk,0.5695772626281815,0.1929056975506548,True
109,Sudan,soda,-0.5665655212462409,-0.17469561704750303,True
110,Sudan,alcohol,0.7360458398603354,0.07191895184967008,True
111,Sudan,liquor,-0.2465252179388024,-0.1944073344771343,True
112,Sudan,beer,-0.2540160980717993,-0.18273648118267927,True
113,Sudan,wine,0.30130198822420445,0.1668977297133136,True
114,Sudan,vodka,0.20950142306472275,-0.009379334521623877,False
115,Sudan,whiskey,-0.37221025840631977,-0.06113041346521595,True
116,Sudan,champagne,-0.051672980339835285,0.16141283140483711,False
117,Algeria,water,-0.04730495693958242,0.09929042387318723,False
118,Algeria,coffee,0.18600987070620625,-0.020858206711971503,False
119,Algeria,tea,-0.7667498327128188,0.1617265846016248,False
120,Algeria,juice,-0.6477615938096518,0.08719399125446665,False
121,Algeria,milk,-0.18426347357049624,0.16435026401102995,False
122,Algeria,soda,-0.8609456909271774,-0.2553553510389738,True
123,Algeria,alcohol,0.4462007237104656,0.030202243493471587,True
124,Algeria,liquor,-0.5646965510967861,-0.2467477269720019,True
125,Algeria,beer,-0.3194252132315136,-0.3340432564984676,True
126,Algeria,wine,0.6879606452603415,0.3246864501699207,True
127,Algeria,vodka,0.5631883183411379,0.02628707625525032,True
128,Algeria,whiskey,-0.5327104545974032,-0.2185280725402555,True
129,Algeria,champagne,0.4423611289734251,0.29373902785188105,True
130,China,water,0.15147041946551207,0.1031585501141497,True
