,sport,occupation,direct_correlation,indirect_correlation,same_correlation
115,cricket,bartender,-0.948206786343646,-0.1866693768265505,True
116,cricket,broadcaster,0.5313643301953942,0.21812027953971846,True
117,cricket,builder,0.5146599969144433,0.04809597324549124,True
118,cricket,businessman,0.1621337745632141,-0.01828593048824864,False
119,cricket,butcher,0.5055715010354745,0.11514498446495262,True
120,cricket,captain,-0.00890505801048572,-0.01653662629810386,True
121,cricket,carpenter,0.10189269154055433,-0.007876204114424374,False
122,cricket,chef,-0.3418183816609724,-0.13404632341873904,True
123,cricket,coach,0.5632458759055818,-0.0012232148897223908,False
124,cricket,cook,-0.039345693119886366,0.05021927301175564,False
125,cricket,dancer,0.09562839998614096,-0.14498295489109786,False
126,cricket,designer,-0.6933979327286526,0.0078952728056078,False
127,cricket,doctor,0.1878085071626164,0.04254192962375498,True
128,cricket,economist,-0.0004065276359022556,0.07126357815795678,False
129,cricket,editor,-0.3679797117293784,0.1607221634044067,False
130,cricket,engineer,0.21847844349662468,0.014630069951745109,True
131,cricket,farmer,0.7234509561227468,0.10790132393222082,True
132,cricket,filmmaker,-0.08896441722278528,-0.024140787299561543,True
133,cricket,housekeeper,-0.16868122322349302,0.020533523537839743,False
134,cricket,journalist,-0.1560501872771188,0.07229666748044014,False
135,cricket,judge,-0.10064551092766028,0.09578851801049708,False
136,cricket,lawyer,-0.12350644470689492,0.018644913466839427,False
137,cricket,librarian,-0.5936198043744885,-0.07119590780269089,True
138,cricket,magician,-0.7967541076880899,-0.0738732166475957,True
139,cricket,mechanic,0.23583363988852124,-0.038163325292606624,False
140,cricket,musician,-0.5425728498547832,-0.09798761347126284,True
141,cricket,nurse,0.5767697309719949,0.01501068843724176,True
142,cricket,painter,-0.6584773601716892,0.060675738787270075,False
143,cricket,philosopher,-1.0505579969916432,0.01998411240070552,False
144,cricket,photographer,-0.2848543295868399,-0.08026116871784572,True
145,cricket,pilot,0.3451257711194217,0.02060882281363294,True
146,cricket,policeman,0.5909787817425938,0.09894542914207384,True
147,cricket,politician,-0.2086880267319748,0.03664856867225902,False
