index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne
dancer,-0.3325627072599906,-0.7917942028318448,-0.30017889529700686,-0.4051321369439231,-1.1371042676577419,-0.10577901899023294,0.42224458746125854,-0.5992326648608017,-0.17698324954139172,0.3356583999051793,0.2882928626367292,-0.320582119850569,-0.000734976956546538,-0.2094358642064271,0.6754704673914014,0.4995050809585355,0.15187186166402591,0.5441602243111846
designer,-0.9782034753540136,-0.17677288205122954,-0.184759491558059,-0.6130039874237417,-1.0215377645947796,-0.3303146706805019,0.5621965679766623,-0.3506047977328802,-0.11099925601247607,-0.26126407354346787,-0.4970991818104367,-0.6208279759671933,0.45063855253960056,-0.35899137994793,0.35919307771050507,-0.2593595225733995,-0.8530340974230008,0.9910478165353833
doctor,0.060583187240141945,-0.29194015903794907,0.16458724472736722,-0.14824565531077483,-0.06098737170096419,-0.6919082909812888,-0.25933744809570963,-0.6958193347358577,-0.8086552285113666,-0.2527415329214885,-0.32773135385386093,-0.5257815445332125,-0.08503583545625612,-0.47677176707116464,-0.38736798473885503,-0.2680492391515532,-0.417344026729378,-0.6093607007497454
economist,-0.13471511915755074,0.33918632188238984,0.8825055540885461,-0.20703000692156706,0.14598882702012872,-0.2775503410799107,0.2152995922645055,0.16002856748055494,-0.36782754839351356,-0.23854054361459273,-0.24339205065628045,-0.15863746694884018,0.7087753662632225,0.14422796291503112,0.24095333585685064,0.11602730910145692,-0.3216978175057026,-0.16711061278306885
editor,-0.4056163002679991,0.13805052103332102,0.16546218985773545,-0.009384357796004895,-0.21431987527392482,0.09128295878784683,-0.013185246363433318,0.022327139546397978,0.06551713699562595,-0.15445210530971998,0.04621702835694741,-0.12168491364550486,0.2684858693534656,0.22214975252599078,0.5028752663939648,0.11092808474887998,-0.06851605499956215,0.08786573249065988
engineer,0.5579071408310424,0.012183422947378581,0.20381706099599678,-0.1776627740050169,0.01660709287982133,-0.24300821216595442,0.437122682618171,-0.29324442063806433,-0.5373968673871373,-0.13223754742921806,-0.15120298601881874,-0.2038983597709359,-0.037627158730606076,-0.12284288341997342,0.04662687547888548,0.04880572546081261,-0.4007446611162702,-0.5188275041484065
farmer,0.43621540671261555,0.2669939072340421,0.7146704469732287,0.5851320137818743,1.3609243838798835,-0.4102389232530911,-0.6383148115476213,0.4786554472472657,-0.7029374066494364,-0.2601602160191328,-0.09034631704727002,0.3208067666344879,0.14625384405559555,1.2306857525264971,-0.7503935122365994,-0.06287607290923006,0.3591708259989427,-1.0944033286538954
filmmaker,-0.5128022298241284,-0.06121960539280704,-0.5309277637695221,-0.148921828349342,-0.6570502252296853,0.3831528765742444,-0.04490173150847049,-0.009979825157516182,-0.16117435815070966,0.09155440173287774,0.03280484662377939,-0.2688020806558745,-0.02905197283093075,-0.44891568576913604,0.22792766500955475,0.13338122281153147,-0.4980655831109739,-0.09893301178788783
housekeeper,0.19620770108661514,0.7796246773423815,1.2285859495920606,0.27913124522947796,0.833809983289137,-0.17468996925463046,-0.27196498764910143,0.5979094343009268,0.057855554670213645,-0.18517262541084054,-0.19134348455852787,-0.257373851424476,0.31161470221602167,0.6387484792454733,-0.2506036970502,-0.04272036836572931,0.15083808505918717,0.3605485714332523
journalist,-1.0514253156885418,-0.039967643501560894,-0.09404420431405769,-0.8960507598504878,-0.7413456635699008,-0.316037859631451,-0.1540856097838516,-0.5561016304865626,-0.5376977252953267,0.03358470039863782,-0.3104436388075049,-0.3955023904469317,0.27930441596849304,-0.08273245835052301,0.5746546360503514,-0.02826227555027922,-0.3416649701205062,0.059519931318577385
judge,-0.6176402633696585,-0.14902188817071899,-0.038748066176084964,-0.8256950025818239,-0.386709927595343,-0.6686921026213687,-0.7977102433468901,-0.24389271463853673,-0.41040584582911666,-0.02910407022454936,-0.015761895910083038,-0.17529639797480215,-0.084386752171588,-0.04866589039629935,-0.42270613080915365,-0.14527336824259787,0.23981383615230736,-0.15605131855517593
lawyer,-0.7864939597323146,-0.07539452281589933,-0.4838697903377621,-0.726905462206406,-0.6706009856664681,-0.5988201375744638,-0.909821539567449,-0.6433009936357081,-0.7629540371421272,-0.18164061798271,-0.11446550276244653,-0.3577232130131062,-0.0422608928040899,-0.23545910105288068,-0.3533002765693744,-0.27882156957477905,-0.18503255447153222,-0.44188621017130125
librarian,0.0015335899205435996,0.09049333959677969,0.19571579790426058,-0.1554875295168117,-0.16483212258856605,0.3635924798328691,0.1607183053620904,-0.2151891592330436,-0.05817070888652736,-0.20784551290552042,-0.2664734021491986,-0.6375019967620976,0.05730928571392233,-0.03570515466354908,-0.12838558180698922,-0.0811833612487338,-0.6451728810164227,-0.22587034025057257
magician,-0.2880669467409794,-0.9063987818717221,-0.08135560199317989,-0.20075011670976253,-0.7044787741504127,-0.16051328475721324,0.7833013745765607,-0.7677653246269438,-0.5559714250926697,-0.04147148943126802,-0.049076000854119874,-0.4592443536075265,-0.0798989982458926,-0.2629616108360039,0.19335333850182396,-0.22085531082412754,-0.5412156915473485,0.22527875082577173
