index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
scientist,-0.3529052885922788,0.5381826045231263,139.00674,-13.033366,4.630523,6.2487545
scholar,0.25889925830361954,0.5902960019123115,40.874027,-63.789143,4.4711394,3.3131874
secretary,1.4774789359491245,-0.21889365442294553,-21.03736,-149.45422,5.1497273,0.3405267
server,-0.132597189237315,0.8476944092430634,-15.705971,4.876398,5.22891,5.402039
singer,1.3441493202661934,-0.04934057003146889,-3.3829157,-111.20581,5.1803346,1.1755894
skipper,0.06840014896780282,-0.2199454167671318,82.469376,7.477275,3.0291917,4.8121943
soldier,-1.6685105936410223,0.4597313143001911,-64.62606,144.52719,-0.15130505,7.739529
socialite,1.7784184432155898,0.12942170783711385,-36.5524,-133.7609,5.2913346,0.36071867
stylist,0.8069892382226609,0.6450656275124229,-7.6222034,-36.524914,5.84748,3.755684
surgeon,-1.035310706513073,0.35741476107877,-56.53331,78.83532,1.835254,6.7587614
teacher,1.8234686927019828,-0.3074615125999572,-41.61744,-175.73149,5.4344673,-1.3108523
therapist,0.034138716849285135,0.5363949603534481,-6.298731,-0.60657036,5.487725,4.933831
translator,0.49388204073352476,0.5538767727462434,34.370068,-57.7379,4.624708,3.4684927
undertaker,-0.0907006179974154,-0.4757091878721408,116.33479,-22.385,2.4315543,3.331588
veterinarian,-0.051713419471213426,-0.37754219772112246,82.03697,0.009004676,2.9509277,4.8288655
videographer,-0.033615689862369326,0.13222148383331525,72.63812,24.705399,3.7059932,5.112291
waiter,-0.6169548289911841,0.5272451319411278,72.26927,79.06631,3.7101095,6.553132
waitress,2.45668467279182,-0.29465662372774715,-77.31342,-166.02121,5.0906262,-1.6930113
warrior,-0.8716243146156855,0.8779801395131331,-23.357635,9.691715,4.9107103,5.8312325
writer,1.058005326427985,-0.05138234170622193,11.136375,-115.45902,4.654844,1.2372864
